"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Vol","Ace:0","Ace:1","Ace:2","Vor:0","Vor:1","Vor:2","Type","Mk","Points:0","Points:1","Points:2"
1491,0,0,0,1002.5,0.4,19031,0.00039901,-309.95,0,-317.19,0,0,0,3,1,0.06,0,0.06
1492,0,0,0,1002.5,0.4,18835,0.00039902,-401.07,0,-48.083,0,0,0,3,1,0.06,0,0.08
1493,0,0,0,1002.4,0.4,18639,0.00039903,-402.96,0,-2.4845,0,0,0,3,1,0.06,0,0.1
1589,0,0,0,1002.5,0.4,19031,0.00039901,-45.007,0,-410.39,0,0,0,3,1,0.08,0,0.06
1590,0,0,0,1002.5,0.4,18835,0.00039902,-56.629,0,-58.103,0,0,0,3,1,0.08,0,0.08
1591,0,0,0,1002.4,0.4,18639,0.00039903,-56.043,0,-0.2967,0,0,0,3,1,0.08,0,0.1
1687,0,0,0,1002.5,0.4,19031,0.00039901,-0.0002052,0,-416.37,0,0,0,3,1,0.1,0,0.06
1688,0,0,0,1002.5,0.4,18835,0.00039902,-0.00022747,0,-57.979,0,0,0,3,1,0.1,0,0.08
1689,0,0,0,1002.4,0.4,18639,0.00039903,-0.00022796,0,-0.17246,0,0,0,3,1,0.1,0,0.1
1785,0,0,0,1002.5,0.4,19031,0.00039901,0.00013947,0,-416.37,0,0,0,3,1,0.12,0,0.06
1786,0,0,0,1002.5,0.4,18835,0.00039902,0.00015335,0,-57.979,0,0,0,3,1,0.12,0,0.08
1787,0,0,0,1002.4,0.4,18639,0.00039903,0.00015461,0,-0.17246,0,0,0,3,1,0.12,0,0.1
1883,0,0,0,1002.5,0.4,19031,0.00039901,-8.0116e-06,0,-416.37,0,0,0,3,1,0.14,0,0.06
1884,0,0,0,1002.5,0.4,18835,0.00039902,-5.103e-06,0,-57.979,0,0,0,3,1,0.14,0,0.08
1885,0,0,0,1002.4,0.4,18639,0.00039903,-7.8963e-06,0,-0.17246,0,0,0,3,1,0.14,0,0.1
1981,0,0,0,1002.5,0.4,19031,0.00039901,0.0004104,0,-416.37,0,0,0,3,1,0.16,0,0.06
1982,0,0,0,1002.5,0.4,18835,0.00039902,0.00045495,0,-57.979,0,0,0,3,1,0.16,0,0.08
1983,0,0,0,1002.4,0.4,18639,0.00039903,0.00045593,0,-0.17247,0,0,0,3,1,0.16,0,0.1
2079,0,0,0,1002.5,0.4,19031,0.00039901,-0.00054186,0,-416.37,0,0,0,3,1,0.18,0,0.06
2080,0,0,0,1002.5,0.4,18835,0.00039902,-0.0006032,0,-57.979,0,0,0,3,1,0.18,0,0.08
2081,0,0,0,1002.4,0.4,18639,0.00039903,-0.00060264,0,-0.17247,0,0,0,3,1,0.18,0,0.1
2177,0,0,0,1002.5,0.4,19031,0.00039901,-0.00026292,0,-416.37,0,0,0,3,1,0.2,0,0.06
2178,0,0,0,1002.5,0.4,18835,0.00039902,-0.0002965,0,-57.979,0,0,0,3,1,0.2,0,0.08
2179,0,0,0,1002.4,0.4,18639,0.00039903,-0.00029342,0,-0.17246,0,0,0,3,1,0.2,0,0.1
2275,0,0,0,1002.5,0.4,19031,0.00039901,1.1369e-13,0,-416.37,0,0,0,3,1,0.22,0,0.06
2276,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,0.22,0,0.08
2277,0,0,0,1002.4,0.4,18639,0.00039903,1.1369e-13,0,-0.17246,0,0,0,3,1,0.22,0,0.1
2373,0,0,0,1002.5,0.4,19031,0.00039901,0.00026292,0,-416.37,0,0,0,3,1,0.24,0,0.06
2374,0,0,0,1002.5,0.4,18835,0.00039902,0.0002965,0,-57.979,0,0,0,3,1,0.24,0,0.08
2375,0,0,0,1002.4,0.4,18639,0.00039903,0.00029342,0,-0.17246,0,0,0,3,1,0.24,0,0.1
2471,0,0,0,1002.5,0.4,19031,0.00039901,0.00080478,0,-416.37,0,0,0,3,1,0.26,0,0.06
