"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0,0,0,0,-0.02,-0.02,-0.02
1,10,0,0,0,0,-0.02,-0.02,-0.01
2,10,0,0,0,0,-0.02,-0.02,0
3,10,0,0,0,0,-0.02,-0.02,0.01
4,10,0,0,0,0,-0.02,-0.02,0.02
5,10,0,0,0,0,-0.02,-0.02,0.03
6,10,0,0,0,0,-0.02,-0.02,0.04
7,10,0,0,0,0,-0.02,-0.02,0.05
8,10,0,0,0,0,-0.02,-0.02,0.06
9,10,0,0,0,0,-0.02,-0.02,0.07
10,10,0,0,0,0,-0.02,-0.02,0.08
11,10,0,0,0,0,-0.02,-0.02,0.09
12,10,0,0,0,0,-0.02,-0.02,0.1
13,10,0,0,0,0,-0.02,-0.02,0.11
14,10,0,0,0,0,-0.02,-0.02,0.12
15,10,0,0,0,0,-0.02,-0.02,0.13
16,10,0,0,0,0,-0.02,-0.02,0.14
17,10,0,0,0,0,-0.02,-0.02,0.15
18,10,0,0,0,0,-0.02,-0.01,-0.02
19,10,0,0,0,0,-0.02,-0.01,-0.01
20,10,0,0,0,0,-0.02,-0.01,0
21,10,0,0,0,0,-0.02,-0.01,0.01
22,10,0,0,0,0,-0.02,-0.01,0.02
23,10,0,0,0,0,-0.02,-0.01,0.03
24,10,0,0,0,0,-0.02,-0.01,0.04
25,10,0,0,0,0,-0.02,-0.01,0.05
26,10,0,0,0,0,-0.02,-0.01,0.06
27,10,0,0,0,0,-0.02,-0.01,0.07
28,10,0,0,0,0,-0.02,-0.01,0.08
29,10,0,0,0,0,-0.02,-0.01,0.09
30,10,0,0,0,0,-0.02,-0.01,0.1
31,10,0,0,0,0,-0.02,-0.01,0.11
32,10,0,0,0,0,-0.02,-0.01,0.12
33,10,0,0,0,0,-0.02,-0.01,0.13
34,10,0,0,0,0,-0.02,-0.01,0.14
35,10,0,0,0,0,-0.02,-0.01,0.15
36,10,0,0,0,0,-0.02,0,-0.02
37,10,0,0,0,0,-0.02,0,-0.01
38,10,0,0,0,0,-0.02,0,0
39,10,0,0,0,0,-0.02,0,0.01
40,10,0,0,0,0,-0.02,0,0.02
41,10,0,0,0,0,-0.02,0,0.03
42,10,0,0,0,0,-0.02,0,0.04
43,10,0,0,0,0,-0.02,0,0.05
44,10,0,0,0,0,-0.02,0,0.06
45,10,0,0,0,0,-0.02,0,0.07
46,10,0,0,0,0,-0.02,0,0.08
47,10,0,0,0,0,-0.02,0,0.09
48,10,0,0,0,0,-0.02,0,0.1
49,10,0,0,0,0,-0.02,0,0.11
50,10,0,0,0,0,-0.02,0,0.12
51,10,0,0,0,0,-0.02,0,0.13
52,10,0,0,0,0,-0.02,0,0.14
53,10,0,0,0,0,-0.02,0,0.15
54,10,0,0,0,0,-0.02,0.01,-0.02
55,10,0,0,0,0,-0.02,0.01,-0.01
56,10,0,0,0,0,-0.02,0.01,0
57,10,0,0,0,0,-0.02,0.01,0.01
58,10,0,0,0,0,-0.02,0.01,0.02
59,10,0,0,0,0,-0.02,0.01,0.03
60,10,0,0,0,0,-0.02,0.01,0.04
61,10,0,0,0,0,-0.02,0.01,0.05
62,10,0,0,0,0,-0.02,0.01,0.06
