Point ID,Idp,Mk,"Points:0","Points:1","Points:2",Points_Magnitude,Rhop,Type,"Vel:0","Vel:1","Vel:2",Vel_Magnitude
0,0,10,-0.04,0,-0.04,0.0565685,1000,0,0,0,0,0
1,1,10,-0.04,0,-0.02,0.0447214,1000,0,0,0,0,0
2,2,10,-0.04,0,0,0.04,1000,0,0,0,0,0
3,3,10,-0.04,0,0.02,0.0447214,1000,0,0,0,0,0
4,4,10,-0.04,0,0.04,0.0565685,1000,0,0,0,0,0
5,5,10,-0.04,0,0.06,0.072111,1000,0,0,0,0,0
6,6,10,-0.04,0,0.08,0.0894427,1000,0,0,0,0,0
7,7,10,-0.04,0,0.1,0.107703,1000,0,0,0,0,0
8,8,10,-0.04,0,0.12,0.126491,1000,0,0,0,0,0
9,9,10,-0.04,0,0.14,0.145602,1000,0,0,0,0,0
10,10,10,-0.04,0,0.16,0.164924,1000,0,0,0,0,0
11,11,10,-0.04,0,0.18,0.184391,1000,0,0,0,0,0
12,12,10,-0.04,0,0.2,0.203961,1000,0,0,0,0,0
13,13,10,-0.04,0,0.22,0.223607,1000,0,0,0,0,0
14,14,10,-0.04,0,0.24,0.24331,1000,0,0,0,0,0
15,15,10,-0.04,0,0.26,0.263059,1000,0,0,0,0,0
16,16,10,-0.04,0,0.28,0.282843,1000,0,0,0,0,0
17,17,10,-0.04,0,0.3,0.302655,1000,0,0,0,0,0
18,18,10,-0.04,0,0.32,0.32249,1000,0,0,0,0,0
19,19,10,-0.04,0,0.34,0.342345,1000,0,0,0,0,0
20,20,10,-0.04,0,0.36,0.362215,1000,0,0,0,0,0
21,21,10,-0.04,0,0.38,0.382099,1000,0,0,0,0,0
22,22,10,-0.04,0,0.4,0.401995,1000,0,0,0,0,0
23,23,10,-0.04,0,0.42,0.4219,1000,0,0,0,0,0
24,24,10,-0.04,0,0.44,0.441814,1000,0,0,0,0,0
25,25,10,-0.04,0,0.46,0.461736,1000,0,0,0,0,0
26,26,10,-0.04,0,0.48,0.481664,1000,0,0,0,0,0
27,27,10,-0.04,0,0.5,0.501597,1000,0,0,0,0,0
28,28,10,-0.04,0,0.52,0.521536,1000,0,0,0,0,0
29,29,10,-0.04,0,0.54,0.541479,1000,0,0,0,0,0
30,30,10,-0.04,0,0.56,0.561427,1000,0,0,0,0,0
31,31,10,-0.04,0,0.58,0.581378,1000,0,0,0,0,0
32,32,10,-0.04,0,0.6,0.601332,1000,0,0,0,0,0
33,33,10,-0.04,0,0.62,0.621289,1000,0,0,0,0,0
34,34,10,-0.04,0,0.64,0.641249,1000,0,0,0,0,0
35,35,10,-0.04,0,0.66,0.661211,1000,0,0,0,0,0
36,36,10,-0.04,0,0.68,0.681175,1000,0,0,0,0,0
37,37,10,-0.04,0,0.7,0.701142,1000,0,0,0,0,0
38,38,10,-0.04,0,0.72,0.72111,1000,0,0,0,0,0
39,39,10,-0.04,0,0.74,0.74108,1000,0,0,0,0,0
40,40,10,-0.04,0,0.76,0.761052,1000,0,0,0,0,0
41,41,10,-0.04,0,0.78,0.781025,1000,0,0,0,0,0
42,42,10,-0.04,0,0.8,0.800999,1000,0,0,0,0,0
43,43,10,-0.04,0,0.82,0.820975,1000,0,0,0,0,0
44,44,10,-0.04,0,0.84,0.840952,1000,0,0,0,0,0
45,45,10,-0.04,0,0.86,0.86093,1000,0,0,0,0,0
46,46,10,-0.04,0,0.88,0.880909,1000,0,0,0,0,0
47,47,10,-0.04,0,0.9,0.900888,1000,0,0,0,0,0
48,48,10,-0.04,0,0.92,0.920869,1000,0,0,0,0,0
49,49,10,-0.04,0,0.94,0.940851,1000,0,0,0,0,0
50,50,10,-0.04,0,0.96,0.960833,1000,0,0,0,0,0
51,51,10,-0.04,0,0.98,0.980816,1000,0,0,0,0,0
52,52,10,-0.04,0,1,1.0008,1000,0,0,0,0,0
53,53,10,-0.04,0,1.02,1.02078,1000,0,0,0,0,0
54,54,10,-0.04,0,1.04,1.04077,1000,0,0,0,0,0
55,55,10,-0.04,0,1.06,1.06075,1000,0,0,0,0,0
56,56,10,-0.04,0,1.08,1.08074,1000,0,0,0,0,0
57,57,10,-0.04,0,1.1,1.10073,1000,0,0,0,0,0
58,58,10,-0.04,0,1.12,1.12071,1000,0,0,0,0,0
59,59,10,-0.04,0,1.14,1.1407,1000,0,0,0,0,0
60,60,10,-0.04,0,1.16,1.16069,1000,0,0,0,0,0
61,61,10,-0.04,0,1.18,1.18068,1000,0,0,0,0,0
62,62,10,-0.04,0,1.2,1.20067,1000,0,0,0,0,0
63,63,10,-0.04,0,1.22,1.22066,1000,0,0,0,0,0
64,64,10,-0.04,0,1.24,1.24065,1000,0,0,0,0,0
65,65,10,-0.04,0,1.26,1.26063,1000,0,0,0,0,0
66,66,10,-0.04,0,1.28,1.28062,1000,0,0,0,0,0
67,67,10,-0.04,0,1.3,1.30062,1000,0,0,0,0,0
68,68,10,-0.04,0,1.32,1.32061,1000,0,0,0,0,0
69,69,10,-0.04,0,1.34,1.3406,1000,0,0,0,0,0
70,70,10,-0.04,0,1.36,1.36059,1000,0,0,0,0,0
71,71,10,-0.04,0,1.38,1.38058,1000,0,0,0,0,0
72,72,10,-0.04,0,1.4,1.40057,1000,0,0,0,0,0
73,73,10,-0.04,0,1.42,1.42056,1000,0,0,0,0,0
74,74,10,-0.04,0,1.44,1.44056,1000,0,0,0,0,0
75,75,10,-0.04,0,1.46,1.46055,1000,0,0,0,0,0
76,76,10,-0.04,0,1.48,1.48054,1000,0,0,0,0,0
77,77,10,-0.04,0,1.5,1.50053,1000,0,0,0,0,0
78,78,10,-0.04,0,1.52,1.52053,1000,0,0,0,0,0
79,79,10,-0.04,0,1.54,1.54052,1000,0,0,0,0,0
80,80,10,-0.04,0,1.56,1.56051,1000,0,0,0,0,0
81,81,10,-0.04,0,1.58,1.58051,1000,0,0,0,0,0
82,82,10,-0.04,0,1.6,1.6005,1000,0,0,0,0,0
83,83,10,-0.04,0,1.62,1.62049,1000,0,0,0,0,0
84,84,10,-0.04,0,1.64,1.64049,1000,0,0,0,0,0
85,85,10,-0.04,0,1.66,1.66048,1000,0,0,0,0,0
86,86,10,-0.04,0,1.68,1.68048,1000,0,0,0,0,0
87,87,10,-0.04,0,1.7,1.70047,1000,0,0,0,0,0
88,88,10,-0.04,0,1.72,1.72047,1000,0,0,0,0,0
89,89,10,-0.04,0,1.74,1.74046,1000,0,0,0,0,0
90,90,10,-0.04,0,1.76,1.76045,1000,0,0,0,0,0
91,91,10,-0.04,0,1.78,1.78045,1000,0,0,0,0,0
92,92,10,-0.04,0,1.8,1.80044,1000,0,0,0,0,0
93,93,10,-0.04,0,1.82,1.82044,1000,0,0,0,0,0
94,94,10,-0.04,0,1.84,1.84043,1000,0,0,0,0,0
95,95,10,-0.04,0,1.86,1.86043,1000,0,0,0,0,0
96,96,10,-0.04,0,1.88,1.88043,1000,0,0,0,0,0
97,97,10,-0.04,0,1.9,1.90042,1000,0,0,0,0,0
98,98,10,-0.04,0,1.92,1.92042,1000,0,0,0,0,0
99,99,10,-0.04,0,1.94,1.94041,1000,0,0,0,0,0
100,100,10,-0.04,0,1.96,1.96041,1000,0,0,0,0,0
101,101,10,-0.04,0,1.98,1.9804,1000,0,0,0,0,0
102,102,10,-0.04,0,2,2.0004,1000,0,0,0,0,0
103,103,10,-0.04,0,2.02,2.0204,1000,0,0,0,0,0
104,104,10,-0.04,0,2.04,2.04039,1000,0,0,0,0,0
105,105,10,-0.04,0,2.06,2.06039,1000,0,0,0,0,0
106,106,10,-0.04,0,2.08,2.08038,1000,0,0,0,0,0
107,107,10,-0.04,0,2.1,2.10038,1000,0,0,0,0,0
108,108,10,-0.04,0,2.12,2.12038,1000,0,0,0,0,0
109,109,10,-0.04,0,2.14,2.14037,1000,0,0,0,0,0
110,110,10,-0.04,0,2.16,2.16037,1000,0,0,0,0,0
111,111,10,-0.04,0,2.18,2.18037,1000,0,0,0,0,0
112,112,10,-0.04,0,2.2,2.20036,1000,0,0,0,0,0
