"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
2465,0,0,0,1002.5,3,1,0.1,0,0.1
2466,0,0,0,1002.5,3,1,0.1,0,0.12
2467,0,0,0,1002.4,3,1,0.1,0,0.14
2468,0,0,0,1002.4,3,1,0.1,0,0.16
2469,0,0,0,1002.4,3,1,0.1,0,0.18
2470,0,0,0,1002.4,3,1,0.1,0,0.2
2471,0,0,0,1002.3,3,1,0.1,0,0.22
2472,0,0,0,1002.3,3,1,0.1,0,0.24
2473,0,0,0,1002.3,3,1,0.1,0,0.26
2474,0,0,0,1002.2,3,1,0.1,0,0.28
2475,0,0,0,1002.2,3,1,0.1,0,0.3
2476,0,0,0,1002.2,3,1,0.1,0,0.32
2477,0,0,0,1002.2,3,1,0.1,0,0.34
2478,0,0,0,1002.1,3,1,0.1,0,0.36
2479,0,0,0,1002.1,3,1,0.1,0,0.38
2480,0,0,0,1002.1,3,1,0.1,0,0.4
2481,0,0,0,1002.1,3,1,0.1,0,0.42
2482,0,0,0,1002,3,1,0.1,0,0.44
2483,0,0,0,1002,3,1,0.1,0,0.46
2484,0,0,0,1002,3,1,0.1,0,0.48
2485,0,0,0,1002,3,1,0.1,0,0.5
2486,0,0,0,1001.9,3,1,0.1,0,0.52
2487,0,0,0,1001.9,3,1,0.1,0,0.54
2488,0,0,0,1001.9,3,1,0.1,0,0.56
2489,0,0,0,1001.9,3,1,0.1,0,0.58
2490,0,0,0,1001.8,3,1,0.1,0,0.6
2491,0,0,0,1001.8,3,1,0.1,0,0.62
2492,0,0,0,1001.8,3,1,0.1,0,0.64
2493,0,0,0,1001.8,3,1,0.1,0,0.66
2494,0,0,0,1001.7,3,1,0.1,0,0.68
2495,0,0,0,1001.7,3,1,0.1,0,0.7
2496,0,0,0,1001.7,3,1,0.1,0,0.72
2497,0,0,0,1001.6,3,1,0.1,0,0.74
2498,0,0,0,1001.6,3,1,0.1,0,0.76
2499,0,0,0,1001.6,3,1,0.1,0,0.78
2500,0,0,0,1001.6,3,1,0.1,0,0.8
2501,0,0,0,1001.5,3,1,0.1,0,0.82
2502,0,0,0,1001.5,3,1,0.1,0,0.84
2503,0,0,0,1001.5,3,1,0.1,0,0.86
2504,0,0,0,1001.5,3,1,0.1,0,0.88
2505,0,0,0,1001.4,3,1,0.1,0,0.9
2506,0,0,0,1001.4,3,1,0.1,0,0.92
2507,0,0,0,1001.4,3,1,0.1,0,0.94
2508,0,0,0,1001.4,3,1,0.1,0,0.96
2509,0,0,0,1001.3,3,1,0.1,0,0.98
2510,0,0,0,1001.3,3,1,0.1,0,1
2511,0,0,0,1001.3,3,1,0.1,0,1.02
2512,0,0,0,1001.3,3,1,0.1,0,1.04
2513,0,0,0,1001.2,3,1,0.1,0,1.06
2514,0,0,0,1001.2,3,1,0.1,0,1.08
2515,0,0,0,1001.2,3,1,0.1,0,1.1
2516,0,0,0,1001.2,3,1,0.1,0,1.12
2517,0,0,0,1001.1,3,1,0.1,0,1.14
2518,0,0,0,1001.1,3,1,0.1,0,1.16
2519,0,0,0,1001.1,3,1,0.1,0,1.18
2520,0,0,0,1001,3,1,0.1,0,1.2
2521,0,0,0,1001,3,1,0.1,0,1.22
2522,0,0,0,1001,3,1,0.1,0,1.24
2523,0,0,0,1001,3,1,0.1,0,1.26
2524,0,0,0,1000.9,3,1,0.1,0,1.28
2525,0,0,0,1000.9,3,1,0.1,0,1.3
2526,0,0,0,1000.9,3,1,0.1,0,1.32
2527,0,0,0,1000.9,3,1,0.1,0,1.34
2528,0,0,0,1000.8,3,1,0.1,0,1.36
2529,0,0,0,1000.8,3,1,0.1,0,1.38
2530,0,0,0,1000.8,3,1,0.1,0,1.4
2531,0,0,0,1000.8,3,1,0.1,0,1.42
2532,0,0,0,1000.7,3,1,0.1,0,1.44
2533,0,0,0,1000.7,3,1,0.1,0,1.46
2534,0,0,0,1000.7,3,1,0.1,0,1.48
2535,0,0,0,1000.7,3,1,0.1,0,1.5
2536,0,0,0,1000.6,3,1,0.1,0,1.52
2537,0,0,0,1000.6,3,1,0.1,0,1.54
2538,0,0,0,1000.6,3,1,0.1,0,1.56
2539,0,0,0,1000.6,3,1,0.1,0,1.58
2540,0,0,0,1000.5,3,1,0.1,0,1.6
2541,0,0,0,1000.5,3,1,0.1,0,1.62
2542,0,0,0,1000.5,3,1,0.1,0,1.64
2543,0,0,0,1000.4,3,1,0.1,0,1.66
2544,0,0,0,1000.4,3,1,0.1,0,1.68
2545,0,0,0,1000.4,3,1,0.1,0,1.7
2546,0,0,0,1000.4,3,1,0.1,0,1.72
2547,0,0,0,1000.3,3,1,0.1,0,1.74
2548,0,0,0,1000.3,3,1,0.1,0,1.76
2549,0,0,0,1000.3,3,1,0.1,0,1.78
2550,0,0,0,1000.3,3,1,0.1,0,1.8
2551,0,0,0,1000.2,3,1,0.1,0,1.82
2552,0,0,0,1000.2,3,1,0.1,0,1.84
2553,0,0,0,1000.2,3,1,0.1,0,1.86
2554,0,0,0,1000.2,3,1,0.1,0,1.88
2555,0,0,0,1000.1,3,1,0.1,0,1.9
2556,0,0,0,1000.1,3,1,0.1,0,1.92
2557,0,0,0,1000.1,3,1,0.1,0,1.94
2558,0,0,0,1000.1,3,1,0.1,0,1.96
2559,0,0,0,1000,3,1,0.1,0,1.98
2560,0,0,0,1000,3,1,0.1,0,2
2561,0,0,0,1002.5,3,1,0.12,0,0.1
2562,0,0,0,1002.5,3,1,0.12,0,0.12
2563,0,0,0,1002.4,3,1,0.12,0,0.14
2564,0,0,0,1002.4,3,1,0.12,0,0.16
2565,0,0,0,1002.4,3,1,0.12,0,0.18
2566,0,0,0,1002.4,3,1,0.12,0,0.2
2567,0,0,0,1002.3,3,1,0.12,0,0.22
2568,0,0,0,1002.3,3,1,0.12,0,0.24
2569,0,0,0,1002.3,3,1,0.12,0,0.26
2570,0,0,0,1002.2,3,1,0.12,0,0.28
2571,0,0,0,1002.2,3,1,0.12,0,0.3
2572,0,0,0,1002.2,3,1,0.12,0,0.32
2573,0,0,0,1002.2,3,1,0.12,0,0.34
2574,0,0,0,1002.1,3,1,0.12,0,0.36
2575,0,0,0,1002.1,3,1,0.12,0,0.38
2576,0,0,0,1002.1,3,1,0.12,0,0.4
2577,0,0,0,1002.1,3,1,0.12,0,0.42
2578,0,0,0,1002,3,1,0.12,0,0.44
2579,0,0,0,1002,3,1,0.12,0,0.46
2580,0,0,0,1002,3,1,0.12,0,0.48
2581,0,0,0,1002,3,1,0.12,0,0.5
2582,0,0,0,1001.9,3,1,0.12,0,0.52
2583,0,0,0,1001.9,3,1,0.12,0,0.54
2584,0,0,0,1001.9,3,1,0.12,0,0.56
2585,0,0,0,1001.9,3,1,0.12,0,0.58
2586,0,0,0,1001.8,3,1,0.12,0,0.6
2587,0,0,0,1001.8,3,1,0.12,0,0.62
2588,0,0,0,1001.8,3,1,0.12,0,0.64
2589,0,0,0,1001.8,3,1,0.12,0,0.66
2590,0,0,0,1001.7,3,1,0.12,0,0.68
2591,0,0,0,1001.7,3,1,0.12,0,0.7
2592,0,0,0,1001.7,3,1,0.12,0,0.72
2593,0,0,0,1001.6,3,1,0.12,0,0.74
2594,0,0,0,1001.6,3,1,0.12,0,0.76
2595,0,0,0,1001.6,3,1,0.12,0,0.78
2596,0,0,0,1001.6,3,1,0.12,0,0.8
2597,0,0,0,1001.5,3,1,0.12,0,0.82
2598,0,0,0,1001.5,3,1,0.12,0,0.84
2599,0,0,0,1001.5,3,1,0.12,0,0.86
2600,0,0,0,1001.5,3,1,0.12,0,0.88
2601,0,0,0,1001.4,3,1,0.12,0,0.9
2602,0,0,0,1001.4,3,1,0.12,0,0.92
2603,0,0,0,1001.4,3,1,0.12,0,0.94
2604,0,0,0,1001.4,3,1,0.12,0,0.96
2605,0,0,0,1001.3,3,1,0.12,0,0.98
2606,0,0,0,1001.3,3,1,0.12,0,1
2607,0,0,0,1001.3,3,1,0.12,0,1.02
2608,0,0,0,1001.3,3,1,0.12,0,1.04
2609,0,0,0,1001.2,3,1,0.12,0,1.06
2610,0,0,0,1001.2,3,1,0.12,0,1.08
2611,0,0,0,1001.2,3,1,0.12,0,1.1
2612,0,0,0,1001.2,3,1,0.12,0,1.12
2613,0,0,0,1001.1,3,1,0.12,0,1.14
2614,0,0,0,1001.1,3,1,0.12,0,1.16
2615,0,0,0,1001.1,3,1,0.12,0,1.18
2616,0,0,0,1001,3,1,0.12,0,1.2
2617,0,0,0,1001,3,1,0.12,0,1.22
2618,0,0,0,1001,3,1,0.12,0,1.24
2619,0,0,0,1001,3,1,0.12,0,1.26
2620,0,0,0,1000.9,3,1,0.12,0,1.28
2621,0,0,0,1000.9,3,1,0.12,0,1.3
2622,0,0,0,1000.9,3,1,0.12,0,1.32
2623,0,0,0,1000.9,3,1,0.12,0,1.34
2624,0,0,0,1000.8,3,1,0.12,0,1.36
2625,0,0,0,1000.8,3,1,0.12,0,1.38
2626,0,0,0,1000.8,3,1,0.12,0,1.4
2627,0,0,0,1000.8,3,1,0.12,0,1.42
2628,0,0,0,1000.7,3,1,0.12,0,1.44
2629,0,0,0,1000.7,3,1,0.12,0,1.46
2630,0,0,0,1000.7,3,1,0.12,0,1.48
2631,0,0,0,1000.7,3,1,0.12,0,1.5
2632,0,0,0,1000.6,3,1,0.12,0,1.52
2633,0,0,0,1000.6,3,1,0.12,0,1.54
2634,0,0,0,1000.6,3,1,0.12,0,1.56
2635,0,0,0,1000.6,3,1,0.12,0,1.58
2636,0,0,0,1000.5,3,1,0.12,0,1.6
2637,0,0,0,1000.5,3,1,0.12,0,1.62
2638,0,0,0,1000.5,3,1,0.12,0,1.64
2639,0,0,0,1000.4,3,1,0.12,0,1.66
2640,0,0,0,1000.4,3,1,0.12,0,1.68
2641,0,0,0,1000.4,3,1,0.12,0,1.7
2642,0,0,0,1000.4,3,1,0.12,0,1.72
2643,0,0,0,1000.3,3,1,0.12,0,1.74
2644,0,0,0,1000.3,3,1,0.12,0,1.76
2645,0,0,0,1000.3,3,1,0.12,0,1.78
2646,0,0,0,1000.3,3,1,0.12,0,1.8
2647,0,0,0,1000.2,3,1,0.12,0,1.82
2648,0,0,0,1000.2,3,1,0.12,0,1.84
2649,0,0,0,1000.2,3,1,0.12,0,1.86
2650,0,0,0,1000.2,3,1,0.12,0,1.88
2651,0,0,0,1000.1,3,1,0.12,0,1.9
2652,0,0,0,1000.1,3,1,0.12,0,1.92
2653,0,0,0,1000.1,3,1,0.12,0,1.94
2654,0,0,0,1000.1,3,1,0.12,0,1.96
2655,0,0,0,1000,3,1,0.12,0,1.98
2656,0,0,0,1000,3,1,0.12,0,2
2657,0,0,0,1002.5,3,1,0.14,0,0.1
2658,0,0,0,1002.5,3,1,0.14,0,0.12
2659,0,0,0,1002.4,3,1,0.14,0,0.14
2660,0,0,0,1002.4,3,1,0.14,0,0.16
2661,0,0,0,1002.4,3,1,0.14,0,0.18
2662,0,0,0,1002.4,3,1,0.14,0,0.2
2663,0,0,0,1002.3,3,1,0.14,0,0.22
2664,0,0,0,1002.3,3,1,0.14,0,0.24
2665,0,0,0,1002.3,3,1,0.14,0,0.26
2666,0,0,0,1002.2,3,1,0.14,0,0.28
2667,0,0,0,1002.2,3,1,0.14,0,0.3
2668,0,0,0,1002.2,3,1,0.14,0,0.32
2669,0,0,0,1002.2,3,1,0.14,0,0.34
2670,0,0,0,1002.1,3,1,0.14,0,0.36
2671,0,0,0,1002.1,3,1,0.14,0,0.38
2672,0,0,0,1002.1,3,1,0.14,0,0.4
2673,0,0,0,1002.1,3,1,0.14,0,0.42
2674,0,0,0,1002,3,1,0.14,0,0.44
2675,0,0,0,1002,3,1,0.14,0,0.46
2676,0,0,0,1002,3,1,0.14,0,0.48
2677,0,0,0,1002,3,1,0.14,0,0.5
2678,0,0,0,1001.9,3,1,0.14,0,0.52
2679,0,0,0,1001.9,3,1,0.14,0,0.54
2680,0,0,0,1001.9,3,1,0.14,0,0.56
2681,0,0,0,1001.9,3,1,0.14,0,0.58
2682,0,0,0,1001.8,3,1,0.14,0,0.6
2683,0,0,0,1001.8,3,1,0.14,0,0.62
2684,0,0,0,1001.8,3,1,0.14,0,0.64
2685,0,0,0,1001.8,3,1,0.14,0,0.66
2686,0,0,0,1001.7,3,1,0.14,0,0.68
2687,0,0,0,1001.7,3,1,0.14,0,0.7
2688,0,0,0,1001.7,3,1,0.14,0,0.72
2689,0,0,0,1001.6,3,1,0.14,0,0.74
2690,0,0,0,1001.6,3,1,0.14,0,0.76
2691,0,0,0,1001.6,3,1,0.14,0,0.78
2692,0,0,0,1001.6,3,1,0.14,0,0.8
2693,0,0,0,1001.5,3,1,0.14,0,0.82
2694,0,0,0,1001.5,3,1,0.14,0,0.84
2695,0,0,0,1001.5,3,1,0.14,0,0.86
2696,0,0,0,1001.5,3,1,0.14,0,0.88
2697,0,0,0,1001.4,3,1,0.14,0,0.9
2698,0,0,0,1001.4,3,1,0.14,0,0.92
2699,0,0,0,1001.4,3,1,0.14,0,0.94
