Point ID,Idp,Mk,"Points:0","Points:1","Points:2",Points_Magnitude,Rhop,Type,"Vel:0","Vel:1","Vel:2",Vel_Magnitude
0,501,1,0.02,0,0.02,0.0282843,1002.48,3,0,0,0,0
1,502,1,0.02,0,0.04,0.0447214,1002.46,3,0,0,0,0
2,503,1,0.02,0,0.06,0.0632455,1002.43,3,0,0,0,0
3,504,1,0.02,0,0.08,0.0824621,1002.41,3,0,0,0,0
4,505,1,0.02,0,0.1,0.10198,1002.38,3,0,0,0,0
5,506,1,0.02,0,0.12,0.121655,1002.36,3,0,0,0,0
6,507,1,0.02,0,0.14,0.141421,1002.33,3,0,0,0,0
7,508,1,0.02,0,0.16,0.161245,1002.31,3,0,0,0,0
8,509,1,0.02,0,0.18,0.181108,1002.28,3,0,0,0,0
9,510,1,0.02,0,0.2,0.200998,1002.26,3,0,0,0,0
10,511,1,0.02,0,0.22,0.220907,1002.23,3,0,0,0,0
11,512,1,0.02,0,0.24,0.240832,1002.21,3,0,0,0,0
12,513,1,0.02,0,0.26,0.260768,1002.18,3,0,0,0,0
13,514,1,0.02,0,0.28,0.280713,1002.16,3,0,0,0,0
14,515,1,0.02,0,0.3,0.300666,1002.13,3,0,0,0,0
15,516,1,0.02,0,0.32,0.320624,1002.11,3,0,0,0,0
16,517,1,0.02,0,0.34,0.340588,1002.08,3,0,0,0,0
17,518,1,0.02,0,0.36,0.360555,1002.06,3,0,0,0,0
18,519,1,0.02,0,0.38,0.380526,1002.03,3,0,0,0,0
19,520,1,0.02,0,0.4,0.4005,1002.01,3,0,0,0,0
20,521,1,0.02,0,0.42,0.420476,1001.98,3,0,0,0,0
21,522,1,0.02,0,0.44,0.440454,1001.96,3,0,0,0,0
22,523,1,0.02,0,0.46,0.460435,1001.93,3,0,0,0,0
23,524,1,0.02,0,0.48,0.480416,1001.91,3,0,0,0,0
24,525,1,0.02,0,0.5,0.5004,1001.88,3,0,0,0,0
25,526,1,0.02,0,0.52,0.520384,1001.86,3,0,0,0,0
26,527,1,0.02,0,0.54,0.54037,1001.83,3,0,0,0,0
27,528,1,0.02,0,0.56,0.560357,1001.81,3,0,0,0,0
28,529,1,0.02,0,0.58,0.580345,1001.78,3,0,0,0,0
29,530,1,0.02,0,0.6,0.600333,1001.76,3,0,0,0,0
30,531,1,0.02,0,0.62,0.620323,1001.73,3,0,0,0,0
31,532,1,0.02,0,0.64,0.640312,1001.71,3,0,0,0,0
32,533,1,0.02,0,0.66,0.660303,1001.68,3,0,0,0,0
33,534,1,0.02,0,0.68,0.680294,1001.66,3,0,0,0,0
34,535,1,0.02,0,0.7,0.700286,1001.63,3,0,0,0,0
35,536,1,0.02,0,0.72,0.720278,1001.61,3,0,0,0,0
36,537,1,0.02,0,0.74,0.74027,1001.58,3,0,0,0,0
37,538,1,0.02,0,0.76,0.760263,1001.56,3,0,0,0,0
