"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.1,0,0.1,0.14142,-0.06,0,-0.06
1,10,0.1,0,0.06,0.11662,-0.06,0,-0.04
2,10,0.1,0,0.02,0.10198,-0.06,0,-0.02
3,10,0.1,0,0,0.1,-0.06,0,0
4,10,0.1,0,0,0.1,-0.06,0,0.02
5,10,0.1,0,0,0.1,-0.06,0,0.04
6,10,0.1,0,0,0.1,-0.06,0,0.06
7,10,0.1,0,0,0.1,-0.06,0,0.08
8,10,0.1,0,0,0.1,-0.06,0,0.1
9,10,0.1,0,0,0.1,-0.06,0,0.12
10,10,0.1,0,0,0.1,-0.06,0,0.14
11,10,0.1,0,0,0.1,-0.06,0,0.16
12,10,0.1,0,0,0.1,-0.06,0,0.18
13,10,0.1,0,0,0.1,-0.06,0,0.2
14,10,0.1,0,0,0.1,-0.06,0,0.22
15,10,0.1,0,0,0.1,-0.06,0,0.24
16,10,0.1,0,0,0.1,-0.06,0,0.26
17,10,0.1,0,0,0.1,-0.06,0,0.28
18,10,0.1,0,0,0.1,-0.06,0,0.3
19,10,0.1,0,0,0.1,-0.06,0,0.32
20,10,0.1,0,0,0.1,-0.06,0,0.34
21,10,0.1,0,0,0.1,-0.06,0,0.36
22,10,0.1,0,0,0.1,-0.06,0,0.38
23,10,0.1,0,0,0.1,-0.06,0,0.4
24,10,0.1,0,0,0.1,-0.06,0,0.42
25,10,0.1,0,0,0.1,-0.06,0,0.44
26,10,0.1,0,0,0.1,-0.06,0,0.46
27,10,0.1,0,0,0.1,-0.06,0,0.48
28,10,0.1,0,0,0.1,-0.06,0,0.5
29,10,0.1,0,0,0.1,-0.06,0,0.52
30,10,0.1,0,0,0.1,-0.06,0,0.54
31,10,0.1,0,0,0.1,-0.06,0,0.56
32,10,0.1,0,0,0.1,-0.06,0,0.58
33,10,0.1,0,0,0.1,-0.06,0,0.6
34,10,0.1,0,0,0.1,-0.06,0,0.62
35,10,0.1,0,0,0.1,-0.06,0,0.64
