Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
0,0,10,0.001,0.001,0.001,0.00173205,1000,0,0,0,0,0
1,1,10,0.001,0.001,0.0095,0.00960469,1000,0,0,0,0,0
2,2,10,0.001,0.001,0.018,0.0180555,1000,0,0,0,0,0
3,3,10,0.001,0.001,0.0265,0.0265377,1000,0,0,0,0,0
4,4,10,0.001,0.001,0.035,0.0350286,1000,0,0,0,0,0
5,5,10,0.001,0.001,0.0435,0.043523,1000,0,0,0,0,0
6,6,10,0.001,0.001,0.052,0.0520192,1000,0,0,0,0,0
7,7,10,0.001,0.001,0.0605,0.0605165,1000,0,0,0,0,0
8,8,10,0.001,0.001,0.069,0.0690145,1000,0,0,0,0,0
9,9,10,0.001,0.001,0.0775,0.0775129,1000,0,0,0,0,0
10,10,10,0.001,0.001,0.086,0.0860116,1000,0,0,0,0,0
11,11,10,0.001,0.001,0.0945,0.0945106,1000,0,0,0,0,0
12,12,10,0.001,0.001,0.103,0.10301,1000,0,0,0,0,0
13,13,10,0.001,0.001,0.1115,0.111509,1000,0,0,0,0,0
14,14,10,0.001,0.001,0.12,0.120008,1000,0,0,0,0,0
15,15,10,0.001,0.001,0.1285,0.128508,1000,0,0,0,0,0
16,16,10,0.001,0.001,0.137,0.137007,1000,0,0,0,0,0
17,17,10,0.001,0.001,0.1455,0.145507,1000,0,0,0,0,0
18,18,10,0.001,0.001,0.154,0.154006,1000,0,0,0,0,0
19,19,10,0.001,0.001,0.1625,0.162506,1000,0,0,0,0,0
20,20,10,0.001,0.001,0.171,0.171006,1000,0,0,0,0,0
21,21,10,0.001,0.001,0.1795,0.179506,1000,0,0,0,0,0
22,22,10,0.001,0.001,0.188,0.188005,1000,0,0,0,0,0
23,23,10,0.001,0.001,0.1965,0.196505,1000,0,0,0,0,0
24,24,10,0.001,0.001,0.205,0.205005,1000,0,0,0,0,0
25,25,10,0.001,0.001,0.2135,0.213505,1000,0,0,0,0,0
26,26,10,0.001,0.001,0.222,0.222005,1000,0,0,0,0,0
27,27,10,0.001,0.001,0.2305,0.230504,1000,0,0,0,0,0
28,28,10,0.001,0.001,0.239,0.239004,1000,0,0,0,0,0
29,29,10,0.001,0.001,0.2475,0.247504,1000,0,0,0,0,0
30,30,10,0.001,0.001,0.256,0.256004,1000,0,0,0,0,0
31,31,10,0.001,0.001,0.2645,0.264504,1000,0,0,0,0,0
32,32,10,0.001,0.001,0.273,0.273004,1000,0,0,0,0,0
33,33,10,0.001,0.001,0.2815,0.281504,1000,0,0,0,0,0
34,34,10,0.001,0.001,0.29,0.290003,1000,0,0,0,0,0
35,35,10,0.001,0.001,0.2985,0.298503,1000,0,0,0,0,0
36,36,10,0.001,0.001,0.307,0.307003,1000,0,0,0,0,0
37,37,10,0.001,0.001,0.3155,0.315503,1000,0,0,0,0,0
38,38,10,0.001,0.001,0.324,0.324003,1000,0,0,0,0,0
39,39,10,0.001,0.001,0.3325,0.332503,1000,0,0,0,0,0
40,40,10,0.001,0.001,0.341,0.341003,1000,0,0,0,0,0
41,41,10,0.001,0.001,0.3495,0.349503,1000,0,0,0,0,0
42,42,10,0.001,0.001,0.358,0.358003,1000,0,0,0,0,0
43,43,10,0.001,0.001,0.3665,0.366503,1000,0,0,0,0,0
44,44,10,0.001,0.001,0.375,0.375003,1000,0,0,0,0,0
45,45,10,0.001,0.001,0.3835,0.383503,1000,0,0,0,0,0
46,46,10,0.001,0.001,0.392,0.392003,1000,0,0,0,0,0
47,47,10,0.001,0.001,0.4005,0.400503,1000,0,0,0,0,0
48,48,10,0.001,0.0095,0.001,0.00960469,1000,0,0,0,0,0
49,49,10,0.001,0.0095,0.0095,0.0134722,1000,0,0,0,0,0
50,50,10,0.001,0.0095,0.018,0.0203777,1000,0,0,0,0,0
51,51,10,0.001,0.0095,0.0265,0.0281691,1000,0,0,0,0,0
52,52,10,0.001,0.0095,0.035,0.0362802,1000,0,0,0,0,0
53,53,10,0.001,0.0095,0.0435,0.0445365,1000,0,0,0,0,0
54,54,10,0.001,0.0095,0.052,0.0528701,1000,0,0,0,0,0
55,55,10,0.001,0.0095,0.0605,0.0612495,1000,0,0,0,0,0
56,56,10,0.001,0.0095,0.069,0.0696581,1000,0,0,0,0,0
57,57,10,0.001,0.0095,0.0775,0.0780865,1000,0,0,0,0,0
58,58,10,0.001,0.0095,0.086,0.0865289,1000,0,0,0,0,0
59,59,10,0.001,0.0095,0.0945,0.0949816,1000,0,0,0,0,0
60,60,10,0.001,0.0095,0.103,0.103442,1000,0,0,0,0,0
61,61,10,0.001,0.0095,0.1115,0.111908,1000,0,0,0,0,0
62,62,10,0.001,0.0095,0.12,0.12038,1000,0,0,0,0,0
63,63,10,0.001,0.0095,0.1285,0.128855,1000,0,0,0,0,0
64,64,10,0.001,0.0095,0.137,0.137333,1000,0,0,0,0,0
65,65,10,0.001,0.0095,0.1455,0.145813,1000,0,0,0,0,0
66,66,10,0.001,0.0095,0.154,0.154296,1000,0,0,0,0,0
67,67,10,0.001,0.0095,0.1625,0.162781,1000,0,0,0,0,0
68,68,10,0.001,0.0095,0.171,0.171267,1000,0,0,0,0,0
69,69,10,0.001,0.0095,0.1795,0.179754,1000,0,0,0,0,0
70,70,10,0.001,0.0095,0.188,0.188243,1000,0,0,0,0,0
