Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
0,7846,1,0.03,0.03,0.03,0.0519615,1002.48,3,0,0,0,0
1,7847,1,0.03,0.03,0.05,0.0655744,1002.31,3,0,0,0,0
2,7848,1,0.03,0.03,0.07,0.0818535,1002.13,3,0,0,0,0
3,7849,1,0.03,0.03,0.09,0.0994987,1001.95,3,0,0,0,0
4,7850,1,0.03,0.03,0.11,0.117898,1001.78,3,0,0,0,0
5,7851,1,0.03,0.03,0.13,0.136748,1001.6,3,0,0,0,0
6,7852,1,0.03,0.03,0.15,0.155885,1001.42,3,0,0,0,0
7,7853,1,0.03,0.03,0.17,0.175214,1001.25,3,0,0,0,0
8,7854,1,0.03,0.03,0.19,0.194679,1001.07,3,0,0,0,0
9,7855,1,0.03,0.03,0.21,0.214243,1000.89,3,0,0,0,0
10,7856,1,0.03,0.03,0.23,0.23388,1000.71,3,0,0,0,0
11,7857,1,0.03,0.03,0.25,0.253574,1000.53,3,0,0,0,0
12,7858,1,0.03,0.03,0.27,0.273313,1000.36,3,0,0,0,0
13,7859,1,0.03,0.03,0.29,0.293087,1000.18,3,0,0,0,0
14,7860,1,0.03,0.03,0.31,0.31289,1000,3,0,0,0,0
15,7861,1,0.03,0.05,0.03,0.0655744,1002.48,3,0,0,0,0
16,7862,1,0.03,0.05,0.05,0.0768115,1002.31,3,0,0,0,0
17,7863,1,0.03,0.05,0.07,0.0911043,1002.13,3,0,0,0,0
18,7864,1,0.03,0.05,0.09,0.107238,1001.95,3,0,0,0,0
19,7865,1,0.03,0.05,0.11,0.124499,1001.78,3,0,0,0,0
20,7866,1,0.03,0.05,0.13,0.142478,1001.6,3,0,0,0,0
21,7867,1,0.03,0.05,0.15,0.160935,1001.42,3,0,0,0,0
22,7868,1,0.03,0.05,0.17,0.179722,1001.25,3,0,0,0,0
23,7869,1,0.03,0.05,0.19,0.198746,1001.07,3,0,0,0,0
24,7870,1,0.03,0.05,0.21,0.217945,1000.89,3,0,0,0,0
25,7871,1,0.03,0.05,0.23,0.237276,1000.71,3,0,0,0,0
26,7872,1,0.03,0.05,0.25,0.25671,1000.53,3,0,0,0,0
27,7873,1,0.03,0.05,0.27,0.276225,1000.36,3,0,0,0,0
28,7874,1,0.03,0.05,0.29,0.295804,1000.18,3,0,0,0,0
29,7875,1,0.03,0.05,0.31,0.315436,1000,3,0,0,0,0
30,7876,1,0.03,0.07,0.03,0.0818535,1002.48,3,0,0,0,0
31,7877,1,0.03,0.07,0.05,0.0911043,1002.31,3,0,0,0,0
32,7878,1,0.03,0.07,0.07,0.103441,1002.13,3,0,0,0,0
33,7879,1,0.03,0.07,0.09,0.117898,1001.95,3,0,0,0,0
34,7880,1,0.03,0.07,0.11,0.133791,1001.78,3,0,0,0,0
35,7881,1,0.03,0.07,0.13,0.150665,1001.6,3,0,0,0,0
36,7882,1,0.03,0.07,0.15,0.168226,1001.42,3,0,0,0,0
37,7883,1,0.03,0.07,0.17,0.186279,1001.25,3,0,0,0,0
38,7884,1,0.03,0.07,0.19,0.204695,1001.07,3,0,0,0,0
39,7885,1,0.03,0.07,0.21,0.223383,1000.89,3,0,0,0,0
40,7886,1,0.03,0.07,0.23,0.242281,1000.71,3,0,0,0,0
41,7887,1,0.03,0.07,0.25,0.261343,1000.53,3,0,0,0,0
42,7888,1,0.03,0.07,0.27,0.280535,1000.36,3,0,0,0,0
43,7889,1,0.03,0.07,0.29,0.299833,1000.18,3,0,0,0,0
44,7890,1,0.03,0.07,0.31,0.319218,1000,3,0,0,0,0
45,7891,1,0.03,0.09,0.03,0.0994987,1002.48,3,0,0,0,0
46,7892,1,0.03,0.09,0.05,0.107238,1002.31,3,0,0,0,0
47,7893,1,0.03,0.09,0.07,0.117898,1002.13,3,0,0,0,0
48,7894,1,0.03,0.09,0.09,0.130767,1001.95,3,0,0,0,0
49,7895,1,0.03,0.09,0.11,0.145258,1001.78,3,0,0,0,0
50,7896,1,0.03,0.09,0.13,0.160935,1001.6,3,0,0,0,0
51,7897,1,0.03,0.09,0.15,0.177482,1001.42,3,0,0,0,0
52,7898,1,0.03,0.09,0.17,0.194679,1001.25,3,0,0,0,0
53,7899,1,0.03,0.09,0.19,0.212368,1001.07,3,0,0,0,0
54,7900,1,0.03,0.09,0.21,0.230434,1000.89,3,0,0,0,0
55,7901,1,0.03,0.09,0.23,0.248797,1000.71,3,0,0,0,0
56,7902,1,0.03,0.09,0.25,0.267395,1000.53,3,0,0,0,0
57,7903,1,0.03,0.09,0.27,0.286182,1000.36,3,0,0,0,0
58,7904,1,0.03,0.09,0.29,0.305123,1000.18,3,0,0,0,0
59,7905,1,0.03,0.09,0.31,0.324191,1000,3,0,0,0,0
60,7906,1,0.03,0.11,0.03,0.117898,1002.48,3,0,0,0,0
61,7907,1,0.03,0.11,0.05,0.124499,1002.31,3,0,0,0,0
62,7908,1,0.03,0.11,0.07,0.133791,1002.13,3,0,0,0,0
63,7909,1,0.03,0.11,0.09,0.145258,1001.95,3,0,0,0,0
64,7910,1,0.03,0.11,0.11,0.15843,1001.78,3,0,0,0,0
65,7911,1,0.03,0.11,0.13,0.172916,1001.6,3,0,0,0,0
66,7912,1,0.03,0.11,0.15,0.188414,1001.42,3,0,0,0,0
67,7913,1,0.03,0.11,0.17,0.204695,1001.25,3,0,0,0,0
68,7914,1,0.03,0.11,0.19,0.221585,1001.07,3,0,0,0,0
69,7915,1,0.03,0.11,0.21,0.238956,1000.89,3,0,0,0,0
70,7916,1,0.03,0.11,0.23,0.25671,1000.71,3,0,0,0,0
71,7917,1,0.03,0.11,0.25,0.274773,1000.53,3,0,0,0,0
72,7918,1,0.03,0.11,0.27,0.293087,1000.36,3,0,0,0,0
73,7919,1,0.03,0.11,0.29,0.311609,1000.18,3,0,0,0,0
74,7920,1,0.03,0.11,0.31,0.330303,1000,3,0,0,0,0
75,7921,1,0.03,0.13,0.03,0.136748,1002.48,3,0,0,0,0
76,7922,1,0.03,0.13,0.05,0.142478,1002.31,3,0,0,0,0
77,7923,1,0.03,0.13,0.07,0.150665,1002.13,3,0,0,0,0
78,7924,1,0.03,0.13,0.09,0.160935,1001.95,3,0,0,0,0
79,7925,1,0.03,0.13,0.11,0.172916,1001.78,3,0,0,0,0
80,7926,1,0.03,0.13,0.13,0.186279,1001.6,3,0,0,0,0
81,7927,1,0.03,0.13,0.15,0.200749,1001.42,3,0,0,0,0
82,7928,1,0.03,0.13,0.17,0.216102,1001.25,3,0,0,0,0
83,7929,1,0.03,0.13,0.19,0.232164,1001.07,3,0,0,0,0
84,7930,1,0.03,0.13,0.21,0.248797,1000.89,3,0,0,0,0
85,7931,1,0.03,0.13,0.23,0.265895,1000.71,3,0,0,0,0
86,7932,1,0.03,0.13,0.25,0.283373,1000.53,3,0,0,0,0
87,7933,1,0.03,0.13,0.27,0.301164,1000.36,3,0,0,0,0
88,7934,1,0.03,0.13,0.29,0.319218,1000.18,3,0,0,0,0
89,7935,1,0.03,0.13,0.31,0.337491,1000,3,0,0,0,0
90,7936,1,0.03,0.15,0.03,0.155885,1002.48,3,0,0,0,0
91,7937,1,0.03,0.15,0.05,0.160935,1002.31,3,0,0,0,0
92,7938,1,0.03,0.15,0.07,0.168226,1002.13,3,0,0,0,0
93,7939,1,0.03,0.15,0.09,0.177482,1001.95,3,0,0,0,0
94,7940,1,0.03,0.15,0.11,0.188414,1001.78,3,0,0,0,0
