"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,7125,1,0.02,0,0.02,0.0282843,1000,3,0,0,0,0
1,7126,1,0.02,0,0.04,0.0447214,1000,3,0,0,0,0
2,7127,1,0.02,0,0.06,0.0632455,1000,3,0,0,0,0
3,7128,1,0.02,0,0.08,0.0824621,1000,3,0,0,0,0
4,7129,1,0.02,0,0.1,0.10198,1000,3,0,0,0,0
5,7130,1,0.02,0,0.12,0.121655,1000,3,0,0,0,0
6,7131,1,0.02,0,0.14,0.141421,1000,3,0,0,0,0
7,7132,1,0.02,0,0.16,0.161245,1000,3,0,0,0,0
8,7133,1,0.02,0,0.18,0.181108,1000,3,0,0,0,0
9,7134,1,0.02,0,0.2,0.200998,1000,3,0,0,0,0
10,7135,1,0.02,0,0.22,0.220907,1000,3,0,0,0,0
11,7136,1,0.02,0,0.24,0.240832,1000,3,0,0,0,0
12,7137,1,0.02,0,0.26,0.260768,1000,3,0,0,0,0
13,7138,1,0.02,0,0.28,0.280713,1000,3,0,0,0,0
14,7139,1,0.02,0,0.3,0.300666,1000,3,0,0,0,0
15,7140,1,0.02,0,0.32,0.320624,1000,3,0,0,0,0
16,7141,1,0.02,0,0.34,0.340588,1000,3,0,0,0,0
17,7142,1,0.02,0,0.36,0.360555,1000,3,0,0,0,0
18,7143,1,0.02,0,0.38,0.380526,1000,3,0,0,0,0
19,7144,1,0.02,0,0.4,0.4005,1000,3,0,0,0,0
20,7145,1,0.02,0,0.42,0.420476,1000,3,0,0,0,0
21,7146,1,0.02,0,0.44,0.440454,1000,3,0,0,0,0
22,7147,1,0.02,0,0.46,0.460435,1000,3,0,0,0,0
23,7148,1,0.02,0,0.48,0.480416,1000,3,0,0,0,0
24,7149,1,0.02,0,0.5,0.5004,1000,3,0,0,0,0
25,7150,1,0.02,0,0.52,0.520384,1000,3,0,0,0,0
26,7151,1,0.02,0,0.54,0.54037,1000,3,0,0,0,0
27,7152,1,0.02,0,0.56,0.560357,1000,3,0,0,0,0
28,7153,1,0.02,0,0.58,0.580345,1000,3,0,0,0,0
29,7154,1,0.02,0,0.6,0.600333,1000,3,0,0,0,0
30,7155,1,0.02,0,0.62,0.620323,1000,3,0,0,0,0
31,7156,1,0.02,0,0.64,0.640312,1000,3,0,0,0,0
32,7157,1,0.02,0,0.66,0.660303,1000,3,0,0,0,0
33,7158,1,0.02,0,0.68,0.680294,1000,3,0,0,0,0
34,7159,1,0.02,0,0.7,0.700286,1000,3,0,0,0,0
35,7160,1,0.02,0,0.72,0.720278,1000,3,0,0,0,0
36,7161,1,0.02,0,0.74,0.74027,1000,3,0,0,0,0
37,7162,1,0.02,0,0.76,0.760263,1000,3,0,0,0,0
38,7163,1,0.02,0,0.78,0.780256,1000,3,0,0,0,0
39,7164,1,0.02,0,0.8,0.80025,1000,3,0,0,0,0
40,7165,1,0.02,0,0.82,0.820244,1000,3,0,0,0,0
41,7166,1,0.02,0,0.84,0.840238,1000,3,0,0,0,0
42,7167,1,0.02,0,0.86,0.860233,1000,3,0,0,0,0
43,7168,1,0.02,0,0.88,0.880227,1000,3,0,0,0,0
44,7169,1,0.02,0,0.9,0.900222,1000,3,0,0,0,0
45,7170,1,0.02,0,0.92,0.920217,1000,3,0,0,0,0
46,7171,1,0.02,0,0.94,0.940213,1000,3,0,0,0,0
47,7172,1,0.02,0,0.96,0.960208,1000,3,0,0,0,0
48,7173,1,0.02,0,0.98,0.980204,1000,3,0,0,0,0
49,7174,1,0.02,0,1,1.0002,1000,3,0,0,0,0
50,7175,1,0.02,0,1.02,1.0202,1000,3,0,0,0,0
51,7176,1,0.02,0,1.04,1.04019,1000,3,0,0,0,0
52,7177,1,0.02,0,1.06,1.06019,1000,3,0,0,0,0
53,7178,1,0.02,0,1.08,1.08019,1000,3,0,0,0,0
54,7179,1,0.02,0,1.1,1.10018,1000,3,0,0,0,0
55,7180,1,0.02,0,1.12,1.12018,1000,3,0,0,0,0
56,7181,1,0.02,0,1.14,1.14018,1000,3,0,0,0,0
57,7182,1,0.02,0,1.16,1.16017,1000,3,0,0,0,0
58,7183,1,0.02,0,1.18,1.18017,1000,3,0,0,0,0
59,7184,1,0.02,0,1.2,1.20017,1000,3,0,0,0,0
60,7185,1,0.02,0,1.22,1.22016,1000,3,0,0,0,0
61,7186,1,0.02,0,1.24,1.24016,1000,3,0,0,0,0
62,7187,1,0.02,0,1.26,1.26016,1000,3,0,0,0,0
63,7188,1,0.02,0,1.28,1.28016,1000,3,0,0,0,0
64,7189,1,0.02,0,1.3,1.30015,1000,3,0,0,0,0
65,7190,1,0.02,0,1.32,1.32015,1000,3,0,0,0,0
66,7191,1,0.02,0,1.34,1.34015,1000,3,0,0,0,0
67,7192,1,0.02,0,1.36,1.36015,1000,3,0,0,0,0
68,7193,1,0.02,0,1.38,1.38014,1000,3,0,0,0,0
69,7194,1,0.02,0,1.4,1.40014,1000,3,0,0,0,0
70,7195,1,0.02,0,1.42,1.42014,1000,3,0,0,0,0
71,7196,1,0.02,0,1.44,1.44014,1000,3,0,0,0,0
72,7197,1,0.02,0,1.46,1.46014,1000,3,0,0,0,0
73,7198,1,0.02,0,1.48,1.48014,1000,3,0,0,0,0
74,7199,1,0.02,0,1.5,1.50013,1000,3,0,0,0,0
75,7200,1,0.02,0,1.52,1.52013,1000,3,0,0,0,0
76,7201,1,0.02,0,1.54,1.54013,1000,3,0,0,0,0
77,7202,1,0.02,0,1.56,1.56013,1000,3,0,0,0,0
78,7203,1,0.02,0,1.58,1.58013,1000,3,0,0,0,0
79,7204,1,0.02,0,1.6,1.60013,1000,3,0,0,0,0
80,7205,1,0.02,0,1.62,1.62012,1000,3,0,0,0,0
81,7206,1,0.02,0,1.64,1.64012,1000,3,0,0,0,0
82,7207,1,0.02,0,1.66,1.66012,1000,3,0,0,0,0
83,7208,1,0.02,0,1.68,1.68012,1000,3,0,0,0,0
84,7209,1,0.02,0,1.7,1.70012,1000,3,0,0,0,0
85,7210,1,0.02,0,1.72,1.72012,1000,3,0,0,0,0
86,7211,1,0.02,0,1.74,1.74011,1000,3,0,0,0,0
87,7212,1,0.02,0,1.76,1.76011,1000,3,0,0,0,0
88,7213,1,0.02,0,1.78,1.78011,1000,3,0,0,0,0
89,7214,1,0.02,0,1.8,1.80011,1000,3,0,0,0,0
90,7215,1,0.02,0,1.82,1.82011,1000,3,0,0,0,0
91,7216,1,0.02,0,1.84,1.84011,1000,3,0,0,0,0
92,7217,1,0.02,0,1.86,1.86011,1000,3,0,0,0,0
93,7218,1,0.02,0,1.88,1.88011,1000,3,0,0,0,0
94,7219,1,0.02,0,1.9,1.90011,1000,3,0,0,0,0
95,7220,1,0.02,0,1.92,1.9201,1000,3,0,0,0,0
96,7221,1,0.02,0,1.94,1.9401,1000,3,0,0,0,0
97,7222,1,0.02,0,1.96,1.9601,1000,3,0,0,0,0
98,7223,1,0.02,0,1.98,1.9801,1000,3,0,0,0,0
99,7224,1,0.02,0,2,2.0001,1000,3,0,0,0,0
100,7225,1,0.02,0,2.02,2.0201,1000,3,0,0,0,0
101,7226,1,0.02,0,2.04,2.0401,1000,3,0,0,0,0
102,7227,1,0.02,0,2.06,2.0601,1000,3,0,0,0,0
103,7228,1,0.02,0,2.08,2.0801,1000,3,0,0,0,0
104,7229,1,0.02,0,2.1,2.1001,1000,3,0,0,0,0
105,7230,1,0.02,0,2.12,2.12009,1000,3,0,0,0,0
106,7231,1,0.02,0,2.14,2.14009,1000,3,0,0,0,0
107,7232,1,0.02,0,2.16,2.16009,1000,3,0,0,0,0
108,7233,1,0.02,0,2.18,2.18009,1000,3,0,0,0,0
109,7234,1,0.02,0,2.2,2.20009,1000,3,0,0,0,0
110,7235,1,0.02,0,2.22,2.22009,1000,3,0,0,0,0
111,7236,1,0.02,0,2.24,2.24009,1000,3,0,0,0,0
112,7237,1,0.02,0,2.26,2.26009,1000,3,0,0,0,0
113,7238,1,0.02,0,2.28,2.28009,1000,3,0,0,0,0
114,7239,1,0.02,0,2.3,2.30009,1000,3,0,0,0,0
115,7240,1,0.02,0,2.32,2.32009,1000,3,0,0,0,0
116,7241,1,0.02,0,2.34,2.34009,1000,3,0,0,0,0
117,7242,1,0.02,0,2.36,2.36008,1000,3,0,0,0,0
118,7243,1,0.02,0,2.38,2.38008,1000,3,0,0,0,0
119,7244,1,0.02,0,2.4,2.40008,1000,3,0,0,0,0
120,7245,1,0.02,0,2.42,2.42008,1000,3,0,0,0,0
121,7246,1,0.02,0,2.44,2.44008,1000,3,0,0,0,0
122,7247,1,0.02,0,2.46,2.46008,1000,3,0,0,0,0
123,7248,1,0.02,0,2.48,2.48008,1000,3,0,0,0,0
124,7249,1,0.02,0,2.5,2.50008,1000,3,0,0,0,0
125,7250,1,0.02,0,2.52,2.52008,1000,3,0,0,0,0
126,7251,1,0.02,0,2.54,2.54008,1000,3,0,0,0,0
127,7252,1,0.02,0,2.56,2.56008,1000,3,0,0,0,0
128,7253,1,0.02,0,2.58,2.58008,1000,3,0,0,0,0
129,7254,1,0.02,0,2.6,2.60008,1000,3,0,0,0,0
130,7255,1,0.02,0,2.62,2.62008,1000,3,0,0,0,0
131,7256,1,0.02,0,2.64,2.64008,1000,3,0,0,0,0
132,7257,1,0.02,0,2.66,2.66008,1000,3,0,0,0,0
133,7258,1,0.02,0,2.68,2.68007,1000,3,0,0,0,0
134,7259,1,0.02,0,2.7,2.70007,1000,3,0,0,0,0
135,7260,1,0.02,0,2.72,2.72007,1000,3,0,0,0,0
136,7261,1,0.02,0,2.74,2.74007,1000,3,0,0,0,0
137,7262,1,0.02,0,2.76,2.76007,1000,3,0,0,0,0
138,7263,1,0.02,0,2.78,2.78007,1000,3,0,0,0,0
139,7264,1,0.02,0,2.8,2.80007,1000,3,0,0,0,0
140,7265,1,0.02,0,2.82,2.82007,1000,3,0,0,0,0
141,7266,1,0.02,0,2.84,2.84007,1000,3,0,0,0,0
142,7267,1,0.02,0,2.86,2.86007,1000,3,0,0,0,0
143,7268,1,0.02,0,2.88,2.88007,1000,3,0,0,0,0
144,7269,1,0.02,0,2.9,2.90007,1000,3,0,0,0,0
145,7270,1,0.02,0,2.92,2.92007,1000,3,0,0,0,0
146,7271,1,0.02,0,2.94,2.94007,1000,3,0,0,0,0
