"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,2144,20,1,0,2,2.23607,1000,1,0,0,0,0
1,2145,20,1,0,2.04,2.27192,1000,1,0,0,0,0
2,2146,20,1,0,2.08,2.3079,1000,1,0,0,0,0
3,2147,20,1,0,2.12,2.34401,1000,1,0,0,0,0
4,2148,20,1,0,2.16,2.38025,1000,1,0,0,0,0
5,2149,20,1,0,2.2,2.41661,1000,1,0,0,0,0
6,2150,20,1,0,2.24,2.45308,1000,1,0,0,0,0
7,2151,20,1,0,2.28,2.48966,1000,1,0,0,0,0
8,2152,20,1,0,2.32,2.52634,1000,1,0,0,0,0
9,2153,20,1,0,2.36,2.56312,1000,1,0,0,0,0
10,2154,20,1,0,2.4,2.6,1000,1,0,0,0,0
11,2155,20,1,0,2.44,2.63697,1000,1,0,0,0,0
12,2156,20,1,0,2.48,2.67402,1000,1,0,0,0,0
13,2157,20,1,0,2.52,2.71116,1000,1,0,0,0,0
14,2158,20,1,0,2.56,2.74838,1000,1,0,0,0,0
15,2159,20,1,0,2.6,2.78568,1000,1,0,0,0,0
16,2160,20,1,0,2.64,2.82305,1000,1,0,0,0,0
17,2161,20,1,0,2.68,2.86049,1000,1,0,0,0,0
18,2162,20,1,0,2.72,2.898,1000,1,0,0,0,0
19,2163,20,1,0,2.76,2.93558,1000,1,0,0,0,0
20,2164,20,1,0,2.8,2.97321,1000,1,0,0,0,0
21,2165,20,1,0,2.84,3.01091,1000,1,0,0,0,0
22,2166,20,1,0,2.88,3.04867,1000,1,0,0,0,0
23,2167,20,1,0,2.92,3.08649,1000,1,0,0,0,0
24,2168,20,1,0,2.96,3.12436,1000,1,0,0,0,0
25,2169,20,1,0,3,3.16228,1000,1,0,0,0,0
26,2170,20,1.04,0,2,2.25424,1000,1,0,0,0,0
27,2171,20,1.04,0,2.04,2.2898,1000,1,0,0,0,0
28,2172,20,1.04,0,2.08,2.32551,1000,1,0,0,0,0
29,2173,20,1.04,0,2.12,2.36136,1000,1,0,0,0,0
30,2174,20,1.04,0,2.16,2.39733,1000,1,0,0,0,0
31,2175,20,1.04,0,2.2,2.43343,1000,1,0,0,0,0
32,2176,20,1.04,0,2.24,2.46966,1000,1,0,0,0,0
33,2177,20,1.04,0,2.28,2.50599,1000,1,0,0,0,0
34,2178,20,1.04,0,2.32,2.54244,1000,1,0,0,0,0
35,2179,20,1.04,0,2.36,2.57899,1000,1,0,0,0,0
36,2180,20,1.04,0,2.4,2.61565,1000,1,0,0,0,0
37,2181,20,1.04,0,2.44,2.6524,1000,1,0,0,0,0
38,2182,20,1.04,0,2.48,2.68924,1000,1,0,0,0,0
39,2183,20,1.04,0,2.52,2.72617,1000,1,0,0,0,0
40,2184,20,1.04,0,2.56,2.76319,1000,1,0,0,0,0
41,2185,20,1.04,0,2.6,2.80029,1000,1,0,0,0,0
42,2186,20,1.04,0,2.64,2.83746,1000,1,0,0,0,0
43,2187,20,1.04,0,2.68,2.87472,1000,1,0,0,0,0
44,2188,20,1.04,0,2.72,2.91204,1000,1,0,0,0,0
45,2189,20,1.04,0,2.76,2.94944,1000,1,0,0,0,0
46,2190,20,1.04,0,2.8,2.9869,1000,1,0,0,0,0
47,2191,20,1.04,0,2.84,3.02443,1000,1,0,0,0,0
48,2192,20,1.04,0,2.88,3.06203,1000,1,0,0,0,0
49,2193,20,1.04,0,2.92,3.09968,1000,1,0,0,0,0
50,2194,20,1.04,0,2.96,3.13739,1000,1,0,0,0,0
51,2195,20,1.04,0,3,3.17515,1000,1,0,0,0,0
52,2196,20,1.08,0,2,2.27297,1000,1,0,0,0,0
53,2197,20,1.08,0,2.04,2.30825,1000,1,0,0,0,0
54,2198,20,1.08,0,2.08,2.34367,1000,1,0,0,0,0
55,2199,20,1.08,0,2.12,2.37924,1000,1,0,0,0,0
56,2200,20,1.08,0,2.16,2.41495,1000,1,0,0,0,0
57,2201,20,1.08,0,2.2,2.4508,1000,1,0,0,0,0
58,2202,20,1.08,0,2.24,2.48676,1000,1,0,0,0,0
59,2203,20,1.08,0,2.28,2.52286,1000,1,0,0,0,0
60,2204,20,1.08,0,2.32,2.55906,1000,1,0,0,0,0
61,2205,20,1.08,0,2.36,2.59538,1000,1,0,0,0,0
62,2206,20,1.08,0,2.4,2.63181,1000,1,0,0,0,0
63,2207,20,1.08,0,2.44,2.66833,1000,1,0,0,0,0
64,2208,20,1.08,0,2.48,2.70496,1000,1,0,0,0,0
65,2209,20,1.08,0,2.52,2.74168,1000,1,0,0,0,0
66,2210,20,1.08,0,2.56,2.77849,1000,1,0,0,0,0
67,2211,20,1.08,0,2.6,2.81539,1000,1,0,0,0,0
68,2212,20,1.08,0,2.64,2.85237,1000,1,0,0,0,0
69,2213,20,1.08,0,2.68,2.88943,1000,1,0,0,0,0
