"Point ID", "Idp", "Mk", "Points:0","Points:1","Points:2", "Points_Magnitude", "Rhop", "Type","Vel:0","Vel:1","Vel:2", "Vel_Magnitude"
0,0,10,-0.04,0,-0.04,0.0565685,1000,0,0,0,0,0
1,1,10,-0.04,0,-0.02,0.0447214,1000,0,0,0,0,0
2,2,10,-0.04,0,0,0.04,1000,0,0,0,0,0
3,3,10,-0.04,0,0.02,0.0447214,1000,0,0,0,0,0
4,4,10,-0.04,0,0.04,0.0565685,1000,0,0,0,0,0
5,5,10,-0.04,0,0.06,0.072111,1000,0,0,0,0,0
6,6,10,-0.04,0,0.08,0.0894427,1000,0,0,0,0,0
7,7,10,-0.04,0,0.1,0.107703,1000,0,0,0,0,0
8,8,10,-0.04,0,0.12,0.126491,1000,0,0,0,0,0
9,9,10,-0.04,0,0.14,0.145602,1000,0,0,0,0,0
10,10,10,-0.04,0,0.16,0.164924,1000,0,0,0,0,0
11,11,10,-0.04,0,0.18,0.184391,1000,0,0,0,0,0
12,12,10,-0.04,0,0.2,0.203961,1000,0,0,0,0,0
13,13,10,-0.04,0,0.22,0.223607,1000,0,0,0,0,0
14,14,10,-0.04,0,0.24,0.24331,1000,0,0,0,0,0
15,15,10,-0.04,0,0.26,0.263059,1000,0,0,0,0,0
16,16,10,-0.04,0,0.28,0.282843,1000,0,0,0,0,0
17,17,10,-0.04,0,0.3,0.302655,1000,0,0,0,0,0
18,18,10,-0.04,0,0.32,0.32249,1000,0,0,0,0,0
19,19,10,-0.04,0,0.34,0.342345,1000,0,0,0,0,0
20,20,10,-0.04,0,0.36,0.362215,1000,0,0,0,0,0
21,21,10,-0.04,0,0.38,0.382099,1000,0,0,0,0,0
22,22,10,-0.04,0,0.4,0.401995,1000,0,0,0,0,0
23,23,10,-0.04,0,0.42,0.4219,1000,0,0,0,0,0
24,24,10,-0.04,0,0.44,0.441814,1000,0,0,0,0,0
25,25,10,-0.04,0,0.46,0.461736,1000,0,0,0,0,0
26,26,10,-0.04,0,0.48,0.481664,1000,0,0,0,0,0
27,27,10,-0.04,0,0.5,0.501597,1000,0,0,0,0,0
28,28,10,-0.04,0,0.52,0.521536,1000,0,0,0,0,0
29,29,10,-0.04,0,0.54,0.541479,1000,0,0,0,0,0
30,30,10,-0.04,0,0.56,0.561427,1000,0,0,0,0,0
31,31,10,-0.04,0,0.58,0.581378,1000,0,0,0,0,0
32,32,10,-0.04,0,0.6,0.601332,1000,0,0,0,0,0
33,33,10,-0.04,0,0.62,0.621289,1000,0,0,0,0,0
34,34,10,-0.04,0,0.64,0.641249,1000,0,0,0,0,0
35,35,10,-0.04,0,0.66,0.661211,1000,0,0,0,0,0
36,36,10,-0.04,0,0.68,0.681175,1000,0,0,0,0,0
37,37,10,-0.04,0,0.7,0.701142,1000,0,0,0,0,0
38,38,10,-0.02,0,-0.04,0.0447214,1000,0,0,0,0,0
39,39,10,-0.02,0,-0.02,0.0282843,1000,0,0,0,0,0
40,40,10,-0.02,0,0,0.02,1000,0,0,0,0,0
41,41,10,-0.02,0,0.02,0.0282843,1000,0,0,0,0,0
42,42,10,-0.02,0,0.04,0.0447214,1000,0,0,0,0,0
43,43,10,-0.02,0,0.06,0.0632455,1000,0,0,0,0,0
44,44,10,-0.02,0,0.08,0.0824621,1000,0,0,0,0,0
45,45,10,-0.02,0,0.1,0.10198,1000,0,0,0,0,0
46,46,10,-0.02,0,0.12,0.121655,1000,0,0,0,0,0
47,47,10,-0.02,0,0.14,0.141421,1000,0,0,0,0,0
48,48,10,-0.02,0,0.16,0.161245,1000,0,0,0,0,0
49,49,10,-0.02,0,0.18,0.181108,1000,0,0,0,0,0
50,50,10,-0.02,0,0.2,0.200998,1000,0,0,0,0,0
51,51,10,-0.02,0,0.22,0.220907,1000,0,0,0,0,0
52,52,10,-0.02,0,0.24,0.240832,1000,0,0,0,0,0
53,53,10,-0.02,0,0.26,0.260768,1000,0,0,0,0,0
54,54,10,-0.02,0,0.28,0.280713,1000,0,0,0,0,0
55,55,10,-0.02,0,0.3,0.300666,1000,0,0,0,0,0
56,56,10,-0.02,0,0.32,0.320624,1000,0,0,0,0,0
57,57,10,-0.02,0,0.34,0.340588,1000,0,0,0,0,0
58,58,10,-0.02,0,0.36,0.360555,1000,0,0,0,0,0
59,59,10,-0.02,0,0.38,0.380526,1000,0,0,0,0,0
60,60,10,-0.02,0,0.4,0.4005,1000,0,0,0,0,0
61,61,10,-0.02,0,0.42,0.420476,1000,0,0,0,0,0
62,62,10,-0.02,0,0.44,0.440454,1000,0,0,0,0,0
63,63,10,-0.02,0,0.46,0.460435,1000,0,0,0,0,0
64,64,10,-0.02,0,0.48,0.480416,1000,0,0,0,0,0
65,65,10,-0.02,0,0.5,0.5004,1000,0,0,0,0,0
66,66,10,-0.02,0,0.52,0.520384,1000,0,0,0,0,0
67,67,10,-0.02,0,0.54,0.54037,1000,0,0,0,0,0
68,68,10,-0.02,0,0.56,0.560357,1000,0,0,0,0,0
69,69,10,-0.02,0,0.58,0.580345,1000,0,0,0,0,0
70,70,10,-0.02,0,0.6,0.600333,1000,0,0,0,0,0
71,71,10,-0.02,0,0.62,0.620323,1000,0,0,0,0,0
72,72,10,-0.02,0,0.64,0.640312,1000,0,0,0,0,0
73,73,10,-0.02,0,0.66,0.660303,1000,0,0,0,0,0
74,74,10,-0.02,0,0.68,0.680294,1000,0,0,0,0,0
75,75,10,-0.02,0,0.7,0.700286,1000,0,0,0,0,0
76,76,10,0,0,-0.04,0.04,1000,0,0,0,0,0
77,77,10,0,0,-0.02,0.02,1000,0,0,0,0,0
78,78,10,0,0,0,0,1000,0,0,0,0,0
79,79,10,0,0,0.02,0.02,1000,0,0,0,0,0
80,80,10,0,0,0.04,0.04,1000,0,0,0,0,0
81,81,10,0,0,0.06,0.06,1000,0,0,0,0,0
82,82,10,0,0,0.08,0.08,1000,0,0,0,0,0
83,83,10,0,0,0.1,0.1,1000,0,0,0,0,0
84,84,10,0,0,0.12,0.12,1000,0,0,0,0,0
85,85,10,0,0,0.14,0.14,1000,0,0,0,0,0
86,86,10,0,0,0.16,0.16,1000,0,0,0,0,0
87,87,10,0,0,0.18,0.18,1000,0,0,0,0,0
88,88,10,0,0,0.2,0.2,1000,0,0,0,0,0
89,89,10,0,0,0.22,0.22,1000,0,0,0,0,0
90,90,10,0,0,0.24,0.24,1000,0,0,0,0,0
91,91,10,0,0,0.26,0.26,1000,0,0,0,0,0
92,92,10,0,0,0.28,0.28,1000,0,0,0,0,0
93,93,10,0,0,0.3,0.3,1000,0,0,0,0,0
94,94,10,0,0,0.32,0.32,1000,0,0,0,0,0
95,95,10,0,0,0.34,0.34,1000,0,0,0,0,0
96,96,10,0,0,0.36,0.36,1000,0,0,0,0,0
97,97,10,0,0,0.38,0.38,1000,0,0,0,0,0
98,98,10,0,0,0.4,0.4,1000,0,0,0,0,0
99,99,10,0,0,0.42,0.42,1000,0,0,0,0,0
100,100,10,0,0,0.44,0.44,1000,0,0,0,0,0
101,101,10,0,0,0.46,0.46,1000,0,0,0,0,0
102,102,10,0,0,0.48,0.48,1000,0,0,0,0,0
103,103,10,0,0,0.5,0.5,1000,0,0,0,0,0
104,104,10,0,0,0.52,0.52,1000,0,0,0,0,0
105,105,10,0,0,0.54,0.54,1000,0,0,0,0,0
106,106,10,0,0,0.56,0.56,1000,0,0,0,0,0
107,107,10,0,0,0.58,0.58,1000,0,0,0,0,0
108,108,10,0,0,0.6,0.6,1000,0,0,0,0,0
109,109,10,0,0,0.62,0.62,1000,0,0,0,0,0
110,110,10,0,0,0.64,0.64,1000,0,0,0,0,0
111,111,10,0,0,0.66,0.66,1000,0,0,0,0,0
112,112,10,0,0,0.68,0.68,1000,0,0,0,0,0
113,113,10,0,0,0.7,0.7,1000,0,0,0,0,0
114,114,10,0.02,0,-0.04,0.0447214,1000,0,0,0,0,0
115,115,10,0.02,0,-0.02,0.0282843,1000,0,0,0,0,0
116,116,10,0.02,0,0,0.02,1000,0,0,0,0,0
