"Point ID", "Idp", "Mk", "Normal:0","Normal:1","Normal:2", "Normal_Magnitude", "NormalSize","Points:0","Points:1","Points:2", "Points_Magnitude"
0,0,10,0.1,0,0.1,0.141421,0.141421,-0.04,0,-0.04,0.0565685
1,1,10,0.1,0,0.06,0.116619,0.116619,-0.04,0,-0.02,0.0447214
2,2,10,0.1,0,0.02,0.10198,0.10198,-0.04,0,0,0.04
3,3,10,0.1,0,0,0.1,0.1,-0.04,0,0.02,0.0447214
4,4,10,0.1,0,0,0.1,0.1,-0.04,0,0.04,0.0565685
5,5,10,0.1,0,0,0.1,0.1,-0.04,0,0.06,0.072111
6,6,10,0.1,0,0,0.1,0.1,-0.04,0,0.08,0.0894427
7,7,10,0.1,0,0,0.1,0.1,-0.04,0,0.1,0.107703
8,8,10,0.1,0,0,0.1,0.1,-0.04,0,0.12,0.126491
9,9,10,0.1,0,0,0.1,0.1,-0.04,0,0.14,0.145602
10,10,10,0.1,0,0,0.1,0.1,-0.04,0,0.16,0.164924
11,11,10,0.1,0,0,0.1,0.1,-0.04,0,0.18,0.184391
12,12,10,0.1,0,0,0.1,0.1,-0.04,0,0.2,0.203961
13,13,10,0.1,0,0,0.1,0.1,-0.04,0,0.22,0.223607
14,14,10,0.1,0,0,0.1,0.1,-0.04,0,0.24,0.243311
15,15,10,0.1,0,0,0.1,0.1,-0.04,0,0.26,0.263059
16,16,10,0.1,0,0,0.1,0.1,-0.04,0,0.28,0.282843
17,17,10,0.1,0,0,0.1,0.1,-0.04,0,0.3,0.302655
18,18,10,0.1,0,0,0.1,0.1,-0.04,0,0.32,0.32249
19,19,10,0.1,0,0,0.1,0.1,-0.04,0,0.34,0.342345
20,20,10,0.1,0,0,0.1,0.1,-0.04,0,0.36,0.362215
21,21,10,0.1,0,0,0.1,0.1,-0.04,0,0.38,0.382099
22,22,10,0.1,0,0,0.1,0.1,-0.04,0,0.4,0.401995
23,23,10,0.1,0,0,0.1,0.1,-0.04,0,0.42,0.4219
24,24,10,0.1,0,0,0.1,0.1,-0.04,0,0.44,0.441814
25,25,10,0.1,0,0,0.1,0.1,-0.04,0,0.46,0.461736
26,26,10,0.1,0,0,0.1,0.1,-0.04,0,0.48,0.481664
27,27,10,0.1,0,0,0.1,0.1,-0.04,0,0.5,0.501597
28,28,10,0.1,0,0,0.1,0.1,-0.04,0,0.52,0.521536
29,29,10,0.1,0,0,0.1,0.1,-0.04,0,0.54,0.541479
30,30,10,0.1,0,0,0.1,0.1,-0.04,0,0.56,0.561427
31,31,10,0.1,0,0,0.1,0.1,-0.04,0,0.58,0.581378
32,32,10,0.1,0,0,0.1,0.1,-0.04,0,0.6,0.601332
33,33,10,0.1,0,0,0.1,0.1,-0.04,0,0.62,0.621289
34,34,10,0.1,0,0,0.1,0.1,-0.04,0,0.64,0.641249
35,35,10,0.1,0,0,0.1,0.1,-0.04,0,0.66,0.661211
36,36,10,0.1,0,0,0.1,0.1,-0.04,0,0.68,0.681175
37,37,10,0.1,0,0,0.1,0.1,-0.04,0,0.7,0.701142
38,38,10,0.06,0,0.1,0.116619,0.116619,-0.02,0,-0.04,0.0447214
39,39,10,0.06,0,0.06,0.0848528,0.0848528,-0.02,0,-0.02,0.0282843
40,40,10,0.06,0,0.02,0.0632455,0.0632455,-0.02,0,0,0.02
41,41,10,0.06,0,0,0.06,0.06,-0.02,0,0.02,0.0282843
42,42,10,0.06,0,0,0.06,0.06,-0.02,0,0.04,0.0447214
43,43,10,0.06,0,0,0.06,0.06,-0.02,0,0.06,0.0632456
44,44,10,0.06,0,0,0.06,0.06,-0.02,0,0.08,0.0824621
45,45,10,0.06,0,0,0.06,0.06,-0.02,0,0.1,0.10198
46,46,10,0.06,0,0,0.06,0.06,-0.02,0,0.12,0.121655
47,47,10,0.06,0,0,0.06,0.06,-0.02,0,0.14,0.141421
48,48,10,0.06,0,0,0.06,0.06,-0.02,0,0.16,0.161245
49,49,10,0.06,0,0,0.06,0.06,-0.02,0,0.18,0.181108
50,50,10,0.06,0,0,0.06,0.06,-0.02,0,0.2,0.200998
51,51,10,0.06,0,0,0.06,0.06,-0.02,0,0.22,0.220907
52,52,10,0.06,0,0,0.06,0.06,-0.02,0,0.24,0.240832
53,53,10,0.06,0,0,0.06,0.06,-0.02,0,0.26,0.260768
54,54,10,0.06,0,0,0.06,0.06,-0.02,0,0.28,0.280713
55,55,10,0.06,0,0,0.06,0.06,-0.02,0,0.3,0.300666
56,56,10,0.06,0,0,0.06,0.06,-0.02,0,0.32,0.320624
57,57,10,0.06,0,0,0.06,0.06,-0.02,0,0.34,0.340588
58,58,10,0.06,0,0,0.06,0.06,-0.02,0,0.36,0.360555
59,59,10,0.06,0,0,0.06,0.06,-0.02,0,0.38,0.380526
60,60,10,0.06,0,0,0.06,0.06,-0.02,0,0.4,0.4005
61,61,10,0.06,0,0,0.06,0.06,-0.02,0,0.42,0.420476
62,62,10,0.06,0,0,0.06,0.06,-0.02,0,0.44,0.440454
63,63,10,0.06,0,0,0.06,0.06,-0.02,0,0.46,0.460435
64,64,10,0.06,0,0,0.06,0.06,-0.02,0,0.48,0.480416
65,65,10,0.06,0,0,0.06,0.06,-0.02,0,0.5,0.5004
66,66,10,0.06,0,0,0.06,0.06,-0.02,0,0.52,0.520384
67,67,10,0.06,0,0,0.06,0.06,-0.02,0,0.54,0.54037
68,68,10,0.06,0,0,0.06,0.06,-0.02,0,0.56,0.560357
69,69,10,0.06,0,0,0.06,0.06,-0.02,0,0.58,0.580345
70,70,10,0.06,0,0,0.06,0.06,-0.02,0,0.6,0.600333
71,71,10,0.06,0,0,0.06,0.06,-0.02,0,0.62,0.620322
72,72,10,0.06,0,0,0.06,0.06,-0.02,0,0.64,0.640312
73,73,10,0.06,0,0,0.06,0.06,-0.02,0,0.66,0.660303
74,74,10,0.06,0,0,0.06,0.06,-0.02,0,0.68,0.680294
75,75,10,0.06,0,0,0.06,0.06,-0.02,0,0.7,0.700286
76,76,10,0.02,0,0.1,0.10198,0.10198,0,0,-0.04,0.04
77,77,10,0.02,0,0.06,0.0632455,0.0632455,0,0,-0.02,0.02
78,78,10,0.02,0,0.02,0.0282843,0.0282843,0,0,0,0
79,79,10,0.02,0,0,0.02,0.02,0,0,0.02,0.02
80,80,10,0.02,0,0,0.02,0.02,0,0,0.04,0.04
81,81,10,0.02,0,0,0.02,0.02,0,0,0.06,0.06
82,82,10,0.02,0,0,0.02,0.02,0,0,0.08,0.08
83,83,10,0.02,0,0,0.02,0.02,0,0,0.1,0.1
84,84,10,0.02,0,0,0.02,0.02,0,0,0.12,0.12
85,85,10,0.02,0,0,0.02,0.02,0,0,0.14,0.14
86,86,10,0.02,0,0,0.02,0.02,0,0,0.16,0.16
87,87,10,0.02,0,0,0.02,0.02,0,0,0.18,0.18
88,88,10,0.02,0,0,0.02,0.02,0,0,0.2,0.2
89,89,10,0.02,0,0,0.02,0.02,0,0,0.22,0.22
90,90,10,0.02,0,0,0.02,0.02,0,0,0.24,0.24
91,91,10,0.02,0,0,0.02,0.02,0,0,0.26,0.26
92,92,10,0.02,0,0,0.02,0.02,0,0,0.28,0.28
93,93,10,0.02,0,0,0.02,0.02,0,0,0.3,0.3
94,94,10,0.02,0,0,0.02,0.02,0,0,0.32,0.32
95,95,10,0.02,0,0,0.02,0.02,0,0,0.34,0.34
96,96,10,0.02,0,0,0.02,0.02,0,0,0.36,0.36
97,97,10,0.02,0,0,0.02,0.02,0,0,0.38,0.38
98,98,10,0.02,0,0,0.02,0.02,0,0,0.4,0.4
99,99,10,0.02,0,0,0.02,0.02,0,0,0.42,0.42
100,100,10,0.02,0,0,0.02,0.02,0,0,0.44,0.44
101,101,10,0.02,0,0,0.02,0.02,0,0,0.46,0.46
102,102,10,0.02,0,0,0.02,0.02,0,0,0.48,0.48
103,103,10,0.02,0,0,0.02,0.02,0,0,0.5,0.5
104,104,10,0.02,0,0,0.02,0.02,0,0,0.52,0.52
105,105,10,0.02,0,0,0.02,0.02,0,0,0.54,0.54
106,106,10,0.02,0,0,0.02,0.02,0,0,0.56,0.56
107,107,10,0.02,0,0,0.02,0.02,0,0,0.58,0.58
108,108,10,0.02,0,0,0.02,0.02,0,0,0.6,0.6
109,109,10,0.02,0,0,0.02,0.02,0,0,0.62,0.62
110,110,10,0.02,0,0,0.02,0.02,0,0,0.64,0.64
111,111,10,0.02,0,0,0.02,0.02,0,0,0.66,0.66
112,112,10,0.02,0,0,0.02,0.02,0,0,0.68,0.68
113,113,10,0.02,0,0,0.02,0.02,0,0,0.7,0.7
114,114,10,0,0,0.1,0.1,0.1,0.02,0,-0.04,0.0447214
115,115,10,0,0,0.06,0.06,0.06,0.02,0,-0.02,0.0282843
116,116,10,0,0,0.02,0.02,0.02,0.02,0,0,0.02
117,117,10,0,0,0.1,0.1,0.1,0.04,0,-0.04,0.0565685
118,118,10,0,0,0.06,0.06,0.06,0.04,0,-0.02,0.0447214
119,119,10,0,0,0.02,0.02,0.02,0.04,0,0,0.04
120,120,10,0,0,0.1,0.1,0.1,0.06,0,-0.04,0.072111
121,121,10,0,0,0.06,0.06,0.06,0.06,0,-0.02,0.0632456
122,122,10,0,0,0.02,0.02,0.02,0.06,0,0,0.06
123,123,10,0,0,0.1,0.1,0.1,0.08,0,-0.04,0.0894427
124,124,10,0,0,0.06,0.06,0.06,0.08,0,-0.02,0.0824621
125,125,10,0,0,0.02,0.02,0.02,0.08,0,0,0.08
126,126,10,0,0,0.1,0.1,0.1,0.1,0,-0.04,0.107703
127,127,10,0,0,0.06,0.06,0.06,0.1,0,-0.02,0.10198
128,128,10,0,0,0.02,0.02,0.02,0.1,0,0,0.1
129,129,10,0,0,0.1,0.1,0.1,0.12,0,-0.04,0.126491
130,130,10,0,0,0.06,0.06,0.06,0.12,0,-0.02,0.121655
131,131,10,0,0,0.02,0.02,0.02,0.12,0,0,0.12
132,132,10,0,0,0.1,0.1,0.1,0.14,0,-0.04,0.145602
133,133,10,0,0,0.06,0.06,0.06,0.14,0,-0.02,0.141421
134,134,10,0,0,0.02,0.02,0.02,0.14,0,0,0.14
135,135,10,0,0,0.1,0.1,0.1,0.16,0,-0.04,0.164924
136,136,10,0,0,0.06,0.06,0.06,0.16,0,-0.02,0.161245
137,137,10,0,0,0.02,0.02,0.02,0.16,0,0,0.16
138,138,10,0,0,0.1,0.1,0.1,0.18,0,-0.04,0.184391
139,139,10,0,0,0.06,0.06,0.06,0.18,0,-0.02,0.181108
140,140,10,0,0,0.02,0.02,0.02,0.18,0,0,0.18
141,141,10,0,0,0.1,0.1,0.1,0.2,0,-0.04,0.203961
142,142,10,0,0,0.06,0.06,0.06,0.2,0,-0.02,0.200998
143,143,10,0,0,0.02,0.02,0.02,0.2,0,0,0.2
144,144,10,0,0,0.1,0.1,0.1,0.22,0,-0.04,0.223607
145,145,10,0,0,0.06,0.06,0.06,0.22,0,-0.02,0.220907
146,146,10,0,0,0.02,0.02,0.02,0.22,0,0,0.22
147,147,10,0,0,0.1,0.1,0.1,0.24,0,-0.04,0.243311
148,148,10,0,0,0.06,0.06,0.06,0.24,0,-0.02,0.240832
149,149,10,0,0,0.02,0.02,0.02,0.24,0,0,0.24
150,150,10,0,0,0.1,0.1,0.1,0.26,0,-0.04,0.263059
151,151,10,0,0,0.06,0.06,0.06,0.26,0,-0.02,0.260768
152,152,10,0,0,0.02,0.02,0.02,0.26,0,0,0.26
153,153,10,0,0,0.1,0.1,0.1,0.28,0,-0.04,0.282843
154,154,10,0,0,0.06,0.06,0.06,0.28,0,-0.02,0.280713
155,155,10,0,0,0.02,0.02,0.02,0.28,0,0,0.28
156,156,10,0,0,0.1,0.1,0.1,0.3,0,-0.04,0.302655
157,157,10,0,0,0.06,0.06,0.06,0.3,0,-0.02,0.300666
158,158,10,0,0,0.02,0.02,0.02,0.3,0,0,0.3
159,159,10,0,0,0.1,0.1,0.1,0.32,0,-0.04,0.32249
160,160,10,0,0,0.06,0.06,0.06,0.32,0,-0.02,0.320624
161,161,10,0,0,0.02,0.02,0.02,0.32,0,0,0.32
162,162,10,0,0,0.1,0.1,0.1,0.34,0,-0.04,0.342345
163,163,10,0,0,0.06,0.06,0.06,0.34,0,-0.02,0.340588
164,164,10,0,0,0.02,0.02,0.02,0.34,0,0,0.34
165,165,10,0,0,0.1,0.1,0.1,0.36,0,-0.04,0.362215
166,166,10,0,0,0.06,0.06,0.06,0.36,0,-0.02,0.360555
167,167,10,0,0,0.02,0.02,0.02,0.36,0,0,0.36
168,168,10,0,0,0.1,0.1,0.1,0.38,0,-0.04,0.382099
169,169,10,0,0,0.06,0.06,0.06,0.38,0,-0.02,0.380526
170,170,10,0,0,0.02,0.02,0.02,0.38,0,0,0.38
171,171,10,0,0,0.1,0.1,0.1,0.4,0,-0.04,0.401995
172,172,10,0,0,0.06,0.06,0.06,0.4,0,-0.02,0.4005
173,173,10,0,0,0.02,0.02,0.02,0.4,0,0,0.4
