"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
0,0,0,0,1000,0,0,0,0,0,0,0,0
1,0,0,0,1000,0,0,0,0,0,0,0,0.04
2,0,0,0,1000,0,0,0,0,0,0,0,0.08
76,0,0,0,1000,0,0,0,0,0,0.04,0,0
77,0,0,0,1000,0,0,0,0,0,0.04,0,0.04
78,0,0,0,1000,0,0,0,0,0,0.04,0,0.08
152,0,0,0,1000,0,0,0,0,0,0.08,0,0
153,0,0,0,1000,0,0,0,0,0,0.08,0,0.04
154,0,0,0,1000,0,0,0,0,0,0.08,0,0.08
228,0,0,0,1000,0,0,0,0,0,0.12,0,0
229,0,0,0,1000,0,0,0,0,0,0.12,0,0.04
230,0,0,0,1000,0,0,0,0,0,0.12,0,0.08
231,0,0,0,1000,0,0,0,0,0,0.16,0,0
232,0,0,0,1000,0,0,0,0,0,0.16,0,0.04
233,0,0,0,1000,0,0,0,0,0,0.16,0,0.08
234,0,0,0,1000,0,0,0,0,0,0.2,0,0
235,0,0,0,1000,0,0,0,0,0,0.2,0,0.04
236,0,0,0,1000,0,0,0,0,0,0.2,0,0.08
237,0,0,0,1000,0,0,0,0,0,0.24,0,0
238,0,0,0,1000,0,0,0,0,0,0.24,0,0.04
239,0,0,0,1000,0,0,0,0,0,0.24,0,0.08
240,0,0,0,1000,0,0,0,0,0,0.28,0,0
241,0,0,0,1000,0,0,0,0,0,0.28,0,0.04
242,0,0,0,1000,0,0,0,0,0,0.28,0,0.08
243,0,0,0,1000,0,0,0,0,0,0.32,0,0
244,0,0,0,1000,0,0,0,0,0,0.32,0,0.04
245,0,0,0,1000,0,0,0,0,0,0.32,0,0.08
246,0,0,0,1000,0,0,0,0,0,0.36,0,0
247,0,0,0,1000,0,0,0,0,0,0.36,0,0.04
248,0,0,0,1000,0,0,0,0,0,0.36,0,0.08
249,0,0,0,1000,0,0,0,0,0,0.4,0,0
250,0,0,0,1000,0,0,0,0,0,0.4,0,0.04
251,0,0,0,1000,0,0,0,0,0,0.4,0,0.08
252,0,0,0,1000,0,0,0,0,0,0.44,0,0
253,0,0,0,1000,0,0,0,0,0,0.44,0,0.04
254,0,0,0,1000,0,0,0,0,0,0.44,0,0.08
255,0,0,0,1000,0,0,0,0,0,0.48,0,0
256,0,0,0,1000,0,0,0,0,0,0.48,0,0.04
257,0,0,0,1000,0,0,0,0,0,0.48,0,0.08
258,0,0,0,1000,0,0,0,0,0,0.52,0,0
259,0,0,0,1000,0,0,0,0,0,0.52,0,0.04
260,0,0,0,1000,0,0,0,0,0,0.52,0,0.08
261,0,0,0,1000,0,0,0,0,0,0.56,0,0
262,0,0,0,1000,0,0,0,0,0,0.56,0,0.04
263,0,0,0,1000,0,0,0,0,0,0.56,0,0.08
264,0,0,0,1000,0,0,0,0,0,0.6,0,0
265,0,0,0,1000,0,0,0,0,0,0.6,0,0.04
266,0,0,0,1000,0,0,0,0,0,0.6,0,0.08
267,0,0,0,1000,0,0,0,0,0,0.64,0,0
268,0,0,0,1000,0,0,0,0,0,0.64,0,0.04
269,0,0,0,1000,0,0,0,0,0,0.64,0,0.08
270,0,0,0,1000,0,0,0,0,0,0.68,0,0
271,0,0,0,1000,0,0,0,0,0,0.68,0,0.04
272,0,0,0,1000,0,0,0,0,0,0.68,0,0.08
273,0,0,0,1000,0,0,0,0,0,0.72,0,0
274,0,0,0,1000,0,0,0,0,0,0.72,0,0.04
275,0,0,0,1000,0,0,0,0,0,0.72,0,0.08
276,0,0,0,1000,0,0,0,0,0,0.76,0,0
277,0,0,0,1000,0,0,0,0,0,0.76,0,0.04
278,0,0,0,1000,0,0,0,0,0,0.76,0,0.08
279,0,0,0,1000,0,0,0,0,0,0.8,0,0
280,0,0,0,1000,0,0,0,0,0,0.8,0,0.04
281,0,0,0,1000,0,0,0,0,0,0.8,0,0.08
282,0,0,0,1000,0,0,0,0,0,0.84,0,0
283,0,0,0,1000,0,0,0,0,0,0.84,0,0.04
284,0,0,0,1000,0,0,0,0,0,0.84,0,0.08
285,0,0,0,1000,0,0,0,0,0,0.88,0,0
286,0,0,0,1000,0,0,0,0,0,0.88,0,0.04
287,0,0,0,1000,0,0,0,0,0,0.88,0,0.08
288,0,0,0,1000,0,0,0,0,0,0.92,0,0
289,0,0,0,1000,0,0,0,0,0,0.92,0,0.04
290,0,0,0,1000,0,0,0,0,0,0.92,0,0.08
291,0,0,0,1000,0,0,0,0,0,0.96,0,0
292,0,0,0,1000,0,0,0,0,0,0.96,0,0.04
293,0,0,0,1000,0,0,0,0,0,0.96,0,0.08
294,0,0,0,1000,0,0,0,0,0,1,0,0
295,0,0,0,1000,0,0,0,0,0,1,0,0.04
296,0,0,0,1000,0,0,0,0,0,1,0,0.08
297,0,0,0,1000,0,0,0,0,0,1.04,0,0
298,0,0,0,1000,0,0,0,0,0,1.04,0,0.04
299,0,0,0,1000,0,0,0,0,0,1.04,0,0.08
300,0,0,0,1000,0,0,0,0,0,1.08,0,0
301,0,0,0,1000,0,0,0,0,0,1.08,0,0.04
302,0,0,0,1000,0,0,0,0,0,1.08,0,0.08
303,0,0,0,1000,0,0,0,0,0,1.12,0,0
304,0,0,0,1000,0,0,0,0,0,1.12,0,0.04
305,0,0,0,1000,0,0,0,0,0,1.12,0,0.08
3,0,0,0,1000,0,0,0,0,0,0,0,0.12
4,0,0,0,1000,0,0,0,0,0,0,0,0.16
5,0,0,0,1000,0,0,0,0,0,0,0,0.2
