"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Type","Mk","Points:0","Points:1","Points:2"
0,0,0,0,1000,0.4,0,0,10,0,0,0
1,0,0,0,1000,0.4,0,0,10,0,0,0.02
2,0,0,0,1000,0.4,0,0,10,0,0,0.04
151,0,0,0,1000,0.4,0,0,10,0.02,0,0
152,0,0,0,1000,0.4,0,0,10,0.04,0,0
153,0,0,0,1000,0.4,0,0,10,0.06,0,0
154,0,0,0,1000,0.4,0,0,10,0.08,0,0
155,0,0,0,1000,0.4,0,0,10,0.1,0,0
156,0,0,0,1000,0.4,0,0,10,0.12,0,0
157,0,0,0,1000,0.4,0,0,10,0.14,0,0
158,0,0,0,1000,0.4,0,0,10,0.16,0,0
159,0,0,0,1000,0.4,0,0,10,0.18,0,0
160,0,0,0,1000,0.4,0,0,10,0.2,0,0
161,0,0,0,1000,0.4,0,0,10,0.22,0,0
162,0,0,0,1000,0.4,0,0,10,0.24,0,0
163,0,0,0,1000,0.4,0,0,10,0.26,0,0
164,0,0,0,1000,0.4,0,0,10,0.28,0,0
165,0,0,0,1000,0.4,0,0,10,0.3,0,0
166,0,0,0,1000,0.4,0,0,10,0.32,0,0
167,0,0,0,1000,0.4,0,0,10,0.34,0,0
168,0,0,0,1000,0.4,0,0,10,0.36,0,0
169,0,0,0,1000,0.4,0,0,10,0.38,0,0
170,0,0,0,1000,0.4,0,0,10,0.4,0,0
171,0,0,0,1000,0.4,0,0,10,0.42,0,0
172,0,0,0,1000,0.4,0,0,10,0.44,0,0
173,0,0,0,1000,0.4,0,0,10,0.46,0,0
174,0,0,0,1000,0.4,0,0,10,0.48,0,0
175,0,0,0,1000,0.4,0,0,10,0.5,0,0
176,0,0,0,1000,0.4,0,0,10,0.52,0,0
177,0,0,0,1000,0.4,0,0,10,0.54,0,0
178,0,0,0,1000,0.4,0,0,10,0.56,0,0
179,0,0,0,1000,0.4,0,0,10,0.58,0,0
180,0,0,0,1000,0.4,0,0,10,0.6,0,0
181,0,0,0,1000,0.4,0,0,10,0.62,0,0
182,0,0,0,1000,0.4,0,0,10,0.64,0,0
183,0,0,0,1000,0.4,0,0,10,0.66,0,0
184,0,0,0,1000,0.4,0,0,10,0.68,0,0
185,0,0,0,1000,0.4,0,0,10,0.7,0,0
186,0,0,0,1000,0.4,0,0,10,0.72,0,0
187,0,0,0,1000,0.4,0,0,10,0.74,0,0
188,0,0,0,1000,0.4,0,0,10,0.76,0,0
189,0,0,0,1000,0.4,0,0,10,0.78,0,0
190,0,0,0,1000,0.4,0,0,10,0.8,0,0
191,0,0,0,1000,0.4,0,0,10,0.82,0,0
192,0,0,0,1000,0.4,0,0,10,0.84,0,0
193,0,0,0,1000,0.4,0,0,10,0.86,0,0
194,0,0,0,1000,0.4,0,0,10,0.88,0,0
195,0,0,0,1000,0.4,0,0,10,0.9,0,0
196,0,0,0,1000,0.4,0,0,10,0.92,0,0
197,0,0,0,1000,0.4,0,0,10,0.94,0,0
198,0,0,0,1000,0.4,0,0,10,0.96,0,0
199,0,0,0,1000,0.4,0,0,10,0.98,0,0
200,0,0,0,1000,0.4,0,0,10,1,0,0
201,0,0,0,1000,0.4,0,0,10,1.02,0,0
202,0,0,0,1000,0.4,0,0,10,1.04,0,0
203,0,0,0,1000,0.4,0,0,10,1.06,0,0
3,0,0,0,1000,0.4,0,0,10,0,0,0.06
4,0,0,0,1000,0.4,0,0,10,0,0,0.08
5,0,0,0,1000,0.4,0,0,10,0,0,0.1
6,0,0,0,1000,0.4,0,0,10,0,0,0.12
7,0,0,0,1000,0.4,0,0,10,0,0,0.14
8,0,0,0,1000,0.4,0,0,10,0,0,0.16
9,0,0,0,1000,0.4,0,0,10,0,0,0.18
10,0,0,0,1000,0.4,0,0,10,0,0,0.2
11,0,0,0,1000,0.4,0,0,10,0,0,0.22
12,0,0,0,1000,0.4,0,0,10,0,0,0.24
13,0,0,0,1000,0.4,0,0,10,0,0,0.26
14,0,0,0,1000,0.4,0,0,10,0,0,0.28
15,0,0,0,1000,0.4,0,0,10,0,0,0.3
16,0,0,0,1000,0.4,0,0,10,0,0,0.32
17,0,0,0,1000,0.4,0,0,10,0,0,0.34
18,0,0,0,1000,0.4,0,0,10,0,0,0.36
19,0,0,0,1000,0.4,0,0,10,0,0,0.38
20,0,0,0,1000,0.4,0,0,10,0,0,0.4
21,0,0,0,1000,0.4,0,0,10,0,0,0.42
22,0,0,0,1000,0.4,0,0,10,0,0,0.44
23,0,0,0,1000,0.4,0,0,10,0,0,0.46
24,0,0,0,1000,0.4,0,0,10,0,0,0.48
25,0,0,0,1000,0.4,0,0,10,0,0,0.5
26,0,0,0,1000,0.4,0,0,10,0,0,0.52
27,0,0,0,1000,0.4,0,0,10,0,0,0.54
28,0,0,0,1000,0.4,0,0,10,0,0,0.56
29,0,0,0,1000,0.4,0,0,10,0,0,0.58
30,0,0,0,1000,0.4,0,0,10,0,0,0.6
31,0,0,0,1000,0.4,0,0,10,0,0,0.62
32,0,0,0,1000,0.4,0,0,10,0,0,0.64
33,0,0,0,1000,0.4,0,0,10,0,0,0.66
34,0,0,0,1000,0.4,0,0,10,0,0,0.68
35,0,0,0,1000,0.4,0,0,10,0,0,0.7
36,0,0,0,1000,0.4,0,0,10,0,0,0.72
37,0,0,0,1000,0.4,0,0,10,0,0,0.74
38,0,0,0,1000,0.4,0,0,10,0,0,0.76
39,0,0,0,1000,0.4,0,0,10,0,0,0.78
40,0,0,0,1000,0.4,0,0,10,0,0,0.8
41,0,0,0,1000,0.4,0,0,10,0,0,0.82
42,0,0,0,1000,0.4,0,0,10,0,0,0.84
43,0,0,0,1000,0.4,0,0,10,0,0,0.86
44,0,0,0,1000,0.4,0,0,10,0,0,0.88
45,0,0,0,1000,0.4,0,0,10,0,0,0.9
46,0,0,0,1000,0.4,0,0,10,0,0,0.92
47,0,0,0,1000,0.4,0,0,10,0,0,0.94
48,0,0,0,1000,0.4,0,0,10,0,0,0.96
49,0,0,0,1000,0.4,0,0,10,0,0,0.98
50,0,0,0,1000,0.4,0,0,10,0,0,1
51,0,0,0,1000,0.4,0,0,10,0,0,1.02
52,0,0,0,1000,0.4,0,0,10,0,0,1.04
53,0,0,0,1000,0.4,0,0,10,0,0,1.06
54,0,0,0,1000,0.4,0,0,10,0,0,1.08
55,0,0,0,1000,0.4,0,0,10,0,0,1.1
56,0,0,0,1000,0.4,0,0,10,0,0,1.12
57,0,0,0,1000,0.4,0,0,10,0,0,1.14
58,0,0,0,1000,0.4,0,0,10,0,0,1.16
59,0,0,0,1000,0.4,0,0,10,0,0,1.18
60,0,0,0,1000,0.4,0,0,10,0,0,1.2
61,0,0,0,1000,0.4,0,0,10,0,0,1.22
62,0,0,0,1000,0.4,0,0,10,0,0,1.24
63,0,0,0,1000,0.4,0,0,10,0,0,1.26
64,0,0,0,1000,0.4,0,0,10,0,0,1.28
65,0,0,0,1000,0.4,0,0,10,0,0,1.3
66,0,0,0,1000,0.4,0,0,10,0,0,1.32
67,0,0,0,1000,0.4,0,0,10,0,0,1.34
68,0,0,0,1000,0.4,0,0,10,0,0,1.36
69,0,0,0,1000,0.4,0,0,10,0,0,1.38
70,0,0,0,1000,0.4,0,0,10,0,0,1.4
71,0,0,0,1000,0.4,0,0,10,0,0,1.42
72,0,0,0,1000,0.4,0,0,10,0,0,1.44
73,0,0,0,1000,0.4,0,0,10,0,0,1.46
74,0,0,0,1000,0.4,0,0,10,0,0,1.48
75,0,0,0,1000,0.4,0,0,10,0,0,1.5
76,0,0,0,1000,0.4,0,0,10,0,0,1.52
77,0,0,0,1000,0.4,0,0,10,0,0,1.54
78,0,0,0,1000,0.4,0,0,10,0,0,1.56
79,0,0,0,1000,0.4,0,0,10,0,0,1.58
80,0,0,0,1000,0.4,0,0,10,0,0,1.6
81,0,0,0,1000,0.4,0,0,10,0,0,1.62
82,0,0,0,1000,0.4,0,0,10,0,0,1.64
83,0,0,0,1000,0.4,0,0,10,0,0,1.66
84,0,0,0,1000,0.4,0,0,10,0,0,1.68
85,0,0,0,1000,0.4,0,0,10,0,0,1.7
86,0,0,0,1000,0.4,0,0,10,0,0,1.72
87,0,0,0,1000,0.4,0,0,10,0,0,1.74
88,0,0,0,1000,0.4,0,0,10,0,0,1.76
89,0,0,0,1000,0.4,0,0,10,0,0,1.78
90,0,0,0,1000,0.4,0,0,10,0,0,1.8
91,0,0,0,1000,0.4,0,0,10,0,0,1.82
92,0,0,0,1000,0.4,0,0,10,0,0,1.84
93,0,0,0,1000,0.4,0,0,10,0,0,1.86
94,0,0,0,1000,0.4,0,0,10,0,0,1.88
95,0,0,0,1000,0.4,0,0,10,0,0,1.9
96,0,0,0,1000,0.4,0,0,10,0,0,1.92
97,0,0,0,1000,0.4,0,0,10,0,0,1.94
98,0,0,0,1000,0.4,0,0,10,0,0,1.96
99,0,0,0,1000,0.4,0,0,10,0,0,1.98
100,0,0,0,1000,0.4,0,0,10,0,0,2
101,0,0,0,1000,0.4,0,0,10,0,0,2.02
102,0,0,0,1000,0.4,0,0,10,0,0,2.04
103,0,0,0,1000,0.4,0,0,10,0,0,2.06
104,0,0,0,1000,0.4,0,0,10,0,0,2.08
105,0,0,0,1000,0.4,0,0,10,0,0,2.1
106,0,0,0,1000,0.4,0,0,10,0,0,2.12
107,0,0,0,1000,0.4,0,0,10,0,0,2.14
108,0,0,0,1000,0.4,0,0,10,0,0,2.16
109,0,0,0,1000,0.4,0,0,10,0,0,2.18
110,0,0,0,1000,0.4,0,0,10,0,0,2.2
111,0,0,0,1000,0.4,0,0,10,0,0,2.22
112,0,0,0,1000,0.4,0,0,10,0,0,2.24
113,0,0,0,1000,0.4,0,0,10,0,0,2.26
114,0,0,0,1000,0.4,0,0,10,0,0,2.28
115,0,0,0,1000,0.4,0,0,10,0,0,2.3
116,0,0,0,1000,0.4,0,0,10,0,0,2.32
117,0,0,0,1000,0.4,0,0,10,0,0,2.34
118,0,0,0,1000,0.4,0,0,10,0,0,2.36
119,0,0,0,1000,0.4,0,0,10,0,0,2.38
120,0,0,0,1000,0.4,0,0,10,0,0,2.4
121,0,0,0,1000,0.4,0,0,10,0,0,2.42
122,0,0,0,1000,0.4,0,0,10,0,0,2.44
123,0,0,0,1000,0.4,0,0,10,0,0,2.46
124,0,0,0,1000,0.4,0,0,10,0,0,2.48
125,0,0,0,1000,0.4,0,0,10,0,0,2.5
126,0,0,0,1000,0.4,0,0,10,0,0,2.52
127,0,0,0,1000,0.4,0,0,10,0,0,2.54
128,0,0,0,1000,0.4,0,0,10,0,0,2.56
129,0,0,0,1000,0.4,0,0,10,0,0,2.58
130,0,0,0,1000,0.4,0,0,10,0,0,2.6
131,0,0,0,1000,0.4,0,0,10,0,0,2.62
132,0,0,0,1000,0.4,0,0,10,0,0,2.64
133,0,0,0,1000,0.4,0,0,10,0,0,2.66
134,0,0,0,1000,0.4,0,0,10,0,0,2.68
135,0,0,0,1000,0.4,0,0,10,0,0,2.7
136,0,0,0,1000,0.4,0,0,10,0,0,2.72
137,0,0,0,1000,0.4,0,0,10,0,0,2.74
138,0,0,0,1000,0.4,0,0,10,0,0,2.76
139,0,0,0,1000,0.4,0,0,10,0,0,2.78
140,0,0,0,1000,0.4,0,0,10,0,0,2.8
141,0,0,0,1000,0.4,0,0,10,0,0,2.82
142,0,0,0,1000,0.4,0,0,10,0,0,2.84
143,0,0,0,1000,0.4,0,0,10,0,0,2.86
144,0,0,0,1000,0.4,0,0,10,0,0,2.88
145,0,0,0,1000,0.4,0,0,10,0,0,2.9
146,0,0,0,1000,0.4,0,0,10,0,0,2.92
147,0,0,0,1000,0.4,0,0,10,0,0,2.94
148,0,0,0,1000,0.4,0,0,10,0,0,2.96
149,0,0,0,1000,0.4,0,0,10,0,0,2.98
150,0,0,0,1000,0.4,0,0,10,0,0,3
204,0,0,0,1000,0.4,0,0,10,1.08,0,0
205,0,0,0,1000,0.4,0,0,10,1.1,0,0
206,0,0,0,1000,0.4,0,0,10,1.12,0,0
207,0,0,0,1000,0.4,0,0,10,1.14,0,0
208,0,0,0,1000,0.4,0,0,10,1.16,0,0
209,0,0,0,1000,0.4,0,0,10,1.18,0,0
210,0,0,0,1000,0.4,0,0,10,1.2,0,0
211,0,0,0,1000,0.4,0,0,10,1.22,0,0
212,0,0,0,1000,0.4,0,0,10,1.24,0,0
213,0,0,0,1000,0.4,0,0,10,1.26,0,0
214,0,0,0,1000,0.4,0,0,10,1.28,0,0
215,0,0,0,1000,0.4,0,0,10,1.3,0,0
216,0,0,0,1000,0.4,0,0,10,1.32,0,0
217,0,0,0,1000,0.4,0,0,10,1.34,0,0
218,0,0,0,1000,0.4,0,0,10,1.36,0,0
219,0,0,0,1000,0.4,0,0,10,1.38,0,0
220,0,0,0,1000,0.4,0,0,10,1.4,0,0
221,0,0,0,1000,0.4,0,0,10,1.42,0,0
222,0,0,0,1000,0.4,0,0,10,1.44,0,0
223,0,0,0,1000,0.4,0,0,10,1.46,0,0
224,0,0,0,1000,0.4,0,0,10,1.48,0,0
225,0,0,0,1000,0.4,0,0,10,1.5,0,0
226,0,0,0,1000,0.4,0,0,10,1.52,0,0
227,0,0,0,1000,0.4,0,0,10,1.54,0,0
228,0,0,0,1000,0.4,0,0,10,1.56,0,0
229,0,0,0,1000,0.4,0,0,10,1.58,0,0
230,0,0,0,1000,0.4,0,0,10,1.6,0,0
231,0,0,0,1000,0.4,0,0,10,1.62,0,0
232,0,0,0,1000,0.4,0,0,10,1.64,0,0
233,0,0,0,1000,0.4,0,0,10,1.66,0,0
234,0,0,0,1000,0.4,0,0,10,1.68,0,0
235,0,0,0,1000,0.4,0,0,10,1.7,0,0
236,0,0,0,1000,0.4,0,0,10,1.72,0,0
237,0,0,0,1000,0.4,0,0,10,1.74,0,0
238,0,0,0,1000,0.4,0,0,10,1.76,0,0
239,0,0,0,1000,0.4,0,0,10,1.78,0,0
240,0,0,0,1000,0.4,0,0,10,1.8,0,0
241,0,0,0,1000,0.4,0,0,10,1.82,0,0
242,0,0,0,1000,0.4,0,0,10,1.84,0,0
243,0,0,0,1000,0.4,0,0,10,1.86,0,0
244,0,0,0,1000,0.4,0,0,10,1.88,0,0
245,0,0,0,1000,0.4,0,0,10,1.9,0,0
246,0,0,0,1000,0.4,0,0,10,1.92,0,0
247,0,0,0,1000,0.4,0,0,10,1.94,0,0
248,0,0,0,1000,0.4,0,0,10,1.96,0,0
249,0,0,0,1000,0.4,0,0,10,1.98,0,0
250,0,0,0,1000,0.4,0,0,10,2,0,0
251,0,0,0,1000,0.4,0,0,10,2.02,0,0
252,0,0,0,1000,0.4,0,0,10,2.04,0,0
253,0,0,0,1000,0.4,0,0,10,2.06,0,0
254,0,0,0,1000,0.4,0,0,10,2.08,0,0
255,0,0,0,1000,0.4,0,0,10,2.1,0,0
256,0,0,0,1000,0.4,0,0,10,2.12,0,0
257,0,0,0,1000,0.4,0,0,10,2.14,0,0
258,0,0,0,1000,0.4,0,0,10,2.16,0,0
259,0,0,0,1000,0.4,0,0,10,2.18,0,0
260,0,0,0,1000,0.4,0,0,10,2.2,0,0
261,0,0,0,1000,0.4,0,0,10,2.22,0,0
262,0,0,0,1000,0.4,0,0,10,2.24,0,0
263,0,0,0,1000,0.4,0,0,10,2.26,0,0
264,0,0,0,1000,0.4,0,0,10,2.28,0,0
265,0,0,0,1000,0.4,0,0,10,2.3,0,0
266,0,0,0,1000,0.4,0,0,10,2.32,0,0
267,0,0,0,1000,0.4,0,0,10,2.34,0,0
268,0,0,0,1000,0.4,0,0,10,2.36,0,0
269,0,0,0,1000,0.4,0,0,10,2.38,0,0
270,0,0,0,1000,0.4,0,0,10,2.4,0,0
271,0,0,0,1000,0.4,0,0,10,2.42,0,0
272,0,0,0,1000,0.4,0,0,10,2.44,0,0
273,0,0,0,1000,0.4,0,0,10,2.46,0,0
274,0,0,0,1000,0.4,0,0,10,2.48,0,0
275,0,0,0,1000,0.4,0,0,10,2.5,0,0
276,0,0,0,1000,0.4,0,0,10,2.52,0,0
277,0,0,0,1000,0.4,0,0,10,2.54,0,0
278,0,0,0,1000,0.4,0,0,10,2.56,0,0
279,0,0,0,1000,0.4,0,0,10,2.58,0,0
280,0,0,0,1000,0.4,0,0,10,2.6,0,0
281,0,0,0,1000,0.4,0,0,10,2.62,0,0
282,0,0,0,1000,0.4,0,0,10,2.64,0,0
283,0,0,0,1000,0.4,0,0,10,2.66,0,0
284,0,0,0,1000,0.4,0,0,10,2.68,0,0
285,0,0,0,1000,0.4,0,0,10,2.7,0,0
286,0,0,0,1000,0.4,0,0,10,2.72,0,0
287,0,0,0,1000,0.4,0,0,10,2.74,0,0
288,0,0,0,1000,0.4,0,0,10,2.76,0,0
289,0,0,0,1000,0.4,0,0,10,2.78,0,0
290,0,0,0,1000,0.4,0,0,10,2.8,0,0
291,0,0,0,1000,0.4,0,0,10,2.82,0,0
292,0,0,0,1000,0.4,0,0,10,2.84,0,0
293,0,0,0,1000,0.4,0,0,10,2.86,0,0
294,0,0,0,1000,0.4,0,0,10,2.88,0,0
295,0,0,0,1000,0.4,0,0,10,2.9,0,0
296,0,0,0,1000,0.4,0,0,10,2.92,0,0
297,0,0,0,1000,0.4,0,0,10,2.94,0,0
298,0,0,0,1000,0.4,0,0,10,2.96,0,0
299,0,0,0,1000,0.4,0,0,10,2.98,0,0
