"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
501,0,0,0,1002.5,3,1,0.02,0,0.02
502,0,0,0,1002.5,3,1,0.02,0,0.04
503,0,0,0,1002.4,3,1,0.02,0,0.06
504,0,0,0,1002.4,3,1,0.02,0,0.08
505,0,0,0,1002.4,3,1,0.02,0,0.1
506,0,0,0,1002.4,3,1,0.02,0,0.12
507,0,0,0,1002.3,3,1,0.02,0,0.14
508,0,0,0,1002.3,3,1,0.02,0,0.16
509,0,0,0,1002.3,3,1,0.02,0,0.18
510,0,0,0,1002.3,3,1,0.02,0,0.2
511,0,0,0,1002.2,3,1,0.02,0,0.22
512,0,0,0,1002.2,3,1,0.02,0,0.24
513,0,0,0,1002.2,3,1,0.02,0,0.26
514,0,0,0,1002.2,3,1,0.02,0,0.28
515,0,0,0,1002.1,3,1,0.02,0,0.3
516,0,0,0,1002.1,3,1,0.02,0,0.32
517,0,0,0,1002.1,3,1,0.02,0,0.34
518,0,0,0,1002.1,3,1,0.02,0,0.36
519,0,0,0,1002,3,1,0.02,0,0.38
520,0,0,0,1002,3,1,0.02,0,0.4
521,0,0,0,1002,3,1,0.02,0,0.42
522,0,0,0,1002,3,1,0.02,0,0.44
523,0,0,0,1001.9,3,1,0.02,0,0.46
524,0,0,0,1001.9,3,1,0.02,0,0.48
525,0,0,0,1001.9,3,1,0.02,0,0.5
526,0,0,0,1001.9,3,1,0.02,0,0.52
527,0,0,0,1001.8,3,1,0.02,0,0.54
528,0,0,0,1001.8,3,1,0.02,0,0.56
529,0,0,0,1001.8,3,1,0.02,0,0.58
530,0,0,0,1001.8,3,1,0.02,0,0.6
531,0,0,0,1001.7,3,1,0.02,0,0.62
532,0,0,0,1001.7,3,1,0.02,0,0.64
533,0,0,0,1001.7,3,1,0.02,0,0.66
534,0,0,0,1001.7,3,1,0.02,0,0.68
535,0,0,0,1001.6,3,1,0.02,0,0.7
536,0,0,0,1001.6,3,1,0.02,0,0.72
537,0,0,0,1001.6,3,1,0.02,0,0.74
538,0,0,0,1001.6,3,1,0.02,0,0.76
539,0,0,0,1001.5,3,1,0.02,0,0.78
540,0,0,0,1001.5,3,1,0.02,0,0.8
541,0,0,0,1001.5,3,1,0.02,0,0.82
542,0,0,0,1001.5,3,1,0.02,0,0.84
543,0,0,0,1001.4,3,1,0.02,0,0.86
544,0,0,0,1001.4,3,1,0.02,0,0.88
545,0,0,0,1001.4,3,1,0.02,0,0.9
546,0,0,0,1001.4,3,1,0.02,0,0.92
547,0,0,0,1001.3,3,1,0.02,0,0.94
548,0,0,0,1001.3,3,1,0.02,0,0.96
549,0,0,0,1001.3,3,1,0.02,0,0.98
550,0,0,0,1001.3,3,1,0.02,0,1
551,0,0,0,1001.2,3,1,0.02,0,1.02
552,0,0,0,1001.2,3,1,0.02,0,1.04
553,0,0,0,1001.2,3,1,0.02,0,1.06
554,0,0,0,1001.2,3,1,0.02,0,1.08
555,0,0,0,1001.1,3,1,0.02,0,1.1
556,0,0,0,1001.1,3,1,0.02,0,1.12
557,0,0,0,1001.1,3,1,0.02,0,1.14
558,0,0,0,1001.1,3,1,0.02,0,1.16
559,0,0,0,1001,3,1,0.02,0,1.18
560,0,0,0,1001,3,1,0.02,0,1.2
561,0,0,0,1001,3,1,0.02,0,1.22
562,0,0,0,1001,3,1,0.02,0,1.24
563,0,0,0,1000.9,3,1,0.02,0,1.26
564,0,0,0,1000.9,3,1,0.02,0,1.28
565,0,0,0,1000.9,3,1,0.02,0,1.3
566,0,0,0,1000.9,3,1,0.02,0,1.32
567,0,0,0,1000.8,3,1,0.02,0,1.34
568,0,0,0,1000.8,3,1,0.02,0,1.36
569,0,0,0,1000.8,3,1,0.02,0,1.38
570,0,0,0,1000.8,3,1,0.02,0,1.4
571,0,0,0,1000.7,3,1,0.02,0,1.42
572,0,0,0,1000.7,3,1,0.02,0,1.44
573,0,0,0,1000.7,3,1,0.02,0,1.46
574,0,0,0,1000.7,3,1,0.02,0,1.48
575,0,0,0,1000.6,3,1,0.02,0,1.5
576,0,0,0,1000.6,3,1,0.02,0,1.52
577,0,0,0,1000.6,3,1,0.02,0,1.54
578,0,0,0,1000.6,3,1,0.02,0,1.56
579,0,0,0,1000.5,3,1,0.02,0,1.58
580,0,0,0,1000.5,3,1,0.02,0,1.6
581,0,0,0,1000.5,3,1,0.02,0,1.62
582,0,0,0,1000.5,3,1,0.02,0,1.64
583,0,0,0,1000.4,3,1,0.02,0,1.66
584,0,0,0,1000.4,3,1,0.02,0,1.68
585,0,0,0,1000.4,3,1,0.02,0,1.7
586,0,0,0,1000.4,3,1,0.02,0,1.72
587,0,0,0,1000.3,3,1,0.02,0,1.74
588,0,0,0,1000.3,3,1,0.02,0,1.76
589,0,0,0,1000.3,3,1,0.02,0,1.78
590,0,0,0,1000.3,3,1,0.02,0,1.8
591,0,0,0,1000.2,3,1,0.02,0,1.82
592,0,0,0,1000.2,3,1,0.02,0,1.84
593,0,0,0,1000.2,3,1,0.02,0,1.86
