"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
741,0,0,0,1002.5,18443,0,0,0,3,0.12,0,0.12
742,0,0,0,1002.4,18050,0,0,0,3,0.12,0,0.16
743,0,0,0,1002.4,17658,0,0,0,3,0.12,0,0.2
789,0,0,0,1002.5,18443,0,0,0,3,0.16,0,0.12
790,0,0,0,1002.4,18050,0,0,0,3,0.16,0,0.16
791,0,0,0,1002.4,17658,0,0,0,3,0.16,0,0.2
837,0,0,0,1002.5,18443,0,0,0,3,0.2,0,0.12
838,0,0,0,1002.4,18050,0,0,0,3,0.2,0,0.16
839,0,0,0,1002.4,17658,0,0,0,3,0.2,0,0.2
885,0,0,0,1002.5,18443,0,0,0,3,0.24,0,0.12
886,0,0,0,1002.4,18050,0,0,0,3,0.24,0,0.16
887,0,0,0,1002.4,17658,0,0,0,3,0.24,0,0.2
933,0,0,0,1002.5,18443,0,0,0,3,0.28,0,0.12
934,0,0,0,1002.4,18050,0,0,0,3,0.28,0,0.16
935,0,0,0,1002.4,17658,0,0,0,3,0.28,0,0.2
981,0,0,0,1002.5,18443,0,0,0,3,0.32,0,0.12
982,0,0,0,1002.4,18050,0,0,0,3,0.32,0,0.16
983,0,0,0,1002.4,17658,0,0,0,3,0.32,0,0.2
1029,0,0,0,1002.5,18443,0,0,0,3,0.36,0,0.12
1030,0,0,0,1002.4,18050,0,0,0,3,0.36,0,0.16
1031,0,0,0,1002.4,17658,0,0,0,3,0.36,0,0.2
1077,0,0,0,1002.5,18443,0,0,0,3,0.4,0,0.12
1078,0,0,0,1002.4,18050,0,0,0,3,0.4,0,0.16
1079,0,0,0,1002.4,17658,0,0,0,3,0.4,0,0.2
1125,0,0,0,1002.5,18443,0,0,0,3,0.44,0,0.12
1126,0,0,0,1002.4,18050,0,0,0,3,0.44,0,0.16
1127,0,0,0,1002.4,17658,0,0,0,3,0.44,0,0.2
1173,0,0,0,1002.5,18443,0,0,0,3,0.48,0,0.12
1174,0,0,0,1002.4,18050,0,0,0,3,0.48,0,0.16
1175,0,0,0,1002.4,17658,0,0,0,3,0.48,0,0.2
1221,0,0,0,1002.5,18443,0,0,0,3,0.52,0,0.12
1222,0,0,0,1002.4,18050,0,0,0,3,0.52,0,0.16
1223,0,0,0,1002.4,17658,0,0,0,3,0.52,0,0.2
1269,0,0,0,1002.5,18443,0,0,0,3,0.56,0,0.12
1270,0,0,0,1002.4,18050,0,0,0,3,0.56,0,0.16
1271,0,0,0,1002.4,17658,0,0,0,3,0.56,0,0.2
1317,0,0,0,1002.5,18443,0,0,0,3,0.6,0,0.12
1318,0,0,0,1002.4,18050,0,0,0,3,0.6,0,0.16
1319,0,0,0,1002.4,17658,0,0,0,3,0.6,0,0.2
1365,0,0,0,1002.5,18443,0,0,0,3,0.64,0,0.12
1366,0,0,0,1002.4,18050,0,0,0,3,0.64,0,0.16
1367,0,0,0,1002.4,17658,0,0,0,3,0.64,0,0.2
1413,0,0,0,1002.5,18443,0,0,0,3,0.68,0,0.12
1414,0,0,0,1002.4,18050,0,0,0,3,0.68,0,0.16
1415,0,0,0,1002.4,17658,0,0,0,3,0.68,0,0.2
1461,0,0,0,1002.5,18443,0,0,0,3,0.72,0,0.12
1462,0,0,0,1002.4,18050,0,0,0,3,0.72,0,0.16
1463,0,0,0,1002.4,17658,0,0,0,3,0.72,0,0.2
1509,0,0,0,1002.5,18443,0,0,0,3,0.76,0,0.12
1510,0,0,0,1002.4,18050,0,0,0,3,0.76,0,0.16
1511,0,0,0,1002.4,17658,0,0,0,3,0.76,0,0.2
1557,0,0,0,1002.5,18443,0,0,0,3,0.8,0,0.12
