"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Type","Points:0","Points:1","Points:2"
0,0,0,0,1000,0,0,-0.04,0,-0.04
1,0,0,0,1000,0,0,-0.04,0,-0.02
2,0,0,0,1000,0,0,-0.04,0,0
3,0,0,0,1000,0,0,-0.04,0,0.02
38,0,0,0,1000,0,0,-0.02,0,-0.04
39,0,0,0,1000,0,0,-0.02,0,-0.02
40,0,0,0,1000,0,0,-0.02,0,0
41,0,0,0,1000,0,0,-0.02,0,0.02
76,0,0,0,1000,0,0,0,0,-0.04
77,0,0,0,1000,0,0,0,0,-0.02
78,0,0,0,1000,0,0,0,0,0
79,0,0,0,1000,0,0,0,0,0.02
114,0,0,0,1000,0,0,0.02,0,-0.04
115,0,0,0,1000,0,0,0.02,0,-0.02
116,0,0,0,1000,0,0,0.02,0,0
117,0,0,0,1000,0,0,0.04,0,-0.04
118,0,0,0,1000,0,0,0.04,0,-0.02
119,0,0,0,1000,0,0,0.04,0,0
120,0,0,0,1000,0,0,0.06,0,-0.04
121,0,0,0,1000,0,0,0.06,0,-0.02
122,0,0,0,1000,0,0,0.06,0,0
123,0,0,0,1000,0,0,0.08,0,-0.04
124,0,0,0,1000,0,0,0.08,0,-0.02
125,0,0,0,1000,0,0,0.08,0,0
126,0,0,0,1000,0,0,0.1,0,-0.04
127,0,0,0,1000,0,0,0.1,0,-0.02
128,0,0,0,1000,0,0,0.1,0,0
129,0,0,0,1000,0,0,0.12,0,-0.04
130,0,0,0,1000,0,0,0.12,0,-0.02
131,0,0,0,1000,0,0,0.12,0,0
132,0,0,0,1000,0,0,0.14,0,-0.04
133,0,0,0,1000,0,0,0.14,0,-0.02
134,0,0,0,1000,0,0,0.14,0,0
135,0,0,0,1000,0,0,0.16,0,-0.04
136,0,0,0,1000,0,0,0.16,0,-0.02
137,0,0,0,1000,0,0,0.16,0,0
138,0,0,0,1000,0,0,0.18,0,-0.04
139,0,0,0,1000,0,0,0.18,0,-0.02
140,0,0,0,1000,0,0,0.18,0,0
141,0,0,0,1000,0,0,0.2,0,-0.04
142,0,0,0,1000,0,0,0.2,0,-0.02
143,0,0,0,1000,0,0,0.2,0,0
144,0,0,0,1000,0,0,0.22,0,-0.04
145,0,0,0,1000,0,0,0.22,0,-0.02
146,0,0,0,1000,0,0,0.22,0,0
147,0,0,0,1000,0,0,0.24,0,-0.04
148,0,0,0,1000,0,0,0.24,0,-0.02
149,0,0,0,1000,0,0,0.24,0,0
150,0,0,0,1000,0,0,0.26,0,-0.04
151,0,0,0,1000,0,0,0.26,0,-0.02
152,0,0,0,1000,0,0,0.26,0,0
153,0,0,0,1000,0,0,0.28,0,-0.04
154,0,0,0,1000,0,0,0.28,0,-0.02
155,0,0,0,1000,0,0,0.28,0,0
156,0,0,0,1000,0,0,0.3,0,-0.04
157,0,0,0,1000,0,0,0.3,0,-0.02
158,0,0,0,1000,0,0,0.3,0,0
159,0,0,0,1000,0,0,0.32,0,-0.04
160,0,0,0,1000,0,0,0.32,0,-0.02
161,0,0,0,1000,0,0,0.32,0,0
162,0,0,0,1000,0,0,0.34,0,-0.04
163,0,0,0,1000,0,0,0.34,0,-0.02
164,0,0,0,1000,0,0,0.34,0,0
165,0,0,0,1000,0,0,0.36,0,-0.04
166,0,0,0,1000,0,0,0.36,0,-0.02
167,0,0,0,1000,0,0,0.36,0,0
168,0,0,0,1000,0,0,0.38,0,-0.04
169,0,0,0,1000,0,0,0.38,0,-0.02
170,0,0,0,1000,0,0,0.38,0,0
171,0,0,0,1000,0,0,0.4,0,-0.04
172,0,0,0,1000,0,0,0.4,0,-0.02
173,0,0,0,1000,0,0,0.4,0,0
174,0,0,0,1000,0,0,0.42,0,-0.04
175,0,0,0,1000,0,0,0.42,0,-0.02
176,0,0,0,1000,0,0,0.42,0,0
177,0,0,0,1000,0,0,0.44,0,-0.04
178,0,0,0,1000,0,0,0.44,0,-0.02
179,0,0,0,1000,0,0,0.44,0,0
180,0,0,0,1000,0,0,0.46,0,-0.04
181,0,0,0,1000,0,0,0.46,0,-0.02
182,0,0,0,1000,0,0,0.46,0,0
183,0,0,0,1000,0,0,0.48,0,-0.04
184,0,0,0,1000,0,0,0.48,0,-0.02
185,0,0,0,1000,0,0,0.48,0,0
186,0,0,0,1000,0,0,0.5,0,-0.04
187,0,0,0,1000,0,0,0.5,0,-0.02
188,0,0,0,1000,0,0,0.5,0,0
189,0,0,0,1000,0,0,0.52,0,-0.04
190,0,0,0,1000,0,0,0.52,0,-0.02
191,0,0,0,1000,0,0,0.52,0,0
192,0,0,0,1000,0,0,0.54,0,-0.04
193,0,0,0,1000,0,0,0.54,0,-0.02
194,0,0,0,1000,0,0,0.54,0,0
195,0,0,0,1000,0,0,0.56,0,-0.04
196,0,0,0,1000,0,0,0.56,0,-0.02
197,0,0,0,1000,0,0,0.56,0,0
198,0,0,0,1000,0,0,0.58,0,-0.04
199,0,0,0,1000,0,0,0.58,0,-0.02
200,0,0,0,1000,0,0,0.58,0,0
201,0,0,0,1000,0,0,0.6,0,-0.04
202,0,0,0,1000,0,0,0.6,0,-0.02
203,0,0,0,1000,0,0,0.6,0,0
204,0,0,0,1000,0,0,0.62,0,-0.04
205,0,0,0,1000,0,0,0.62,0,-0.02
206,0,0,0,1000,0,0,0.62,0,0
207,0,0,0,1000,0,0,0.64,0,-0.04
208,0,0,0,1000,0,0,0.64,0,-0.02
209,0,0,0,1000,0,0,0.64,0,0
210,0,0,0,1000,0,0,0.66,0,-0.04
211,0,0,0,1000,0,0,0.66,0,-0.02
212,0,0,0,1000,0,0,0.66,0,0
213,0,0,0,1000,0,0,0.68,0,-0.04
214,0,0,0,1000,0,0,0.68,0,-0.02
215,0,0,0,1000,0,0,0.68,0,0
216,0,0,0,1000,0,0,0.7,0,-0.04
217,0,0,0,1000,0,0,0.7,0,-0.02
218,0,0,0,1000,0,0,0.7,0,0
219,0,0,0,1000,0,0,0.72,0,-0.04
220,0,0,0,1000,0,0,0.72,0,-0.02
221,0,0,0,1000,0,0,0.72,0,0
222,0,0,0,1000,0,0,0.74,0,-0.04
223,0,0,0,1000,0,0,0.74,0,-0.02
224,0,0,0,1000,0,0,0.74,0,0
225,0,0,0,1000,0,0,0.76,0,-0.04
226,0,0,0,1000,0,0,0.76,0,-0.02
227,0,0,0,1000,0,0,0.76,0,0
228,0,0,0,1000,0,0,0.78,0,-0.04
229,0,0,0,1000,0,0,0.78,0,-0.02
230,0,0,0,1000,0,0,0.78,0,0
231,0,0,0,1000,0,0,0.8,0,-0.04
232,0,0,0,1000,0,0,0.8,0,-0.02
233,0,0,0,1000,0,0,0.8,0,0
234,0,0,0,1000,0,0,0.82,0,-0.04
235,0,0,0,1000,0,0,0.82,0,-0.02
236,0,0,0,1000,0,0,0.82,0,0
237,0,0,0,1000,0,0,0.84,0,-0.04
238,0,0,0,1000,0,0,0.84,0,-0.02
239,0,0,0,1000,0,0,0.84,0,0
240,0,0,0,1000,0,0,0.86,0,-0.04
241,0,0,0,1000,0,0,0.86,0,-0.02
242,0,0,0,1000,0,0,0.86,0,0
243,0,0,0,1000,0,0,0.86,0,0.02
244,0,0,0,1000,0,0,0.88,0,-0.02
245,0,0,0,1000,0,0,0.88,0,0
246,0,0,0,1000,0,0,0.88,0,0.02
248,0,0,0,1000,0,0,0.9,0,0
249,0,0,0,1000,0,0,0.9,0,0.02
252,0,0,0,1000,0,0,0.92,0,0.02
