"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
0,0,0,0,1000,0,10,-0.06,0,-0.06
1,0,0,0,1000,0,10,-0.06,0,-0.04
2,0,0,0,1000,0,10,-0.06,0,-0.02
3,0,0,0,1000,0,10,-0.06,0,0
4,0,0,0,1000,0,10,-0.06,0,0.02
5,0,0,0,1000,0,10,-0.06,0,0.04
6,0,0,0,1000,0,10,-0.06,0,0.06
7,0,0,0,1000,0,10,-0.06,0,0.08
8,0,0,0,1000,0,10,-0.06,0,0.1
9,0,0,0,1000,0,10,-0.06,0,0.12
10,0,0,0,1000,0,10,-0.06,0,0.14
11,0,0,0,1000,0,10,-0.06,0,0.16
12,0,0,0,1000,0,10,-0.06,0,0.18
13,0,0,0,1000,0,10,-0.06,0,0.2
14,0,0,0,1000,0,10,-0.06,0,0.22
15,0,0,0,1000,0,10,-0.06,0,0.24
16,0,0,0,1000,0,10,-0.06,0,0.26
17,0,0,0,1000,0,10,-0.06,0,0.28
18,0,0,0,1000,0,10,-0.06,0,0.3
19,0,0,0,1000,0,10,-0.06,0,0.32
20,0,0,0,1000,0,10,-0.06,0,0.34
21,0,0,0,1000,0,10,-0.06,0,0.36
22,0,0,0,1000,0,10,-0.06,0,0.38
23,0,0,0,1000,0,10,-0.06,0,0.4
24,0,0,0,1000,0,10,-0.06,0,0.42
25,0,0,0,1000,0,10,-0.06,0,0.44
26,0,0,0,1000,0,10,-0.06,0,0.46
27,0,0,0,1000,0,10,-0.06,0,0.48
28,0,0,0,1000,0,10,-0.06,0,0.5
29,0,0,0,1000,0,10,-0.06,0,0.52
30,0,0,0,1000,0,10,-0.06,0,0.54
31,0,0,0,1000,0,10,-0.06,0,0.56
32,0,0,0,1000,0,10,-0.06,0,0.58
33,0,0,0,1000,0,10,-0.06,0,0.6
34,0,0,0,1000,0,10,-0.06,0,0.62
35,0,0,0,1000,0,10,-0.06,0,0.64
36,0,0,0,1000,0,10,-0.06,0,0.66
37,0,0,0,1000,0,10,-0.06,0,0.68
38,0,0,0,1000,0,10,-0.06,0,0.7
39,0,0,0,1000,0,10,-0.04,0,-0.06
40,0,0,0,1000,0,10,-0.04,0,-0.04
41,0,0,0,1000,0,10,-0.04,0,-0.02
42,0,0,0,1000,0,10,-0.04,0,0
43,0,0,0,1000,0,10,-0.04,0,0.02
44,0,0,0,1000,0,10,-0.04,0,0.04
45,0,0,0,1000,0,10,-0.04,0,0.06
46,0,0,0,1000,0,10,-0.04,0,0.08
47,0,0,0,1000,0,10,-0.04,0,0.1
48,0,0,0,1000,0,10,-0.04,0,0.12
49,0,0,0,1000,0,10,-0.04,0,0.14
50,0,0,0,1000,0,10,-0.04,0,0.16
51,0,0,0,1000,0,10,-0.04,0,0.18
52,0,0,0,1000,0,10,-0.04,0,0.2
53,0,0,0,1000,0,10,-0.04,0,0.22
54,0,0,0,1000,0,10,-0.04,0,0.24
55,0,0,0,1000,0,10,-0.04,0,0.26
56,0,0,0,1000,0,10,-0.04,0,0.28
57,0,0,0,1000,0,10,-0.04,0,0.3
58,0,0,0,1000,0,10,-0.04,0,0.32
59,0,0,0,1000,0,10,-0.04,0,0.34
60,0,0,0,1000,0,10,-0.04,0,0.36
61,0,0,0,1000,0,10,-0.04,0,0.38
62,0,0,0,1000,0,10,-0.04,0,0.4
63,0,0,0,1000,0,10,-0.04,0,0.42
64,0,0,0,1000,0,10,-0.04,0,0.44
65,0,0,0,1000,0,10,-0.04,0,0.46
66,0,0,0,1000,0,10,-0.04,0,0.48
67,0,0,0,1000,0,10,-0.04,0,0.5
68,0,0,0,1000,0,10,-0.04,0,0.52
69,0,0,0,1000,0,10,-0.04,0,0.54
70,0,0,0,1000,0,10,-0.04,0,0.56
71,0,0,0,1000,0,10,-0.04,0,0.58
72,0,0,0,1000,0,10,-0.04,0,0.6
73,0,0,0,1000,0,10,-0.04,0,0.62
74,0,0,0,1000,0,10,-0.04,0,0.64
75,0,0,0,1000,0,10,-0.04,0,0.66
76,0,0,0,1000,0,10,-0.04,0,0.68
77,0,0,0,1000,0,10,-0.04,0,0.7
78,0,0,0,1000,0,10,-0.02,0,-0.06
79,0,0,0,1000,0,10,-0.02,0,-0.04
80,0,0,0,1000,0,10,-0.02,0,-0.02
81,0,0,0,1000,0,10,-0.02,0,0
82,0,0,0,1000,0,10,-0.02,0,0.02
83,0,0,0,1000,0,10,-0.02,0,0.04
84,0,0,0,1000,0,10,-0.02,0,0.06
85,0,0,0,1000,0,10,-0.02,0,0.08
86,0,0,0,1000,0,10,-0.02,0,0.1
87,0,0,0,1000,0,10,-0.02,0,0.12
88,0,0,0,1000,0,10,-0.02,0,0.14
89,0,0,0,1000,0,10,-0.02,0,0.16
90,0,0,0,1000,0,10,-0.02,0,0.18
91,0,0,0,1000,0,10,-0.02,0,0.2
92,0,0,0,1000,0,10,-0.02,0,0.22
93,0,0,0,1000,0,10,-0.02,0,0.24
94,0,0,0,1000,0,10,-0.02,0,0.26
95,0,0,0,1000,0,10,-0.02,0,0.28
96,0,0,0,1000,0,10,-0.02,0,0.3
97,0,0,0,1000,0,10,-0.02,0,0.32
98,0,0,0,1000,0,10,-0.02,0,0.34
99,0,0,0,1000,0,10,-0.02,0,0.36
100,0,0,0,1000,0,10,-0.02,0,0.38
101,0,0,0,1000,0,10,-0.02,0,0.4
102,0,0,0,1000,0,10,-0.02,0,0.42
103,0,0,0,1000,0,10,-0.02,0,0.44
104,0,0,0,1000,0,10,-0.02,0,0.46
105,0,0,0,1000,0,10,-0.02,0,0.48
106,0,0,0,1000,0,10,-0.02,0,0.5
107,0,0,0,1000,0,10,-0.02,0,0.52
108,0,0,0,1000,0,10,-0.02,0,0.54
109,0,0,0,1000,0,10,-0.02,0,0.56
110,0,0,0,1000,0,10,-0.02,0,0.58
111,0,0,0,1000,0,10,-0.02,0,0.6
112,0,0,0,1000,0,10,-0.02,0,0.62
113,0,0,0,1000,0,10,-0.02,0,0.64
114,0,0,0,1000,0,10,-0.02,0,0.66
115,0,0,0,1000,0,10,-0.02,0,0.68
116,0,0,0,1000,0,10,-0.02,0,0.7
117,0,0,0,1000,0,10,0,0,-0.06
118,0,0,0,1000,0,10,0,0,-0.04
119,0,0,0,1000,0,10,0,0,-0.02
120,0,0,0,1000,0,10,0,0,0
121,0,0,0,1000,0,10,0,0,0.02
122,0,0,0,1000,0,10,0,0,0.04
123,0,0,0,1000,0,10,0,0,0.06
124,0,0,0,1000,0,10,0,0,0.08
125,0,0,0,1000,0,10,0,0,0.1
126,0,0,0,1000,0,10,0,0,0.12
127,0,0,0,1000,0,10,0,0,0.14
128,0,0,0,1000,0,10,0,0,0.16
129,0,0,0,1000,0,10,0,0,0.18
130,0,0,0,1000,0,10,0,0,0.2
131,0,0,0,1000,0,10,0,0,0.22
132,0,0,0,1000,0,10,0,0,0.24
133,0,0,0,1000,0,10,0,0,0.26
134,0,0,0,1000,0,10,0,0,0.28
135,0,0,0,1000,0,10,0,0,0.3
136,0,0,0,1000,0,10,0,0,0.32
137,0,0,0,1000,0,10,0,0,0.34
138,0,0,0,1000,0,10,0,0,0.36
139,0,0,0,1000,0,10,0,0,0.38
140,0,0,0,1000,0,10,0,0,0.4
141,0,0,0,1000,0,10,0,0,0.42
142,0,0,0,1000,0,10,0,0,0.44
143,0,0,0,1000,0,10,0,0,0.46
144,0,0,0,1000,0,10,0,0,0.48
145,0,0,0,1000,0,10,0,0,0.5
146,0,0,0,1000,0,10,0,0,0.52
147,0,0,0,1000,0,10,0,0,0.54
148,0,0,0,1000,0,10,0,0,0.56
149,0,0,0,1000,0,10,0,0,0.58
150,0,0,0,1000,0,10,0,0,0.6
151,0,0,0,1000,0,10,0,0,0.62
152,0,0,0,1000,0,10,0,0,0.64
153,0,0,0,1000,0,10,0,0,0.66
154,0,0,0,1000,0,10,0,0,0.68
155,0,0,0,1000,0,10,0,0,0.7
156,0,0,0,1000,0,10,0.02,0,-0.06
157,0,0,0,1000,0,10,0.02,0,-0.04
158,0,0,0,1000,0,10,0.02,0,-0.02
159,0,0,0,1000,0,10,0.02,0,0
160,0,0,0,1000,0,10,0.04,0,-0.06
161,0,0,0,1000,0,10,0.04,0,-0.04
162,0,0,0,1000,0,10,0.04,0,-0.02
163,0,0,0,1000,0,10,0.04,0,0
164,0,0,0,1000,0,10,0.06,0,-0.06
165,0,0,0,1000,0,10,0.06,0,-0.04
166,0,0,0,1000,0,10,0.06,0,-0.02
167,0,0,0,1000,0,10,0.06,0,0
168,0,0,0,1000,0,10,0.08,0,-0.06
169,0,0,0,1000,0,10,0.08,0,-0.04
170,0,0,0,1000,0,10,0.08,0,-0.02
171,0,0,0,1000,0,10,0.08,0,0
172,0,0,0,1000,0,10,0.1,0,-0.06
173,0,0,0,1000,0,10,0.1,0,-0.04
174,0,0,0,1000,0,10,0.1,0,-0.02
175,0,0,0,1000,0,10,0.1,0,0
176,0,0,0,1000,0,10,0.12,0,-0.06
177,0,0,0,1000,0,10,0.12,0,-0.04
178,0,0,0,1000,0,10,0.12,0,-0.02
179,0,0,0,1000,0,10,0.12,0,0
180,0,0,0,1000,0,10,0.14,0,-0.06
181,0,0,0,1000,0,10,0.14,0,-0.04
182,0,0,0,1000,0,10,0.14,0,-0.02
183,0,0,0,1000,0,10,0.14,0,0
184,0,0,0,1000,0,10,0.16,0,-0.06
185,0,0,0,1000,0,10,0.16,0,-0.04
186,0,0,0,1000,0,10,0.16,0,-0.02
187,0,0,0,1000,0,10,0.16,0,0
188,0,0,0,1000,0,10,0.18,0,-0.06
189,0,0,0,1000,0,10,0.18,0,-0.04
190,0,0,0,1000,0,10,0.18,0,-0.02
191,0,0,0,1000,0,10,0.18,0,0
192,0,0,0,1000,0,10,0.2,0,-0.06
193,0,0,0,1000,0,10,0.2,0,-0.04
194,0,0,0,1000,0,10,0.2,0,-0.02
195,0,0,0,1000,0,10,0.2,0,0
196,0,0,0,1000,0,10,0.22,0,-0.06
197,0,0,0,1000,0,10,0.22,0,-0.04
198,0,0,0,1000,0,10,0.22,0,-0.02
199,0,0,0,1000,0,10,0.22,0,0
200,0,0,0,1000,0,10,0.24,0,-0.06
201,0,0,0,1000,0,10,0.24,0,-0.04
202,0,0,0,1000,0,10,0.24,0,-0.02
203,0,0,0,1000,0,10,0.24,0,0
204,0,0,0,1000,0,10,0.26,0,-0.06
205,0,0,0,1000,0,10,0.26,0,-0.04
206,0,0,0,1000,0,10,0.26,0,-0.02
207,0,0,0,1000,0,10,0.26,0,0
208,0,0,0,1000,0,10,0.28,0,-0.06
209,0,0,0,1000,0,10,0.28,0,-0.04
210,0,0,0,1000,0,10,0.28,0,-0.02
211,0,0,0,1000,0,10,0.28,0,0
212,0,0,0,1000,0,10,0.3,0,-0.06
213,0,0,0,1000,0,10,0.3,0,-0.04
214,0,0,0,1000,0,10,0.3,0,-0.02
215,0,0,0,1000,0,10,0.3,0,0
216,0,0,0,1000,0,10,0.32,0,-0.06
217,0,0,0,1000,0,10,0.32,0,-0.04
218,0,0,0,1000,0,10,0.32,0,-0.02
219,0,0,0,1000,0,10,0.32,0,0
220,0,0,0,1000,0,10,0.34,0,-0.06
221,0,0,0,1000,0,10,0.34,0,-0.04
222,0,0,0,1000,0,10,0.34,0,-0.02
223,0,0,0,1000,0,10,0.34,0,0
224,0,0,0,1000,0,10,0.36,0,-0.06
225,0,0,0,1000,0,10,0.36,0,-0.04
226,0,0,0,1000,0,10,0.36,0,-0.02
227,0,0,0,1000,0,10,0.36,0,0
228,0,0,0,1000,0,10,0.38,0,-0.06
229,0,0,0,1000,0,10,0.38,0,-0.04
230,0,0,0,1000,0,10,0.38,0,-0.02
