"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
0,0.0,0.0,0.0,1000.0,0,0,-0.5,-0.5,-0.5
1,0.0,0.0,0.0,1000.0,0,0,-0.48,-0.5,-0.5
2,0.0,0.0,0.0,1000.0,0,0,-0.46,-0.5,-0.5
3,0.0,0.0,0.0,1000.0,0,0,-0.44,-0.5,-0.5
4,0.0,0.0,0.0,1000.0,0,0,-0.42,-0.5,-0.5
5,0.0,0.0,0.0,1000.0,0,0,-0.4,-0.5,-0.5
6,0.0,0.0,0.0,1000.0,0,0,-0.38,-0.5,-0.5
7,0.0,0.0,0.0,1000.0,0,0,-0.36,-0.5,-0.5
8,0.0,0.0,0.0,1000.0,0,0,-0.33999999999999997,-0.5,-0.5
9,0.0,0.0,0.0,1000.0,0,0,-0.32,-0.5,-0.5
10,0.0,0.0,0.0,1000.0,0,0,-0.3,-0.5,-0.5
11,0.0,0.0,0.0,1000.0,0,0,-0.28,-0.5,-0.5
12,0.0,0.0,0.0,1000.0,0,0,-0.26,-0.5,-0.5
13,0.0,0.0,0.0,1000.0,0,0,-0.24,-0.5,-0.5
14,0.0,0.0,0.0,1000.0,0,0,-0.21999999999999997,-0.5,-0.5
15,0.0,0.0,0.0,1000.0,0,0,-0.2,-0.5,-0.5
16,0.0,0.0,0.0,1000.0,0,0,-0.18,-0.5,-0.5
17,0.0,0.0,0.0,1000.0,0,0,-0.15999999999999998,-0.5,-0.5
18,0.0,0.0,0.0,1000.0,0,0,-0.14,-0.5,-0.5
19,0.0,0.0,0.0,1000.0,0,0,-0.12,-0.5,-0.5
20,0.0,0.0,0.0,1000.0,0,0,-0.09999999999999998,-0.5,-0.5
21,0.0,0.0,0.0,1000.0,0,0,-0.08000000000000002,-0.5,-0.5
22,0.0,0.0,0.0,1000.0,0,0,-0.06,-0.5,-0.5
23,0.0,0.0,0.0,1000.0,0,0,-0.03999999999999998,-0.5,-0.5
24,0.0,0.0,0.0,1000.0,0,0,-0.020000000000000018,-0.5,-0.5
25,0.0,0.0,0.0,1000.0,0,0,0.0,-0.5,-0.5
26,0.0,0.0,0.0,1000.0,0,0,0.020000000000000018,-0.5,-0.5
27,0.0,0.0,0.0,1000.0,0,0,0.040000000000000036,-0.5,-0.5
28,0.0,0.0,0.0,1000.0,0,0,0.06000000000000005,-0.5,-0.5
29,0.0,0.0,0.0,1000.0,0,0,0.07999999999999996,-0.5,-0.5
30,0.0,0.0,0.0,1000.0,0,0,0.09999999999999998,-0.5,-0.5
31,0.0,0.0,0.0,1000.0,0,0,0.12,-0.5,-0.5
32,0.0,0.0,0.0,1000.0,0,0,0.14,-0.5,-0.5
33,0.0,0.0,0.0,1000.0,0,0,0.16000000000000003,-0.5,-0.5
34,0.0,0.0,0.0,1000.0,0,0,0.18000000000000005,-0.5,-0.5
35,0.0,0.0,0.0,1000.0,0,0,0.20000000000000007,-0.5,-0.5
36,0.0,0.0,0.0,1000.0,0,0,0.21999999999999997,-0.5,-0.5
37,0.0,0.0,0.0,1000.0,0,0,0.24,-0.5,-0.5
38,0.0,0.0,0.0,1000.0,0,0,0.26,-0.5,-0.5
39,0.0,0.0,0.0,1000.0,0,0,0.28,-0.5,-0.5
40,0.0,0.0,0.0,1000.0,0,0,0.30000000000000004,-0.5,-0.5
41,0.0,0.0,0.0,1000.0,0,0,0.32000000000000006,-0.5,-0.5
42,0.0,0.0,0.0,1000.0,0,0,0.33999999999999997,-0.5,-0.5
43,0.0,0.0,0.0,1000.0,0,0,0.36,-0.5,-0.5
44,0.0,0.0,0.0,1000.0,0,0,0.38,-0.5,-0.5
45,0.0,0.0,0.0,1000.0,0,0,0.4,-0.5,-0.5
46,0.0,0.0,0.0,1000.0,0,0,0.42000000000000004,-0.5,-0.5
47,0.0,0.0,0.0,1000.0,0,0,0.44000000000000006,-0.5,-0.5
48,0.0,0.0,0.0,1000.0,0,0,0.45999999999999996,-0.5,-0.5
49,0.0,0.0,0.0,1000.0,0,0,0.48,-0.5,-0.5
50,0.0,0.0,0.0,1000.0,0,0,0.5,-0.5,-0.5
51,0.0,0.0,0.0,1000.0,0,0,-0.5,-0.48,-0.5
52,0.0,0.0,0.0,1000.0,0,0,-0.48,-0.48,-0.5
53,0.0,0.0,0.0,1000.0,0,0,-0.46,-0.48,-0.5
54,0.0,0.0,0.0,1000.0,0,0,-0.44,-0.48,-0.5
55,0.0,0.0,0.0,1000.0,0,0,-0.42,-0.48,-0.5
56,0.0,0.0,0.0,1000.0,0,0,-0.4,-0.48,-0.5
57,0.0,0.0,0.0,1000.0,0,0,-0.38,-0.48,-0.5
58,0.0,0.0,0.0,1000.0,0,0,-0.36,-0.48,-0.5
59,0.0,0.0,0.0,1000.0,0,0,-0.33999999999999997,-0.48,-0.5
60,0.0,0.0,0.0,1000.0,0,0,-0.32,-0.48,-0.5
61,0.0,0.0,0.0,1000.0,0,0,-0.3,-0.48,-0.5
62,0.0,0.0,0.0,1000.0,0,0,-0.28,-0.48,-0.5
63,0.0,0.0,0.0,1000.0,0,0,-0.26,-0.48,-0.5
64,0.0,0.0,0.0,1000.0,0,0,-0.24,-0.48,-0.5
65,0.0,0.0,0.0,1000.0,0,0,-0.21999999999999997,-0.48,-0.5
66,0.0,0.0,0.0,1000.0,0,0,-0.2,-0.48,-0.5
67,0.0,0.0,0.0,1000.0,0,0,-0.18,-0.48,-0.5
68,0.0,0.0,0.0,1000.0,0,0,-0.15999999999999998,-0.48,-0.5
69,0.0,0.0,0.0,1000.0,0,0,-0.14,-0.48,-0.5
70,0.0,0.0,0.0,1000.0,0,0,-0.12,-0.48,-0.5
71,0.0,0.0,0.0,1000.0,0,0,-0.09999999999999998,-0.48,-0.5
72,0.0,0.0,0.0,1000.0,0,0,-0.08000000000000002,-0.48,-0.5
73,0.0,0.0,0.0,1000.0,0,0,-0.06,-0.48,-0.5
74,0.0,0.0,0.0,1000.0,0,0,-0.03999999999999998,-0.48,-0.5
75,0.0,0.0,0.0,1000.0,0,0,-0.020000000000000018,-0.48,-0.5
76,0.0,0.0,0.0,1000.0,0,0,0.0,-0.48,-0.5
77,0.0,0.0,0.0,1000.0,0,0,0.020000000000000018,-0.48,-0.5
78,0.0,0.0,0.0,1000.0,0,0,0.040000000000000036,-0.48,-0.5
79,0.0,0.0,0.0,1000.0,0,0,0.06000000000000005,-0.48,-0.5
80,0.0,0.0,0.0,1000.0,0,0,0.07999999999999996,-0.48,-0.5
81,0.0,0.0,0.0,1000.0,0,0,0.09999999999999998,-0.48,-0.5
