"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
29537,0.0,0.0,0.0,1000.0,0,0,0.1607,-0.482,-0.482
29538,0.0,0.0,0.0,1000.0,0,0,0.1807,-0.482,-0.482
29539,0.0,0.0,0.0,1000.0,0,0,0.20070000000000002,-0.482,-0.482
29540,0.0,0.0,0.0,1000.0,0,0,0.2207,-0.482,-0.482
29541,0.0,0.0,0.0,1000.0,0,0,0.24070000000000003,-0.482,-0.482
29542,0.0,0.0,0.0,1000.0,0,0,0.26070000000000004,-0.482,-0.482
29543,0.0,0.0,0.0,1000.0,0,0,0.2807,-0.482,-0.482
29544,0.0,0.0,0.0,1000.0,0,0,0.3007,-0.482,-0.482
29545,0.0,0.0,0.0,1000.0,0,0,0.3207,-0.482,-0.482
29546,0.0,0.0,0.0,1000.0,0,0,0.3407,-0.482,-0.482
29547,0.0,0.0,0.0,1000.0,0,0,0.3607,-0.482,-0.482
29548,0.0,0.0,0.0,1000.0,0,0,0.38070000000000004,-0.482,-0.482
29549,0.0,0.0,0.0,1000.0,0,0,0.4007,-0.482,-0.482
29550,0.0,0.0,0.0,1000.0,0,0,0.4207,-0.482,-0.482
29551,0.0,0.0,0.0,1000.0,0,0,0.44070000000000004,-0.482,-0.482
29552,0.0,0.0,0.0,1000.0,0,0,0.4607,-0.482,-0.482
29553,0.0,0.0,0.0,1000.0,0,0,0.4807,-0.482,-0.482
29554,0.0,0.0,0.0,1000.0,0,0,0.1607,-0.46199999999999997,-0.482
29555,0.0,0.0,0.0,1000.0,0,0,0.1807,-0.46199999999999997,-0.482
29556,0.0,0.0,0.0,1000.0,0,0,0.20070000000000002,-0.46199999999999997,-0.482
29557,0.0,0.0,0.0,1000.0,0,0,0.2207,-0.46199999999999997,-0.482
29558,0.0,0.0,0.0,1000.0,0,0,0.24070000000000003,-0.46199999999999997,-0.482
29559,0.0,0.0,0.0,1000.0,0,0,0.26070000000000004,-0.46199999999999997,-0.482
29560,0.0,0.0,0.0,1000.0,0,0,0.2807,-0.46199999999999997,-0.482
29561,0.0,0.0,0.0,1000.0,0,0,0.3007,-0.46199999999999997,-0.482
29562,0.0,0.0,0.0,1000.0,0,0,0.3207,-0.46199999999999997,-0.482
29563,0.0,0.0,0.0,1000.0,0,0,0.3407,-0.46199999999999997,-0.482
29564,0.0,0.0,0.0,1000.0,0,0,0.3607,-0.46199999999999997,-0.482
29565,0.0,0.0,0.0,1000.0,0,0,0.38070000000000004,-0.46199999999999997,-0.482
29566,0.0,0.0,0.0,1000.0,0,0,0.4007,-0.46199999999999997,-0.482
29567,0.0,0.0,0.0,1000.0,0,0,0.4207,-0.46199999999999997,-0.482
29568,0.0,0.0,0.0,1000.0,0,0,0.44070000000000004,-0.46199999999999997,-0.482
29569,0.0,0.0,0.0,1000.0,0,0,0.4607,-0.46199999999999997,-0.482
29570,0.0,0.0,0.0,1000.0,0,0,0.4807,-0.46199999999999997,-0.482
29571,0.0,0.0,0.0,1000.0,0,0,0.1607,-0.442,-0.482
29572,0.0,0.0,0.0,1000.0,0,0,0.1807,-0.442,-0.482
29573,0.0,0.0,0.0,1000.0,0,0,0.20070000000000002,-0.442,-0.482
29574,0.0,0.0,0.0,1000.0,0,0,0.2207,-0.442,-0.482
29575,0.0,0.0,0.0,1000.0,0,0,0.24070000000000003,-0.442,-0.482
29576,0.0,0.0,0.0,1000.0,0,0,0.26070000000000004,-0.442,-0.482
29577,0.0,0.0,0.0,1000.0,0,0,0.2807,-0.442,-0.482
29578,0.0,0.0,0.0,1000.0,0,0,0.3007,-0.442,-0.482
29579,0.0,0.0,0.0,1000.0,0,0,0.3207,-0.442,-0.482
29580,0.0,0.0,0.0,1000.0,0,0,0.3407,-0.442,-0.482
29581,0.0,0.0,0.0,1000.0,0,0,0.3607,-0.442,-0.482
29582,0.0,0.0,0.0,1000.0,0,0,0.38070000000000004,-0.442,-0.482
29583,0.0,0.0,0.0,1000.0,0,0,0.4007,-0.442,-0.482
29584,0.0,0.0,0.0,1000.0,0,0,0.4207,-0.442,-0.482
