"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
15002,0.0,0.0,0.0,1000.0,0,0,-0.020000000000000004,-0.04000000000000001,-0.1
15003,0.0,0.0,0.0,1000.0,0,0,0.0,-0.04000000000000001,-0.1
15004,0.0,0.0,0.0,1000.0,0,0,0.01999999999999999,-0.04000000000000001,-0.1
15005,0.0,0.0,0.0,1000.0,0,0,-0.04000000000000001,-0.020000000000000004,-0.1
15006,0.0,0.0,0.0,1000.0,0,0,-0.020000000000000004,-0.020000000000000004,-0.1
15007,0.0,0.0,0.0,1000.0,0,0,0.0,-0.020000000000000004,-0.1
15008,0.0,0.0,0.0,1000.0,0,0,0.01999999999999999,-0.020000000000000004,-0.1
15009,0.0,0.0,0.0,1000.0,0,0,0.04000000000000001,-0.020000000000000004,-0.1
15010,0.0,0.0,0.0,1000.0,0,0,-0.04000000000000001,0.0,-0.1
15011,0.0,0.0,0.0,1000.0,0,0,-0.020000000000000004,0.0,-0.1
15012,0.0,0.0,0.0,1000.0,0,0,0.0,0.0,-0.1
15013,0.0,0.0,0.0,1000.0,0,0,0.01999999999999999,0.0,-0.1
15014,0.0,0.0,0.0,1000.0,0,0,0.04000000000000001,0.0,-0.1
15015,0.0,0.0,0.0,1000.0,0,0,-0.04000000000000001,0.01999999999999999,-0.1
15016,0.0,0.0,0.0,1000.0,0,0,-0.020000000000000004,0.01999999999999999,-0.1
15017,0.0,0.0,0.0,1000.0,0,0,0.0,0.01999999999999999,-0.1
15018,0.0,0.0,0.0,1000.0,0,0,0.01999999999999999,0.01999999999999999,-0.1
15019,0.0,0.0,0.0,1000.0,0,0,0.04000000000000001,0.01999999999999999,-0.1
15020,0.0,0.0,0.0,1000.0,0,0,-0.020000000000000004,0.04000000000000001,-0.1
15021,0.0,0.0,0.0,1000.0,0,0,0.0,0.04000000000000001,-0.1
15022,0.0,0.0,0.0,1000.0,0,0,0.01999999999999999,0.04000000000000001,-0.1
15023,0.0,0.0,0.0,1000.0,0,0,-0.04000000000000001,-0.060000000000000005,-0.08
