Point ID,Idp,Mk,"Points:0","Points:1","Points:2",Points_Magnitude,Rhop,Type,"Vel:0","Vel:1","Vel:2",Vel_Magnitude
0,0,10,0,0,0,0,1000,0,0,0,0,0
1,1,10,0,0,0.02,0.02,1000,0,0,0,0,0
2,2,10,0,0,0.04,0.04,1000,0,0,0,0,0
3,3,10,0,0,0.06,0.06,1000,0,0,0,0,0
4,4,10,0,0,0.08,0.08,1000,0,0,0,0,0
5,5,10,0,0,0.1,0.1,1000,0,0,0,0,0
6,6,10,0,0,0.12,0.12,1000,0,0,0,0,0
7,7,10,0,0,0.14,0.14,1000,0,0,0,0,0
8,8,10,0,0,0.16,0.16,1000,0,0,0,0,0
9,9,10,0,0,0.18,0.18,1000,0,0,0,0,0
10,10,10,0,0,0.2,0.2,1000,0,0,0,0,0
11,11,10,0,0,0.22,0.22,1000,0,0,0,0,0
12,12,10,0,0,0.24,0.24,1000,0,0,0,0,0
13,13,10,0,0,0.26,0.26,1000,0,0,0,0,0
14,14,10,0,0,0.28,0.28,1000,0,0,0,0,0
15,15,10,0,0,0.3,0.3,1000,0,0,0,0,0
16,16,10,0,0,0.32,0.32,1000,0,0,0,0,0
17,17,10,0,0,0.34,0.34,1000,0,0,0,0,0
18,18,10,0,0,0.36,0.36,1000,0,0,0,0,0
19,19,10,0,0,0.38,0.38,1000,0,0,0,0,0
20,20,10,0,0,0.4,0.4,1000,0,0,0,0,0
21,21,10,0,0,0.42,0.42,1000,0,0,0,0,0
22,22,10,0,0,0.44,0.44,1000,0,0,0,0,0
23,23,10,0,0,0.46,0.46,1000,0,0,0,0,0
24,24,10,0,0,0.48,0.48,1000,0,0,0,0,0
25,25,10,0,0,0.5,0.5,1000,0,0,0,0,0
26,26,10,0,0,0.52,0.52,1000,0,0,0,0,0
27,27,10,0,0,0.54,0.54,1000,0,0,0,0,0
28,28,10,0,0,0.56,0.56,1000,0,0,0,0,0
29,29,10,0,0,0.58,0.58,1000,0,0,0,0,0
30,30,10,0,0,0.6,0.6,1000,0,0,0,0,0
31,31,10,0,0,0.62,0.62,1000,0,0,0,0,0
32,32,10,0,0,0.64,0.64,1000,0,0,0,0,0
33,33,10,0,0,0.66,0.66,1000,0,0,0,0,0
34,34,10,0,0,0.68,0.68,1000,0,0,0,0,0
35,35,10,0,0,0.7,0.7,1000,0,0,0,0,0
36,36,10,0,0,0.72,0.72,1000,0,0,0,0,0
37,37,10,0,0,0.74,0.74,1000,0,0,0,0,0
38,38,10,0,0,0.76,0.76,1000,0,0,0,0,0
39,39,10,0,0,0.78,0.78,1000,0,0,0,0,0
40,40,10,0,0,0.8,0.8,1000,0,0,0,0,0
41,41,10,0,0,0.82,0.82,1000,0,0,0,0,0
42,42,10,0,0,0.84,0.84,1000,0,0,0,0,0
43,43,10,0,0,0.86,0.86,1000,0,0,0,0,0
44,44,10,0,0,0.88,0.88,1000,0,0,0,0,0
45,45,10,0,0,0.9,0.9,1000,0,0,0,0,0
46,46,10,0,0,0.92,0.92,1000,0,0,0,0,0
47,47,10,0,0,0.94,0.94,1000,0,0,0,0,0
48,48,10,0,0,0.96,0.96,1000,0,0,0,0,0
49,49,10,0,0,0.98,0.98,1000,0,0,0,0,0
50,50,10,0,0,1,1,1000,0,0,0,0,0
51,51,10,0,0,1.02,1.02,1000,0,0,0,0,0
52,52,10,0,0,1.04,1.04,1000,0,0,0,0,0
53,53,10,0,0,1.06,1.06,1000,0,0,0,0,0
54,54,10,0,0,1.08,1.08,1000,0,0,0,0,0
55,55,10,0,0,1.1,1.1,1000,0,0,0,0,0
56,56,10,0,0,1.12,1.12,1000,0,0,0,0,0
57,57,10,0,0,1.14,1.14,1000,0,0,0,0,0
58,58,10,0,0,1.16,1.16,1000,0,0,0,0,0
59,59,10,0,0,1.18,1.18,1000,0,0,0,0,0
60,60,10,0,0,1.2,1.2,1000,0,0,0,0,0
61,61,10,0,0,1.22,1.22,1000,0,0,0,0,0
62,62,10,0,0,1.24,1.24,1000,0,0,0,0,0
63,63,10,0,0,1.26,1.26,1000,0,0,0,0,0
64,64,10,0,0,1.28,1.28,1000,0,0,0,0,0
65,65,10,0,0,1.3,1.3,1000,0,0,0,0,0
66,66,10,0,0,1.32,1.32,1000,0,0,0,0,0
67,67,10,0,0,1.34,1.34,1000,0,0,0,0,0
