"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,761,61,-1,5,13.8,14.7119,1000,2,0,0,0,0
1,762,61,-1,5,13.85,14.7588,1000,2,0,0,0,0
2,763,61,-1,5,13.9,14.8057,1000,2,0,0,0,0
3,764,61,-1,5,13.95,14.8527,1000,2,0,0,0,0
4,765,61,-1,5,14,14.8997,1000,2,0,0,0,0
5,766,61,-1,5,14.05,14.9467,1000,2,0,0,0,0
6,767,61,-1,5,14.1,14.9937,1000,2,0,0,0,0
7,768,61,-1,5,14.15,15.0407,1000,2,0,0,0,0
8,769,61,-1,5,14.2,15.0877,1000,2,0,0,0,0
9,770,61,-0.95,5,13.65,14.5679,1000,2,0,0,0,0
10,771,61,-0.95,5,13.7,14.6148,1000,2,0,0,0,0
11,772,61,-0.95,5,13.75,14.6617,1000,2,0,0,0,0
12,773,61,-0.95,5,13.8,14.7086,1000,2,0,0,0,0
13,774,61,-0.95,5,13.85,14.7555,1000,2,0,0,0,0
14,775,61,-0.95,5,13.9,14.8024,1000,2,0,0,0,0
15,776,61,-0.95,5,13.95,14.8494,1000,2,0,0,0,0
16,777,61,-0.95,5,14,14.8964,1000,2,0,0,0,0
17,778,61,-0.95,5,14.05,14.9434,1000,2,0,0,0,0
18,779,61,-0.95,5,14.1,14.9904,1000,2,0,0,0,0
19,780,61,-0.95,5,14.15,15.0375,1000,2,0,0,0,0
20,781,61,-0.95,5,14.2,15.0845,1000,2,0,0,0,0
21,782,61,-0.95,5,14.25,15.1316,1000,2,0,0,0,0
22,783,61,-0.95,5,14.3,15.1787,1000,2,0,0,0,0
23,784,61,-0.95,5,14.35,15.2258,1000,2,0,0,0,0
24,785,61,-0.9,5,13.5,14.4243,1000,2,0,0,0,0
25,786,61,-0.9,5,13.55,14.4711,1000,2,0,0,0,0
26,787,61,-0.9,5,13.6,14.5179,1000,2,0,0,0,0
27,788,61,-0.9,5,13.65,14.5648,1000,2,0,0,0,0
28,789,61,-0.9,5,13.7,14.6116,1000,2,0,0,0,0
29,790,61,-0.9,5,13.75,14.6585,1000,2,0,0,0,0
30,791,61,-0.9,5,13.8,14.7054,1000,2,0,0,0,0
31,792,61,-0.9,5,13.85,14.7524,1000,2,0,0,0,0
32,793,61,-0.9,5,13.9,14.7993,1000,2,0,0,0,0
33,794,61,-0.9,5,13.95,14.8463,1000,2,0,0,0,0
34,795,61,-0.9,5,14,14.8933,1000,2,0,0,0,0
35,796,61,-0.9,5,14.05,14.9403,1000,2,0,0,0,0
36,797,61,-0.9,5,14.1,14.9873,1000,2,0,0,0,0
37,798,61,-0.9,5,14.15,15.0344,1000,2,0,0,0,0
38,799,61,-0.9,5,14.2,15.0814,1000,2,0,0,0,0
39,800,61,-0.9,5,14.25,15.1285,1000,2,0,0,0,0
40,801,61,-0.9,5,14.3,15.1756,1000,2,0,0,0,0
41,802,61,-0.9,5,14.35,15.2228,1000,2,0,0,0,0
42,803,61,-0.9,5,14.4,15.2699,1000,2,0,0,0,0
43,804,61,-0.9,5,14.45,15.3171,1000,2,0,0,0,0
44,805,61,-0.9,5,14.5,15.3642,1000,2,0,0,0,0
45,806,61,-0.85,5,13.45,14.3745,1000,2,0,0,0,0
46,807,61,-0.85,5,13.5,14.4213,1000,2,0,0,0,0
47,808,61,-0.85,5,13.55,14.4681,1000,2,0,0,0,0
48,809,61,-0.85,5,13.6,14.5149,1000,2,0,0,0,0
49,810,61,-0.85,5,13.65,14.5618,1000,2,0,0,0,0
50,811,61,-0.85,5,13.7,14.6086,1000,2,0,0,0,0
51,812,61,-0.85,5,13.75,14.6555,1000,2,0,0,0,0
52,813,61,-0.85,5,13.8,14.7025,1000,2,0,0,0,0
53,814,61,-0.85,5,13.85,14.7494,1000,2,0,0,0,0
54,815,61,-0.85,5,13.9,14.7964,1000,2,0,0,0,0
55,816,61,-0.85,5,13.95,14.8433,1000,2,0,0,0,0
56,817,61,-0.85,5,14,14.8903,1000,2,0,0,0,0
57,818,61,-0.85,5,14.05,14.9374,1000,2,0,0,0,0
58,819,61,-0.85,5,14.1,14.9844,1000,2,0,0,0,0
59,820,61,-0.85,5,14.15,15.0315,1000,2,0,0,0,0
60,821,61,-0.85,5,14.2,15.0785,1000,2,0,0,0,0
61,822,61,-0.85,5,14.25,15.1256,1000,2,0,0,0,0
62,823,61,-0.85,5,14.3,15.1728,1000,2,0,0,0,0
63,824,61,-0.85,5,14.35,15.2199,1000,2,0,0,0,0
64,825,61,-0.85,5,14.4,15.267,1000,2,0,0,0,0
65,826,61,-0.85,5,14.45,15.3142,1000,2,0,0,0,0
66,827,61,-0.85,5,14.5,15.3614,1000,2,0,0,0,0
67,828,61,-0.85,5,14.55,15.4086,1000,2,0,0,0,0
68,829,61,-0.8,5,13.4,14.3248,1000,2,0,0,0,0
69,830,61,-0.8,5,13.45,14.3716,1000,2,0,0,0,0
70,831,61,-0.8,5,13.5,14.4184,1000,2,0,0,0,0
71,832,61,-0.8,5,13.55,14.4652,1000,2,0,0,0,0
72,833,61,-0.8,5,13.6,14.5121,1000,2,0,0,0,0
73,834,61,-0.8,5,13.65,14.5589,1000,2,0,0,0,0
74,835,61,-0.8,5,13.7,14.6058,1000,2,0,0,0,0
75,836,61,-0.8,5,13.75,14.6527,1000,2,0,0,0,0
76,837,61,-0.8,5,13.8,14.6997,1000,2,0,0,0,0
77,838,61,-0.8,5,13.85,14.7466,1000,2,0,0,0,0
78,839,61,-0.8,5,13.9,14.7936,1000,2,0,0,0,0
79,840,61,-0.8,5,13.95,14.8406,1000,2,0,0,0,0
80,841,61,-0.8,5,14,14.8876,1000,2,0,0,0,0
81,842,61,-0.8,5,14.05,14.9346,1000,2,0,0,0,0
82,843,61,-0.8,5,14.1,14.9817,1000,2,0,0,0,0
83,844,61,-0.8,5,14.15,15.0287,1000,2,0,0,0,0
84,845,61,-0.8,5,14.2,15.0758,1000,2,0,0,0,0
85,846,61,-0.8,5,14.25,15.1229,1000,2,0,0,0,0
86,847,61,-0.8,5,14.3,15.17,1000,2,0,0,0,0
87,848,61,-0.8,5,14.35,15.2172,1000,2,0,0,0,0
88,849,61,-0.8,5,14.4,15.2643,1000,2,0,0,0,0
89,850,61,-0.8,5,14.45,15.3115,1000,2,0,0,0,0
90,851,61,-0.8,5,14.5,15.3587,1000,2,0,0,0,0
91,852,61,-0.8,5,14.55,15.4059,1000,2,0,0,0,0
92,853,61,-0.8,5,14.6,15.4532,1000,2,0,0,0,0
93,854,61,-0.75,5,13.3,14.2286,1000,2,0,0,0,0
94,855,61,-0.75,5,13.35,14.2753,1000,2,0,0,0,0
95,856,61,-0.75,5,13.4,14.3221,1000,2,0,0,0,0
96,857,61,-0.75,5,13.45,14.3689,1000,2,0,0,0,0
97,858,61,-0.75,5,13.5,14.4157,1000,2,0,0,0,0
98,859,61,-0.75,5,13.55,14.4625,1000,2,0,0,0,0
99,860,61,-0.75,5,13.6,14.5094,1000,2,0,0,0,0
100,861,61,-0.75,5,13.65,14.5563,1000,2,0,0,0,0
101,862,61,-0.75,5,13.7,14.6032,1000,2,0,0,0,0
102,863,61,-0.75,5,13.75,14.6501,1000,2,0,0,0,0
103,864,61,-0.75,5,13.8,14.697,1000,2,0,0,0,0
104,865,61,-0.75,5,13.85,14.744,1000,2,0,0,0,0
105,866,61,-0.75,5,13.9,14.791,1000,2,0,0,0,0
106,867,61,-0.75,5,13.95,14.838,1000,2,0,0,0,0
107,868,61,-0.75,5,14,14.885,1000,2,0,0,0,0
108,869,61,-0.75,5,14.05,14.932,1000,2,0,0,0,0
109,870,61,-0.75,5,14.1,14.9791,1000,2,0,0,0,0
110,871,61,-0.75,5,14.15,15.0261,1000,2,0,0,0,0
111,872,61,-0.75,5,14.2,15.0732,1000,2,0,0,0,0
112,873,61,-0.75,5,14.25,15.1204,1000,2,0,0,0,0
113,874,61,-0.75,5,14.3,15.1675,1000,2,0,0,0,0
114,875,61,-0.75,5,14.35,15.2146,1000,2,0,0,0,0
