"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,2090,1,4.94999,5,0.049978,7.03597,1018.34,3,0,0,0,0
1,2091,1,4.95,5,0.100001,7.03651,1018.27,3,0,0,0,0
2,2092,1,4.95,5,0.149976,7.0374,1018.21,3,0,0,0,0
3,2093,1,4.94998,5,0.200015,7.03863,1018.15,3,0,0,0,0
4,2094,1,4.94998,5,0.249989,7.04023,1018.09,3,0,0,0,0
5,2095,1,4.95001,5,0.299989,7.0422,1018.02,3,0,0,0,0
6,2096,1,4.94998,5,0.349989,7.04449,1017.96,3,0,0,0,0
7,2097,1,4.95002,5,0.400009,7.04718,1017.9,3,0,0,0,0
8,2098,1,4.95,5,0.450022,7.05018,1017.84,3,0,0,0,0
9,2099,1,4.94998,5,0.49999,7.05353,1017.77,3,0,0,0,0
10,2100,1,4.94999,5,0.55001,7.05726,1017.71,3,0,0,0,0
11,2101,1,4.95001,5,0.599992,7.06135,1017.65,3,0,0,0,0
12,2102,1,4.94998,5,0.65001,7.06575,1017.59,3,0,0,0,0
13,2103,1,4.94998,5,0.699981,7.07052,1017.52,3,0,0,0,0
14,2104,1,4.95,5,0.74998,7.07566,1017.46,3,0,0,0,0
15,2105,1,4.94999,5,0.800004,7.08113,1017.4,3,0,0,0,0
16,2106,1,4.95001,5,0.850022,7.08697,1017.34,3,0,0,0,0
17,2107,1,4.94999,5,0.899984,7.09312,1017.27,3,0,0,0,0
18,2108,1,4.95002,5,0.950006,7.09967,1017.21,3,0,0,0,0
19,2109,1,4.95002,5,1.00002,7.10653,1017.15,3,0,0,0,0
20,2110,1,4.94999,5,1.04998,7.11371,1017.09,3,0,0,0,0
21,2111,1,4.95001,5,1.10002,7.12128,1017.02,3,0,0,0,0
22,2112,1,4.95,5,1.14998,7.12916,1016.96,3,0,0,0,0
23,2113,1,4.95001,5,1.19998,7.13741,1016.9,3,0,0,0,0
24,2114,1,4.95001,5,1.25001,7.14599,1016.83,3,0,0,0,0
25,2115,1,4.95002,5,1.3,7.15491,1016.77,3,0,0,0,0
26,2116,1,4.94999,5,1.35,7.16414,1016.71,3,0,0,0,0
27,2117,1,4.94998,5,1.39998,7.17372,1016.65,3,0,0,0,0
28,2118,1,4.94999,5,1.44998,7.18366,1016.58,3,0,0,0,0
29,2119,1,4.94998,5,1.5,7.1939,1016.52,3,0,0,0,0
30,2120,1,4.95001,5,1.54998,7.20451,1016.46,3,0,0,0,0
31,2121,1,4.95001,5,1.59998,7.21543,1016.39,3,0,0,0,0
32,2122,1,4.94998,5,1.65,7.22667,1016.33,3,0,0,0,0
33,2123,1,4.95002,5,1.69998,7.23827,1016.27,3,0,0,0,0
34,2124,1,4.94998,5,1.74998,7.25015,1016.2,3,0,0,0,0
35,2125,1,4.95,5,1.79998,7.2624,1016.14,3,0,0,0,0
36,2126,1,4.94999,5,1.85001,7.27495,1016.08,3,0,0,0,0
37,2127,1,4.95,5,1.90002,7.28784,1016.02,3,0,0,0,0
38,2128,1,4.94998,5,1.95,7.30102,1015.95,3,0,0,0,0
39,2129,1,4.95,5,1.99998,7.31454,1015.89,3,0,0,0,0
40,2130,1,4.94998,5,2.05001,7.32836,1015.83,3,0,0,0,0
41,2131,1,4.94999,5,2.10002,7.34251,1015.76,3,0,0,0,0
42,2132,1,4.94998,5,2.15001,7.35696,1015.7,3,0,0,0,0
43,2133,1,4.95001,5,2.20001,7.37174,1015.64,3,0,0,0,0
44,2134,1,4.95,5,2.25001,7.38682,1015.57,3,0,0,0,0
45,2135,1,4.94999,5,2.3,7.40219,1015.51,3,0,0,0,0
46,2136,1,4.95,5,2.34999,7.41788,1015.45,3,0,0,0,0
47,2137,1,4.94998,5,2.39999,7.43386,1015.38,3,0,0,0,0
48,2138,1,4.94998,5,2.45002,7.45016,1015.32,3,0,0,0,0
49,2139,1,4.94998,5,2.50002,7.46675,1015.26,3,0,0,0,0
50,2140,1,4.94998,5,2.55002,7.48364,1015.19,3,0,0,0,0
51,2141,1,4.95001,5,2.6,7.50084,1015.13,3,0,0,0,0
52,2142,1,4.95001,5,2.65001,7.51832,1015.07,3,0,0,0,0
53,2143,1,4.95,5,2.69998,7.53607,1015,3,0,0,0,0
54,2144,1,4.95002,5,2.74999,7.55414,1014.94,3,0,0,0,0
55,2145,1,4.95,5,2.79999,7.57248,1014.88,3,0,0,0,0
56,2146,1,4.94998,5,2.85002,7.5911,1014.81,3,0,0,0,0
57,2147,1,4.95001,5,2.90001,7.61004,1014.75,3,0,0,0,0
58,2148,1,4.94999,5,2.94998,7.6292,1014.68,3,0,0,0,0
59,2149,1,4.94999,5,3.00002,7.6487,1014.62,3,0,0,0,0
60,2150,1,4.94998,5,3.05001,7.66843,1014.56,3,0,0,0,0
61,2151,1,4.94999,5,3.09999,7.68845,1014.49,3,0,0,0,0
62,2152,1,4.94998,5,3.14999,7.70874,1014.43,3,0,0,0,0
63,2153,1,4.95002,5,3.19999,7.72933,1014.37,3,0,0,0,0
64,2154,1,4.95,5,3.25,7.75016,1014.3,3,0,0,0,0
65,2155,1,4.94998,5,3.29999,7.77124,1014.24,3,0,0,0,0
66,2156,1,4.95001,5,3.34999,7.79263,1014.17,3,0,0,0,0
67,2157,1,4.94998,5,3.40001,7.81424,1014.11,3,0,0,0,0
68,2158,1,4.95001,5,3.45002,7.83615,1014.05,3,0,0,0,0
69,2159,1,4.95002,5,3.49998,7.85828,1013.98,3,0,0,0,0
70,2160,1,4.95,5,3.55002,7.88068,1013.92,3,0,0,0,0
71,2161,1,4.95001,5,3.59998,7.90332,1013.86,3,0,0,0,0
72,2162,1,4.94998,5,3.64998,7.9262,1013.79,3,0,0,0,0
73,2163,1,4.95,5,3.70001,7.94938,1013.73,3,0,0,0,0
74,2164,1,4.94998,5,3.75001,7.97276,1013.66,3,0,0,0,0
75,2165,1,4.95,5,3.80002,7.99641,1013.6,3,0,0,0,0
76,2166,1,4.95002,5,3.84999,8.02029,1013.54,3,0,0,0,0
77,2167,1,4.95001,5,3.9,8.04441,1013.47,3,0,0,0,0
78,2168,1,4.94998,5,3.94999,8.06875,1013.41,3,0,0,0,0
79,2169,1,4.95002,5,4.00001,8.09338,1013.34,3,0,0,0,0
80,2170,1,4.94998,5,4.05002,8.11819,1013.28,3,0,0,0,0
81,2171,1,4.94998,5,4.10001,8.14324,1013.21,3,0,0,0,0
82,2172,1,4.94999,5,4.15,8.16853,1013.15,3,0,0,0,0
83,2173,1,4.95002,5,4.2,8.19406,1013.09,3,0,0,0,0
