"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,0,30,-5,5,0,7.07107,1000,0,0,0,0,0
1,1,30,-4.975,5,0,7.05341,1000,0,0,0,0,0
2,2,30,-4.95,5,0,7.0358,1000,0,0,0,0,0
3,3,30,-4.925,5,0,7.01824,1000,0,0,0,0,0
4,4,30,-4.9,5,0,7.00071,1000,0,0,0,0,0
5,5,30,-4.875,5,0,6.98324,1000,0,0,0,0,0
6,6,30,-4.85,5,0,6.96581,1000,0,0,0,0,0
7,7,30,-4.825,5,0,6.94843,1000,0,0,0,0,0
8,8,30,-4.8,5,0,6.93109,1000,0,0,0,0,0
9,9,30,-4.775,5,0,6.9138,1000,0,0,0,0,0
10,10,30,-4.75,5,0,6.89656,1000,0,0,0,0,0
11,11,30,-4.725,5,0,6.87936,1000,0,0,0,0,0
12,12,30,-4.7,5,0,6.86222,1000,0,0,0,0,0
13,13,30,-4.675,5,0,6.84512,1000,0,0,0,0,0
14,14,30,-4.65,5,0,6.82807,1000,0,0,0,0,0
15,15,30,-4.625,5,0,6.81107,1000,0,0,0,0,0
16,16,30,-4.6,5,0,6.79412,1000,0,0,0,0,0
17,17,30,-4.575,5,0,6.77721,1000,0,0,0,0,0
18,18,30,-4.55,5,0,6.76036,1000,0,0,0,0,0
19,19,30,-4.525,5,0,6.74356,1000,0,0,0,0,0
20,20,30,-4.5,5,0,6.72681,1000,0,0,0,0,0
21,21,30,-4.475,5,0,6.71011,1000,0,0,0,0,0
22,22,30,-4.45,5,0,6.69347,1000,0,0,0,0,0
23,23,30,-4.425,5,0,6.67687,1000,0,0,0,0,0
24,24,30,-4.4,5,0,6.66033,1000,0,0,0,0,0
25,25,30,-4.375,5,0,6.64384,1000,0,0,0,0,0
26,26,30,-4.35,5,0,6.62741,1000,0,0,0,0,0
27,27,30,-4.325,5,0,6.61102,1000,0,0,0,0,0
28,28,30,-4.3,5,0,6.5947,1000,0,0,0,0,0
