"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,0,30,-5,5,0,7.07107,1000,0,0,0,0,0
1,1,30,-5,5,0.05,7.07124,1000,0,0,0,0,0
2,2,30,-5,5,0.1,7.07177,1000,0,0,0,0,0
3,3,30,-5,5,0.15,7.07266,1000,0,0,0,0,0
4,4,30,-5,5,0.2,7.0739,1000,0,0,0,0,0
5,5,30,-5,5,0.25,7.07549,1000,0,0,0,0,0
6,6,30,-5,5,0.3,7.07743,1000,0,0,0,0,0
7,7,30,-5,5,0.35,7.07972,1000,0,0,0,0,0
8,8,30,-5,5,0.4,7.08237,1000,0,0,0,0,0
9,9,30,-5,5,0.45,7.08537,1000,0,0,0,0,0
10,10,30,-5,5,0.5,7.08872,1000,0,0,0,0,0
11,11,30,-5,5,0.55,7.09243,1000,0,0,0,0,0
12,12,30,-5,5,0.6,7.09648,1000,0,0,0,0,0
13,13,30,-5,5,0.65,7.10088,1000,0,0,0,0,0
14,14,30,-5,5,0.7,7.10563,1000,0,0,0,0,0
15,15,30,-5,5,0.75,7.11073,1000,0,0,0,0,0
16,16,30,-5,5,0.8,7.11618,1000,0,0,0,0,0
17,17,30,-5,5,0.85,7.12197,1000,0,0,0,0,0
18,18,30,-5,5,0.9,7.12811,1000,0,0,0,0,0
19,19,30,-5,5,0.95,7.1346,1000,0,0,0,0,0
20,20,30,-5,5,1,7.14143,1000,0,0,0,0,0
21,21,30,-5,5,1.05,7.1486,1000,0,0,0,0,0
22,22,30,-5,5,1.1,7.15612,1000,0,0,0,0,0
23,23,30,-5,5,1.15,7.16397,1000,0,0,0,0,0
24,24,30,-5,5,1.2,7.17217,1000,0,0,0,0,0
25,25,30,-5,5,1.25,7.1807,1000,0,0,0,0,0
26,26,30,-5,5,1.3,7.18958,1000,0,0,0,0,0
27,27,30,-5,5,1.35,7.19878,1000,0,0,0,0,0
28,28,30,-5,5,1.4,7.20833,1000,0,0,0,0,0
29,29,30,-5,5,1.45,7.21821,1000,0,0,0,0,0
30,30,30,-5,5,1.5,7.22842,1000,0,0,0,0,0
31,31,30,-5,5,1.55,7.23896,1000,0,0,0,0,0
32,32,30,-5,5,1.6,7.24983,1000,0,0,0,0,0
33,33,30,-5,5,1.65,7.26103,1000,0,0,0,0,0
34,34,30,-5,5,1.7,7.27255,1000,0,0,0,0,0
35,35,30,-5,5,1.75,7.2844,1000,0,0,0,0,0
36,36,30,-5,5,1.8,7.29657,1000,0,0,0,0,0
37,37,30,-5,5,1.85,7.30907,1000,0,0,0,0,0
38,38,30,-5,5,1.9,7.32189,1000,0,0,0,0,0
39,39,30,-5,5,1.95,7.33502,1000,0,0,0,0,0
40,40,30,-5,5,2,7.34847,1000,0,0,0,0,0
41,41,30,-5,5,2.05,7.36223,1000,0,0,0,0,0
42,42,30,-5,5,2.1,7.37631,1000,0,0,0,0,0
43,43,30,-5,5,2.15,7.3907,1000,0,0,0,0,0
44,44,30,-5,5,2.2,7.4054,1000,0,0,0,0,0
45,45,30,-5,5,2.25,7.42041,1000,0,0,0,0,0
46,46,30,-5,5,2.3,7.43572,1000,0,0,0,0,0
47,47,30,-5,5,2.35,7.45134,1000,0,0,0,0,0
48,48,30,-5,5,2.4,7.46726,1000,0,0,0,0,0
49,49,30,-5,5,2.45,7.48348,1000,0,0,0,0,0
50,50,30,-5,5,2.5,7.5,1000,0,0,0,0,0
51,51,30,-5,5,2.55,7.51681,1000,0,0,0,0,0
52,52,30,-5,5,2.6,7.53392,1000,0,0,0,0,0
53,53,30,-5,5,2.65,7.55132,1000,0,0,0,0,0
54,54,30,-5,5,2.7,7.56902,1000,0,0,0,0,0
55,55,30,-5,5,2.75,7.587,1000,0,0,0,0,0
56,56,30,-5,5,2.8,7.60526,1000,0,0,0,0,0
57,57,30,-5,5,2.85,7.62381,1000,0,0,0,0,0
58,58,30,-5,5,2.9,7.64264,1000,0,0,0,0,0
59,59,30,-5,5,2.95,7.66176,1000,0,0,0,0,0
60,60,30,-5,5,3,7.68115,1000,0,0,0,0,0
61,61,30,-5,5,3.05,7.70081,1000,0,0,0,0,0
62,62,30,-5,5,3.1,7.72075,1000,0,0,0,0,0
63,63,30,-5,5,3.15,7.74096,1000,0,0,0,0,0
64,64,30,-5,5,3.2,7.76144,1000,0,0,0,0,0
65,65,30,-5,5,3.25,7.78219,1000,0,0,0,0,0
66,66,30,-5,5,3.3,7.8032,1000,0,0,0,0,0
67,67,30,-5,5,3.35,7.82448,1000,0,0,0,0,0
68,68,30,-5,5,3.4,7.84602,1000,0,0,0,0,0
69,69,30,-5,5,3.45,7.86781,1000,0,0,0,0,0
70,70,30,-5,5,3.5,7.88987,1000,0,0,0,0,0
71,71,30,-5,5,3.55,7.91217,1000,0,0,0,0,0
72,72,30,-5,5,3.6,7.93473,1000,0,0,0,0,0
73,73,30,-5,5,3.65,7.95754,1000,0,0,0,0,0
74,74,30,-5,5,3.7,7.9806,1000,0,0,0,0,0
75,75,30,-5,5,3.75,8.00391,1000,0,0,0,0,0
76,76,30,-5,5,3.8,8.02745,1000,0,0,0,0,0
77,77,30,-5,5,3.85,8.05124,1000,0,0,0,0,0
78,78,30,-5,5,3.9,8.07527,1000,0,0,0,0,0
79,79,30,-5,5,3.95,8.09954,1000,0,0,0,0,0
80,80,30,-5,5,4,8.12404,1000,0,0,0,0,0
81,81,30,-5,5,4.05,8.14877,1000,0,0,0,0,0
82,82,30,-5,5,4.1,8.17374,1000,0,0,0,0,0
83,83,30,-5,5,4.15,8.19893,1000,0,0,0,0,0
84,84,30,-5,5,4.2,8.22435,1000,0,0,0,0,0
85,85,30,-5,5,4.25,8.25,1000,0,0,0,0,0
86,86,30,-5,5,4.3,8.27587,1000,0,0,0,0,0
87,87,30,-5,5,4.35,8.30196,1000,0,0,0,0,0
88,88,30,-5,5,4.4,8.32827,1000,0,0,0,0,0
89,89,30,-5,5,4.45,8.35479,1000,0,0,0,0,0
90,90,30,-5,5,4.5,8.38153,1000,0,0,0,0,0
91,91,30,-5,5,4.55,8.40848,1000,0,0,0,0,0
92,92,30,-5,5,4.6,8.43564,1000,0,0,0,0,0
93,93,30,-5,5,4.65,8.46301,1000,0,0,0,0,0
94,94,30,-5,5,4.7,8.49058,1000,0,0,0,0,0
95,95,30,-5,5,4.75,8.51836,1000,0,0,0,0,0
96,96,30,-5,5,4.8,8.54634,1000,0,0,0,0,0
97,97,30,-5,5,4.85,8.57453,1000,0,0,0,0,0
98,98,30,-5,5,4.9,8.60291,1000,0,0,0,0,0
99,99,30,-5,5,4.95,8.63148,1000,0,0,0,0,0
100,100,30,-5,5,5,8.66025,1000,0,0,0,0,0
101,101,30,-5,5,5.05,8.68922,1000,0,0,0,0,0
102,102,30,-5,5,5.1,8.71837,1000,0,0,0,0,0
103,103,30,-5,5,5.15,8.74771,1000,0,0,0,0,0
104,104,30,-5,5,5.2,8.77724,1000,0,0,0,0,0
105,105,30,-5,5,5.25,8.80696,1000,0,0,0,0,0
106,106,30,-5,5,5.3,8.83685,1000,0,0,0,0,0
107,107,30,-5,5,5.35,8.86693,1000,0,0,0,0,0
108,108,30,-5,5,5.4,8.89719,1000,0,0,0,0,0
109,109,30,-5,5,5.45,8.92763,1000,0,0,0,0,0
110,110,30,-5,5,5.5,8.95824,1000,0,0,0,0,0
111,111,30,-5,5,5.55,8.98902,1000,0,0,0,0,0
112,112,30,-5,5,5.6,9.01998,1000,0,0,0,0,0
113,113,30,-5,5,5.65,9.0511,1000,0,0,0,0,0
114,114,30,-5,5,5.7,9.0824,1000,0,0,0,0,0
115,115,30,-5,5,5.75,9.11386,1000,0,0,0,0,0
116,116,30,-5,5,5.8,9.14549,1000,0,0,0,0,0
117,117,30,-5,5,5.85,9.17728,1000,0,0,0,0,0
118,118,30,-5,5,5.9,9.20923,1000,0,0,0,0,0
119,119,30,-5,5,5.95,9.24135,1000,0,0,0,0,0
120,120,30,-5,5,6,9.27362,1000,0,0,0,0,0
121,121,30,-5,5,6.05,9.30605,1000,0,0,0,0,0
122,122,30,-5,5,6.1,9.33863,1000,0,0,0,0,0
123,123,30,-5,5,6.15,9.37137,1000,0,0,0,0,0
124,124,30,-5,5,6.2,9.40425,1000,0,0,0,0,0
125,125,30,-5,5,6.25,9.43729,1000,0,0,0,0,0
126,126,30,-5,5,6.3,9.47048,1000,0,0,0,0,0
127,127,30,-5,5,6.35,9.50381,1000,0,0,0,0,0
128,128,30,-5,5,6.4,9.5373,1000,0,0,0,0,0
129,129,30,-5,5,6.45,9.57092,1000,0,0,0,0,0
130,130,30,-5,5,6.5,9.60469,1000,0,0,0,0,0
131,131,30,-5,5,6.55,9.63859,1000,0,0,0,0,0
132,132,30,-5,5,6.6,9.67264,1000,0,0,0,0,0
133,133,30,-5,5,6.65,9.70683,1000,0,0,0,0,0
134,134,30,-5,5,6.7,9.74115,1000,0,0,0,0,0
135,135,30,-5,5,6.75,9.77561,1000,0,0,0,0,0
136,136,30,-5,5,6.8,9.8102,1000,0,0,0,0,0
137,137,30,-5,5,6.85,9.84492,1000,0,0,0,0,0
138,138,30,-5,5,6.9,9.87978,1000,0,0,0,0,0
139,139,30,-5,5,6.95,9.91476,1000,0,0,0,0,0
140,140,30,-5,5,7,9.94987,1000,0,0,0,0,0
141,141,30,-5,5,7.05,9.98511,1000,0,0,0,0,0
142,142,30,-5,5,7.1,10.0205,1000,0,0,0,0,0
143,143,30,-5,5,7.15,10.056,1000,0,0,0,0,0
144,144,30,-5,5,7.2,10.0916,1000,0,0,0,0,0
145,145,30,-5,5,7.25,10.1273,1000,0,0,0,0,0
146,146,30,-5,5,7.3,10.1632,1000,0,0,0,0,0
147,147,30,-5,5,7.35,10.1991,1000,0,0,0,0,0
148,148,30,-5,5,7.4,10.2352,1000,0,0,0,0,0
149,149,30,-5,5,7.45,10.2714,1000,0,0,0,0,0
150,150,30,-5,5,7.5,10.3078,1000,0,0,0,0,0
151,151,30,-5,5,7.55,10.3442,1000,0,0,0,0,0
152,152,30,-5,5,7.6,10.3808,1000,0,0,0,0,0
153,153,30,-5,5,7.65,10.4174,1000,0,0,0,0,0
154,154,30,-5,5,7.7,10.4542,1000,0,0,0,0,0
155,155,30,-5,5,7.75,10.4911,1000,0,0,0,0,0
156,156,30,-5,5,7.8,10.5281,1000,0,0,0,0,0
157,157,30,-5,5,7.85,10.5652,1000,0,0,0,0,0
158,158,30,-5,5,7.9,10.6024,1000,0,0,0,0,0
159,159,30,-5,5,7.95,10.6397,1000,0,0,0,0,0
160,160,30,-5,5,8,10.6771,1000,0,0,0,0,0
161,161,30,-5,5,8.05,10.7146,1000,0,0,0,0,0
162,162,30,-5,5,8.1,10.7522,1000,0,0,0,0,0
163,163,30,-5,5,8.15,10.7899,1000,0,0,0,0,0
164,164,30,-5,5,8.2,10.8277,1000,0,0,0,0,0
165,165,30,-5,5,8.25,10.8657,1000,0,0,0,0,0
166,166,30,-5,5,8.3,10.9037,1000,0,0,0,0,0
167,167,30,-5,5,8.35,10.9418,1000,0,0,0,0,0
168,168,30,-5,5,8.4,10.98,1000,0,0,0,0,0
169,169,30,-5,5,8.45,11.0183,1000,0,0,0,0,0
170,170,30,-5,5,8.5,11.0567,1000,0,0,0,0,0
171,171,30,-5,5,8.55,11.0952,1000,0,0,0,0,0
172,172,30,-5,5,8.6,11.1337,1000,0,0,0,0,0
173,173,30,-5,5,8.65,11.1724,1000,0,0,0,0,0
174,174,30,-5,5,8.7,11.2112,1000,0,0,0,0,0
175,175,30,-5,5,8.75,11.25,1000,0,0,0,0,0
176,176,30,-5,5,8.8,11.2889,1000,0,0,0,0,0
177,177,30,-5,5,8.85,11.328,1000,0,0,0,0,0
178,178,30,-5,5,8.9,11.3671,1000,0,0,0,0,0
179,179,30,-5,5,8.95,11.4062,1000,0,0,0,0,0
180,180,30,-5,5,9,11.4455,1000,0,0,0,0,0
181,181,30,-5,5,9.05,11.4849,1000,0,0,0,0,0
182,182,30,-5,5,9.1,11.5243,1000,0,0,0,0,0
183,183,30,-5,5,9.15,11.5638,1000,0,0,0,0,0
184,184,30,-5,5,9.2,11.6034,1000,0,0,0,0,0
185,185,30,-5,5,9.25,11.6431,1000,0,0,0,0,0
186,186,30,-5,5,9.3,11.6829,1000,0,0,0,0,0
187,187,30,-5,5,9.35,11.7227,1000,0,0,0,0,0
188,188,30,-5,5,9.4,11.7627,1000,0,0,0,0,0
189,189,30,-5,5,9.45,11.8026,1000,0,0,0,0,0
190,190,30,-5,5,9.5,11.8427,1000,0,0,0,0,0
191,191,30,-5,5,9.55,11.8829,1000,0,0,0,0,0
192,192,30,-5,5,9.6,11.9231,1000,0,0,0,0,0
193,193,30,-5,5,9.65,11.9634,1000,0,0,0,0,0
194,194,30,-5,5,9.7,12.0037,1000,0,0,0,0,0
195,195,30,-5,5,9.75,12.0442,1000,0,0,0,0,0
196,196,30,-5,5,9.8,12.0847,1000,0,0,0,0,0
197,197,30,-5,5,9.85,12.1253,1000,0,0,0,0,0
198,198,30,-5,5,9.9,12.1659,1000,0,0,0,0,0
199,199,30,-5,5,9.95,12.2067,1000,0,0,0,0,0
200,200,30,-5,5,10,12.2474,1000,0,0,0,0,0
201,201,30,-5,5,10.05,12.2883,1000,0,0,0,0,0
202,202,30,-5,5,10.1,12.3292,1000,0,0,0,0,0
203,203,30,-5,5,10.15,12.3702,1000,0,0,0,0,0
204,204,30,-5,5,10.2,12.4113,1000,0,0,0,0,0
205,205,30,-5,5,10.25,12.4524,1000,0,0,0,0,0
206,206,30,-5,5,10.3,12.4936,1000,0,0,0,0,0
207,207,30,-5,5,10.35,12.5349,1000,0,0,0,0,0
208,208,30,-5,5,10.4,12.5762,1000,0,0,0,0,0
209,209,30,-5,5,10.45,12.6175,1000,0,0,0,0,0
210,210,30,-5,5,10.5,12.659,1000,0,0,0,0,0
211,211,30,-5,5,10.55,12.7005,1000,0,0,0,0,0
212,212,30,-5,5,10.6,12.7421,1000,0,0,0,0,0
213,213,30,-5,5,10.65,12.7837,1000,0,0,0,0,0
214,214,30,-5,5,10.7,12.8254,1000,0,0,0,0,0
215,215,30,-5,5,10.75,12.8671,1000,0,0,0,0,0
216,216,30,-5,5,10.8,12.9089,1000,0,0,0,0,0
217,217,30,-5,5,10.85,12.9508,1000,0,0,0,0,0
218,218,30,-5,5,10.9,12.9927,1000,0,0,0,0,0
219,219,30,-5,5,10.95,13.0347,1000,0,0,0,0,0
220,220,30,-5,5,11,13.0767,1000,0,0,0,0,0
221,221,30,-5,5,11.05,13.1188,1000,0,0,0,0,0
222,222,30,-5,5,11.1,13.1609,1000,0,0,0,0,0
223,223,30,-5,5,11.15,13.2031,1000,0,0,0,0,0
224,224,30,-5,5,11.2,13.2454,1000,0,0,0,0,0
225,225,30,-5,5,11.25,13.2877,1000,0,0,0,0,0
226,226,30,-5,5,11.3,13.33,1000,0,0,0,0,0
227,227,30,-5,5,11.35,13.3725,1000,0,0,0,0,0
228,228,30,-5,5,11.4,13.4149,1000,0,0,0,0,0
229,229,30,-5,5,11.45,13.4574,1000,0,0,0,0,0
230,230,30,-5,5,11.5,13.5,1000,0,0,0,0,0
231,231,30,-5,5,11.55,13.5426,1000,0,0,0,0,0
232,232,30,-5,5,11.6,13.5853,1000,0,0,0,0,0
233,233,30,-5,5,11.65,13.628,1000,0,0,0,0,0
234,234,30,-5,5,11.7,13.6708,1000,0,0,0,0,0
235,235,30,-5,5,11.75,13.7136,1000,0,0,0,0,0
236,236,30,-5,5,11.8,13.7565,1000,0,0,0,0,0
237,237,30,-5,5,11.85,13.7994,1000,0,0,0,0,0
238,238,30,-5,5,11.9,13.8423,1000,0,0,0,0,0
239,239,30,-5,5,11.95,13.8853,1000,0,0,0,0,0
240,240,30,-5,5,12,13.9284,1000,0,0,0,0,0
241,241,30,-5,5,12.05,13.9715,1000,0,0,0,0,0
242,242,30,-5,5,12.1,14.0146,1000,0,0,0,0,0
243,243,30,-5,5,12.15,14.0578,1000,0,0,0,0,0
244,244,30,-5,5,12.2,14.1011,1000,0,0,0,0,0
245,245,30,-5,5,12.25,14.1443,1000,0,0,0,0,0
246,246,30,-5,5,12.3,14.1877,1000,0,0,0,0,0
247,247,30,-5,5,12.35,14.231,1000,0,0,0,0,0
248,248,30,-5,5,12.4,14.2745,1000,0,0,0,0,0
249,249,30,-5,5,12.45,14.3179,1000,0,0,0,0,0
250,250,30,-5,5,12.5,14.3614,1000,0,0,0,0,0
251,251,30,-5,5,12.55,14.4049,1000,0,0,0,0,0
252,252,30,-5,5,12.6,14.4485,1000,0,0,0,0,0
253,253,30,-5,5,12.65,14.4922,1000,0,0,0,0,0
254,254,30,-5,5,12.7,14.5358,1000,0,0,0,0,0
255,255,30,-5,5,12.75,14.5795,1000,0,0,0,0,0
256,256,30,-5,5,12.8,14.6233,1000,0,0,0,0,0
257,257,30,-5,5,12.85,14.6671,1000,0,0,0,0,0
258,258,30,-5,5,12.9,14.7109,1000,0,0,0,0,0
259,259,30,-5,5,12.95,14.7547,1000,0,0,0,0,0
260,260,30,-5,5,13,14.7986,1000,0,0,0,0,0
261,261,30,-5,5,13.05,14.8426,1000,0,0,0,0,0
262,262,30,-5,5,13.1,14.8866,1000,0,0,0,0,0
263,263,30,-5,5,13.15,14.9306,1000,0,0,0,0,0
264,264,30,-5,5,13.2,14.9746,1000,0,0,0,0,0
265,265,30,-5,5,13.25,15.0187,1000,0,0,0,0,0
266,266,30,-5,5,13.3,15.0629,1000,0,0,0,0,0
267,267,30,-5,5,13.35,15.107,1000,0,0,0,0,0
268,268,30,-5,5,13.4,15.1512,1000,0,0,0,0,0
269,269,30,-5,5,13.45,15.1955,1000,0,0,0,0,0
270,270,30,-5,5,13.5,15.2398,1000,0,0,0,0,0
