"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.12,0,0.12,0.16971,-0.06,0,-0.06
1,10,0.12,0,0.08,0.14422,-0.06,0,-0.04
2,10,0.12,0,0.04,0.12649,-0.06,0,-0.02
3,10,0.12,0,0,0.12,-0.06,0,0
4,10,0.12,0,0,0.12,-0.06,0,0.02
5,10,0.12,0,0,0.12,-0.06,0,0.04
6,10,0.12,0,0,0.12,-0.06,0,0.06
7,10,0.12,0,0,0.12,-0.06,0,0.08
8,10,0.12,0,0,0.12,-0.06,0,0.1
9,10,0.12,0,0,0.12,-0.06,0,0.12
10,10,0.12,0,0,0.12,-0.06,0,0.14
11,10,0.12,0,0,0.12,-0.06,0,0.16
12,10,0.12,0,0,0.12,-0.06,0,0.18
13,10,0.12,0,0,0.12,-0.06,0,0.2
14,10,0.12,0,0,0.12,-0.06,0,0.22
15,10,0.12,0,0,0.12,-0.06,0,0.24
16,10,0.12,0,0,0.12,-0.06,0,0.26
17,10,0.12,0,0,0.12,-0.06,0,0.28
18,10,0.12,0,0,0.12,-0.06,0,0.3
19,10,0.12,0,0,0.12,-0.06,0,0.32
20,10,0.12,0,0,0.12,-0.06,0,0.34
21,10,0.12,0,0,0.12,-0.06,0,0.36
22,10,0.12,0,0,0.12,-0.06,0,0.38
23,10,0.12,0,0,0.12,-0.06,0,0.4
24,10,0.12,0,0,0.12,-0.06,0,0.42
25,10,0.12,0,0,0.12,-0.06,0,0.44
26,10,0.12,0,0,0.12,-0.06,0,0.46
27,10,0.12,0,0,0.12,-0.06,0,0.48
28,10,0.12,0,0,0.12,-0.06,0,0.5
29,10,0.12,0,0,0.12,-0.06,0,0.52
30,10,0.12,0,0,0.12,-0.06,0,0.54
31,10,0.12,0,0,0.12,-0.06,0,0.56
32,10,0.12,0,0,0.12,-0.06,0,0.58
33,10,0.12,0,0,0.12,-0.06,0,0.6
34,10,0.12,0,0,0.12,-0.06,0,0.62
35,10,0.12,0,0,0.12,-0.06,0,0.64
36,10,0.12,0,0,0.12,-0.06,0,0.66
37,10,0.12,0,0,0.12,-0.06,0,0.68
38,10,0.12,0,0,0.12,-0.06,0,0.7
39,10,0.12,0,0,0.12,-0.06,0,0.72
40,10,0.12,0,0,0.12,-0.06,0,0.74
41,10,0.12,0,0,0.12,-0.06,0,0.76
42,10,0.12,0,0,0.12,-0.06,0,0.78
43,10,0.12,0,0,0.12,-0.06,0,0.8
44,10,0.12,0,0,0.12,-0.06,0,0.82
