"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,0,1,-0.02,0.0,0.0,0.02,1000.0,2,0.0,0.0,0.0,0.0
1,1,1,-0.01,0.0,0.0,0.01,1000.0,2,0.0,0.0,0.0,0.0
2,2,1,0.0,0.0,0.0,0.0,1000.0,2,0.0,0.0,0.0,0.0
3,3,1,0.01,0.0,0.0,0.01,1000.0,2,0.0,0.0,0.0,0.0
4,4,1,0.02,0.0,0.0,0.02,1000.0,2,0.0,0.0,0.0,0.0
5,5,1,0.03,0.0,0.0,0.03,1000.0,2,0.0,0.0,0.0,0.0
6,6,1,0.04,0.0,0.0,0.04,1000.0,2,0.0,0.0,0.0,0.0
7,7,1,0.05,0.0,0.0,0.05,1000.0,2,0.0,0.0,0.0,0.0
8,8,1,0.06,0.0,0.0,0.06,1000.0,2,0.0,0.0,0.0,0.0
9,9,1,0.07,0.0,0.0,0.07,1000.0,2,0.0,0.0,0.0,0.0
10,10,1,0.08,0.0,0.0,0.08,1000.0,2,0.0,0.0,0.0,0.0
11,11,1,0.09,0.0,0.0,0.09,1000.0,2,0.0,0.0,0.0,0.0
12,12,1,0.1,0.0,0.0,0.1,1000.0,2,0.0,0.0,0.0,0.0
13,13,1,0.11,0.0,0.0,0.11,1000.0,2,0.0,0.0,0.0,0.0
14,14,1,0.12,0.0,0.0,0.12,1000.0,2,0.0,0.0,0.0,0.0
15,15,1,0.13,0.0,0.0,0.13,1000.0,2,0.0,0.0,0.0,0.0
16,16,1,0.14,0.0,0.0,0.14,1000.0,2,0.0,0.0,0.0,0.0
17,17,1,0.15,0.0,0.0,0.15,1000.0,2,0.0,0.0,0.0,0.0
18,18,1,0.16,0.0,0.0,0.16,1000.0,2,0.0,0.0,0.0,0.0
19,19,1,0.17,0.0,0.0,0.17,1000.0,2,0.0,0.0,0.0,0.0
20,20,1,0.18,0.0,0.0,0.18,1000.0,2,0.0,0.0,0.0,0.0
21,21,1,0.19,0.0,0.0,0.19,1000.0,2,0.0,0.0,0.0,0.0
22,22,1,0.2,0.0,0.0,0.2,1000.0,2,0.0,0.0,0.0,0.0
23,23,1,0.21,0.0,0.0,0.21,1000.0,2,0.0,0.0,0.0,0.0
24,24,1,0.22,0.0,0.0,0.22,1000.0,2,0.0,0.0,0.0,0.0
25,25,1,0.23,0.0,0.0,0.23,1000.0,2,0.0,0.0,0.0,0.0
26,26,1,0.24,0.0,0.0,0.24,1000.0,2,0.0,0.0,0.0,0.0
27,27,1,0.25,0.0,0.0,0.25,1000.0,2,0.0,0.0,0.0,0.0
28,28,1,0.26,0.0,0.0,0.26,1000.0,2,0.0,0.0,0.0,0.0
29,29,1,0.27,0.0,0.0,0.27,1000.0,2,0.0,0.0,0.0,0.0
30,30,1,0.28,0.0,0.0,0.28,1000.0,2,0.0,0.0,0.0,0.0
31,31,1,0.29,0.0,0.0,0.29,1000.0,2,0.0,0.0,0.0,0.0
32,32,1,0.3,0.0,0.0,0.3,1000.0,2,0.0,0.0,0.0,0.0
33,33,1,0.31,0.0,0.0,0.31,1000.0,2,0.0,0.0,0.0,0.0
34,34,1,0.32,0.0,0.0,0.32,1000.0,2,0.0,0.0,0.0,0.0
35,35,1,0.33,0.0,0.0,0.33,1000.0,2,0.0,0.0,0.0,0.0
36,36,1,0.34,0.0,0.0,0.34,1000.0,2,0.0,0.0,0.0,0.0
37,37,1,0.35,0.0,0.0,0.35,1000.0,2,0.0,0.0,0.0,0.0
38,38,1,0.36,0.0,0.0,0.36,1000.0,2,0.0,0.0,0.0,0.0
39,39,1,0.37,0.0,0.0,0.37,1000.0,2,0.0,0.0,0.0,0.0
40,40,1,0.38,0.0,0.0,0.38,1000.0,2,0.0,0.0,0.0,0.0
41,41,1,0.39,0.0,0.0,0.39,1000.0,2,0.0,0.0,0.0,0.0
42,42,1,0.4,0.0,0.0,0.4,1000.0,2,0.0,0.0,0.0,0.0
43,43,1,0.41,0.0,0.0,0.41,1000.0,2,0.0,0.0,0.0,0.0
44,44,1,0.42,0.0,0.0,0.42,1000.0,2,0.0,0.0,0.0,0.0
45,45,1,0.43,0.0,0.0,0.43,1000.0,2,0.0,0.0,0.0,0.0
46,46,1,0.44,0.0,0.0,0.44,1000.0,2,0.0,0.0,0.0,0.0
47,47,1,0.45,0.0,0.0,0.45,1000.0,2,0.0,0.0,0.0,0.0
48,48,1,0.46,0.0,0.0,0.46,1000.0,2,0.0,0.0,0.0,0.0
49,49,1,0.47,0.0,0.0,0.47,1000.0,2,0.0,0.0,0.0,0.0
50,50,1,0.48,0.0,0.0,0.48,1000.0,2,0.0,0.0,0.0,0.0
51,51,1,0.49,0.0,0.0,0.49,1000.0,2,0.0,0.0,0.0,0.0
52,52,1,0.5,0.0,0.0,0.5,1000.0,2,0.0,0.0,0.0,0.0
53,53,1,0.51,0.0,0.0,0.51,1000.0,2,0.0,0.0,0.0,0.0
54,54,1,0.52,0.0,0.0,0.52,1000.0,2,0.0,0.0,0.0,0.0
55,55,1,0.53,0.0,0.0,0.53,1000.0,2,0.0,0.0,0.0,0.0
56,56,1,0.54,0.0,0.0,0.54,1000.0,2,0.0,0.0,0.0,0.0
57,57,1,0.55,0.0,0.0,0.55,1000.0,2,0.0,0.0,0.0,0.0
58,58,1,0.56,0.0,0.0,0.56,1000.0,2,0.0,0.0,0.0,0.0
59,59,1,0.57,0.0,0.0,0.57,1000.0,2,0.0,0.0,0.0,0.0
60,60,1,0.58,0.0,0.0,0.58,1000.0,2,0.0,0.0,0.0,0.0
61,61,1,0.59,0.0,0.0,0.59,1000.0,2,0.0,0.0,0.0,0.0
62,62,1,0.6,0.0,0.0,0.6,1000.0,2,0.0,0.0,0.0,0.0
63,63,1,0.61,0.0,0.0,0.61,1000.0,2,0.0,0.0,0.0,0.0
64,64,1,0.62,0.0,0.0,0.62,1000.0,2,0.0,0.0,0.0,0.0
65,65,1,0.63,0.0,0.0,0.63,1000.0,2,0.0,0.0,0.0,0.0
66,66,1,0.64,0.0,0.0,0.64,1000.0,2,0.0,0.0,0.0,0.0
67,67,1,0.65,0.0,0.0,0.65,1000.0,2,0.0,0.0,0.0,0.0
68,68,1,0.66,0.0,0.0,0.66,1000.0,2,0.0,0.0,0.0,0.0
69,69,1,0.67,0.0,0.0,0.67,1000.0,2,0.0,0.0,0.0,0.0
70,70,1,0.68,0.0,0.0,0.68,1000.0,2,0.0,0.0,0.0,0.0
71,71,1,0.69,0.0,0.0,0.69,1000.0,2,0.0,0.0,0.0,0.0
72,72,1,0.7,0.0,0.0,0.7,1000.0,2,0.0,0.0,0.0,0.0
73,73,1,0.71,0.0,0.0,0.71,1000.0,2,0.0,0.0,0.0,0.0
74,74,1,0.72,0.0,0.0,0.72,1000.0,2,0.0,0.0,0.0,0.0
75,75,1,0.73,0.0,0.0,0.73,1000.0,2,0.0,0.0,0.0,0.0
76,76,1,0.74,0.0,0.0,0.74,1000.0,2,0.0,0.0,0.0,0.0
77,77,1,0.75,0.0,0.0,0.75,1000.0,2,0.0,0.0,0.0,0.0
78,78,1,0.76,0.0,0.0,0.76,1000.0,2,0.0,0.0,0.0,0.0
79,79,1,0.77,0.0,0.0,0.77,1000.0,2,0.0,0.0,0.0,0.0
80,80,1,0.78,0.0,0.0,0.78,1000.0,2,0.0,0.0,0.0,0.0
81,81,1,0.79,0.0,0.0,0.79,1000.0,2,0.0,0.0,0.0,0.0
82,82,1,0.8,0.0,0.0,0.8,1000.0,2,0.0,0.0,0.0,0.0
83,83,1,0.81,0.0,0.0,0.81,1000.0,2,0.0,0.0,0.0,0.0
84,84,1,0.82,0.0,0.0,0.82,1000.0,2,0.0,0.0,0.0,0.0
85,85,1,0.83,0.0,0.0,0.83,1000.0,2,0.0,0.0,0.0,0.0
86,86,1,0.84,0.0,0.0,0.84,1000.0,2,0.0,0.0,0.0,0.0
87,87,1,0.85,0.0,0.0,0.85,1000.0,2,0.0,0.0,0.0,0.0
