"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,1,0.0,0.0,0.02,0.02,-0.04,0.0,0.0
1,1,0.0,0.0,0.02,0.02,-0.02,0.0,0.0
2,1,0.0,0.0,0.02,0.02,0.0,0.0,0.0
3,1,0.0,0.0,0.02,0.02,0.02,0.0,0.0
4,1,0.0,0.0,0.02,0.02,0.04,0.0,0.0
5,1,0.0,0.0,0.02,0.02,0.06,0.0,0.0
6,1,0.0,0.0,0.02,0.02,0.08,0.0,0.0
7,1,0.0,0.0,0.02,0.02,0.1,0.0,0.0
8,1,0.0,0.0,0.02,0.02,0.12,0.0,0.0
9,1,0.0,0.0,0.02,0.02,0.14,0.0,0.0
10,1,0.0,0.0,0.02,0.02,0.16,0.0,0.0
11,1,0.0,0.0,0.02,0.02,0.18,0.0,0.0
12,1,0.0,0.0,0.02,0.02,0.2,0.0,0.0
13,1,0.0,0.0,0.02,0.02,0.22,0.0,0.0
14,1,0.0,0.0,0.02,0.02,0.24,0.0,0.0
15,1,0.0,0.0,0.02,0.02,0.26,0.0,0.0
16,1,0.0,0.0,0.02,0.02,0.28,0.0,0.0
17,1,0.0,0.0,0.02,0.02,0.3,0.0,0.0
18,1,0.0,0.0,0.02,0.02,0.32,0.0,0.0
19,1,0.0,0.0,0.02,0.02,0.34,0.0,0.0
20,1,0.0,0.0,0.02,0.02,0.36,0.0,0.0
21,1,0.0,0.0,0.02,0.02,0.38,0.0,0.0
22,1,0.0,0.0,0.02,0.02,0.4,0.0,0.0
23,1,0.0,0.0,0.02,0.02,0.42,0.0,0.0
24,1,0.0,0.0,0.02,0.02,0.44,0.0,0.0
25,1,0.0,0.0,0.02,0.02,0.46,0.0,0.0
26,1,0.0,0.0,0.02,0.02,0.48,0.0,0.0
27,1,0.0,0.0,0.02,0.02,0.5,0.0,0.0
28,1,0.0,0.0,0.02,0.02,0.52,0.0,0.0
29,1,0.0,0.0,0.02,0.02,0.54,0.0,0.0
30,1,0.0,0.0,0.02,0.02,0.56,0.0,0.0
31,1,0.0,0.0,0.02,0.02,0.58,0.0,0.0
32,1,0.0,0.0,0.02,0.02,0.6,0.0,0.0
33,1,0.0,0.0,0.02,0.02,0.62,0.0,0.0
34,1,0.0,0.0,0.02,0.02,0.64,0.0,0.0
35,1,0.0,0.0,0.02,0.02,0.66,0.0,0.0
36,1,0.0,0.0,0.02,0.02,0.68,0.0,0.0
37,1,0.0,0.0,0.02,0.02,0.7,0.0,0.0
38,1,0.0,0.0,0.02,0.02,0.72,0.0,0.0
39,1,0.0,0.0,0.02,0.02,0.74,0.0,0.0
40,1,0.0,0.0,0.02,0.02,0.76,0.0,0.0
41,1,0.0,0.0,0.02,0.02,0.78,0.0,0.0
42,1,0.0,0.0,0.02,0.02,0.8,0.0,0.0
43,1,0.0,0.0,0.02,0.02,0.82,0.0,0.0
44,1,0.0,0.0,0.02,0.02,0.84,0.0,0.0
45,1,0.0,0.0,0.02,0.02,0.86,0.0,0.0
46,1,0.0,0.0,0.02,0.02,0.88,0.0,0.0
47,1,0.0,0.0,0.02,0.02,0.9,0.0,0.0
48,1,0.0,0.0,0.02,0.02,0.92,0.0,0.0
49,1,0.0,0.0,0.02,0.02,0.94,0.0,0.0
50,1,0.0,0.0,0.02,0.02,0.96,0.0,0.0
51,1,0.0,0.0,0.02,0.02,0.98,0.0,0.0
52,1,0.0,0.0,0.02,0.02,1.0,0.0,0.0
53,1,0.0,0.0,0.02,0.02,1.02,0.0,0.0
54,1,0.0,0.0,0.02,0.02,1.04,0.0,0.0
55,1,0.0,0.0,0.02,0.02,-0.04,0.0,-0.02
56,1,0.0,0.0,0.02,0.02,-0.02,0.0,-0.02
57,1,0.0,0.0,0.02,0.02,0.0,0.0,-0.02
58,1,0.0,0.0,0.02,0.02,0.02,0.0,-0.02
59,1,0.0,0.0,0.02,0.02,0.04,0.0,-0.02
60,1,0.0,0.0,0.02,0.02,0.06,0.0,-0.02
61,1,0.0,0.0,0.02,0.02,0.08,0.0,-0.02
62,1,0.0,0.0,0.02,0.02,0.1,0.0,-0.02
63,1,0.0,0.0,0.02,0.02,0.12,0.0,-0.02
64,1,0.0,0.0,0.02,0.02,0.14,0.0,-0.02
65,1,0.0,0.0,0.02,0.02,0.16,0.0,-0.02
66,1,0.0,0.0,0.02,0.02,0.18,0.0,-0.02
67,1,0.0,0.0,0.02,0.02,0.2,0.0,-0.02
68,1,0.0,0.0,0.02,0.02,0.22,0.0,-0.02
69,1,0.0,0.0,0.02,0.02,0.24,0.0,-0.02
70,1,0.0,0.0,0.02,0.02,0.26,0.0,-0.02
71,1,0.0,0.0,0.02,0.02,0.28,0.0,-0.02
72,1,0.0,0.0,0.02,0.02,0.3,0.0,-0.02
73,1,0.0,0.0,0.02,0.02,0.32,0.0,-0.02
74,1,0.0,0.0,0.02,0.02,0.34,0.0,-0.02
75,1,0.0,0.0,0.02,0.02,0.36,0.0,-0.02
76,1,0.0,0.0,0.02,0.02,0.38,0.0,-0.02
77,1,0.0,0.0,0.02,0.02,0.4,0.0,-0.02
78,1,0.0,0.0,0.02,0.02,0.42,0.0,-0.02
79,1,0.0,0.0,0.02,0.02,0.44,0.0,-0.02
80,1,0.0,0.0,0.02,0.02,0.46,0.0,-0.02
81,1,0.0,0.0,0.02,0.02,0.48,0.0,-0.02
82,1,0.0,0.0,0.02,0.02,0.5,0.0,-0.02
83,1,0.0,0.0,0.02,0.02,0.52,0.0,-0.02
84,1,0.0,0.0,0.02,0.02,0.54,0.0,-0.02
85,1,0.0,0.0,0.02,0.02,0.56,0.0,-0.02
86,1,0.0,0.0,0.02,0.02,0.58,0.0,-0.02
87,1,0.0,0.0,0.02,0.02,0.6,0.0,-0.02
88,1,0.0,0.0,0.02,0.02,0.62,0.0,-0.02
89,1,0.0,0.0,0.02,0.02,0.64,0.0,-0.02
90,1,0.0,0.0,0.02,0.02,0.66,0.0,-0.02
91,1,0.0,0.0,0.02,0.02,0.68,0.0,-0.02
92,1,0.0,0.0,0.02,0.02,0.7,0.0,-0.02
93,1,0.0,0.0,0.02,0.02,0.72,0.0,-0.02
94,1,0.0,0.0,0.02,0.02,0.74,0.0,-0.02
95,1,0.0,0.0,0.02,0.02,0.76,0.0,-0.02
96,1,0.0,0.0,0.02,0.02,0.78,0.0,-0.02
97,1,0.0,0.0,0.02,0.02,0.8,0.0,-0.02
98,1,0.0,0.0,0.02,0.02,0.82,0.0,-0.02
99,1,0.0,0.0,0.02,0.02,0.84,0.0,-0.02
100,1,0.0,0.0,0.02,0.02,0.86,0.0,-0.02
101,1,0.0,0.0,0.02,0.02,0.88,0.0,-0.02
102,1,0.0,0.0,0.02,0.02,0.9,0.0,-0.02
103,1,0.0,0.0,0.02,0.02,0.92,0.0,-0.02
104,1,0.0,0.0,0.02,0.02,0.94,0.0,-0.02
105,1,0.0,0.0,0.02,0.02,0.96,0.0,-0.02
106,1,0.0,0.0,0.02,0.02,0.98,0.0,-0.02
107,1,0.0,0.0,0.02,0.02,1.0,0.0,-0.02
108,1,0.0,0.0,0.02,0.02,1.02,0.0,-0.02
109,1,0.0,0.0,0.02,0.02,1.04,0.0,-0.02
110,1,0.0,0.0,0.02,0.02,-0.04,0.0,-0.04
111,1,0.0,0.0,0.02,0.02,-0.02,0.0,-0.04
112,1,0.0,0.0,0.02,0.02,0.0,0.0,-0.04
113,1,0.0,0.0,0.02,0.02,0.02,0.0,-0.04
114,1,0.0,0.0,0.02,0.02,0.04,0.0,-0.04
115,1,0.0,0.0,0.02,0.02,0.06,0.0,-0.04
116,1,0.0,0.0,0.02,0.02,0.08,0.0,-0.04
117,1,0.0,0.0,0.02,0.02,0.1,0.0,-0.04
118,1,0.0,0.0,0.02,0.02,0.12,0.0,-0.04
119,1,0.0,0.0,0.02,0.02,0.14,0.0,-0.04
120,1,0.0,0.0,0.02,0.02,0.16,0.0,-0.04
121,1,0.0,0.0,0.02,0.02,0.18,0.0,-0.04
122,1,0.0,0.0,0.02,0.02,0.2,0.0,-0.04
123,1,0.0,0.0,0.02,0.02,0.22,0.0,-0.04
124,1,0.0,0.0,0.02,0.02,0.24,0.0,-0.04
125,1,0.0,0.0,0.02,0.02,0.26,0.0,-0.04
126,1,0.0,0.0,0.02,0.02,0.28,0.0,-0.04
127,1,0.0,0.0,0.02,0.02,0.3,0.0,-0.04
128,1,0.0,0.0,0.02,0.02,0.32,0.0,-0.04
129,1,0.0,0.0,0.02,0.02,0.34,0.0,-0.04
130,1,0.0,0.0,0.02,0.02,0.36,0.0,-0.04
131,1,0.0,0.0,0.02,0.02,0.38,0.0,-0.04
132,1,0.0,0.0,0.02,0.02,0.4,0.0,-0.04
133,1,0.0,0.0,0.02,0.02,0.42,0.0,-0.04
134,1,0.0,0.0,0.02,0.02,0.44,0.0,-0.04
135,1,0.0,0.0,0.02,0.02,0.46,0.0,-0.04
136,1,0.0,0.0,0.02,0.02,0.48,0.0,-0.04
137,1,0.0,0.0,0.02,0.02,0.5,0.0,-0.04
138,1,0.0,0.0,0.02,0.02,0.52,0.0,-0.04
139,1,0.0,0.0,0.02,0.02,0.54,0.0,-0.04
140,1,0.0,0.0,0.02,0.02,0.56,0.0,-0.04
141,1,0.0,0.0,0.02,0.02,0.58,0.0,-0.04
142,1,0.0,0.0,0.02,0.02,0.6,0.0,-0.04
143,1,0.0,0.0,0.02,0.02,0.62,0.0,-0.04
144,1,0.0,0.0,0.02,0.02,0.64,0.0,-0.04
145,1,0.0,0.0,0.02,0.02,0.66,0.0,-0.04
146,1,0.0,0.0,0.02,0.02,0.68,0.0,-0.04
147,1,0.0,0.0,0.02,0.02,0.7,0.0,-0.04
148,1,0.0,0.0,0.02,0.02,0.72,0.0,-0.04
149,1,0.0,0.0,0.02,0.02,0.74,0.0,-0.04
150,1,0.0,0.0,0.02,0.02,0.76,0.0,-0.04
151,1,0.0,0.0,0.02,0.02,0.78,0.0,-0.04
152,1,0.0,0.0,0.02,0.02,0.8,0.0,-0.04
153,1,0.0,0.0,0.02,0.02,0.82,0.0,-0.04
