"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,447,3,-0.04,0.0,1.0,1.0007996802557444,1000.0,4,1.0,0.0,0.0,1.0
1,448,3,-0.02,0.0,1.0,1.000199980003999,1000.0,4,1.0,0.0,0.0,1.0
2,449,3,0.0,0.0,1.0,1.0,1000.0,4,1.0,0.0,0.0,1.0
3,450,3,0.02,0.0,1.0,1.000199980003999,1000.0,4,1.0,0.0,0.0,1.0
4,451,3,0.04,0.0,1.0,1.0007996802557444,1000.0,4,1.0,0.0,0.0,1.0
5,452,3,0.06,0.0,1.0,1.0017983829094554,1000.0,4,1.0,0.0,0.0,1.0
6,453,3,0.08,0.0,1.0,1.0031948963187562,1000.0,4,1.0,0.0,0.0,1.0
7,454,3,0.1,0.0,1.0,1.004987562112089,1000.0,4,1.0,0.0,0.0,1.0
8,455,3,0.12,0.0,1.0,1.0071742649611337,1000.0,4,1.0,0.0,0.0,1.0
9,456,3,0.14,0.0,1.0,1.009752444909147,1000.0,4,1.0,0.0,0.0,1.0
10,457,3,0.16,0.0,1.0,1.012719112093773,1000.0,4,1.0,0.0,0.0,1.0
11,458,3,0.18,0.0,1.0,1.016070863670443,1000.0,4,1.0,0.0,0.0,1.0
12,459,3,0.2,0.0,1.0,1.019803902718557,1000.0,4,1.0,0.0,0.0,1.0
13,460,3,0.22,0.0,1.0,1.0239140588936164,1000.0,4,1.0,0.0,0.0,1.0
14,461,3,0.24,0.0,1.0,1.0283968105745953,1000.0,4,1.0,0.0,0.0,1.0
15,462,3,0.26,0.0,1.0,1.0332473082471592,1000.0,4,1.0,0.0,0.0,1.0
16,463,3,0.28,0.0,1.0,1.0384603988597736,1000.0,4,1.0,0.0,0.0,1.0
17,464,3,0.3,0.0,1.0,1.044030650891055,1000.0,4,1.0,0.0,0.0,1.0
18,465,3,0.32,0.0,1.0,1.049952379872535,1000.0,4,1.0,0.0,0.0,1.0
19,466,3,0.34,0.0,1.0,1.0562196741208714,1000.0,4,1.0,0.0,0.0,1.0
20,467,3,0.36,0.0,1.0,1.0628264204469138,1000.0,4,1.0,0.0,0.0,1.0
21,468,3,0.38,0.0,1.0,1.0697663296253066,1000.0,4,1.0,0.0,0.0,1.0
22,469,3,0.4,0.0,1.0,1.077032961426901,1000.0,4,1.0,0.0,0.0,1.0
23,470,3,0.42,0.0,1.0,1.0846197490365,1000.0,4,1.0,0.0,0.0,1.0
24,471,3,0.44,0.0,1.0,1.092520022699813,1000.0,4,1.0,0.0,0.0,1.0
25,472,3,0.46,0.0,1.0,1.100727032465361,1000.0,4,1.0,0.0,0.0,1.0
26,473,3,0.48,0.0,1.0,1.1092339699089637,1000.0,4,1.0,0.0,0.0,1.0
27,474,3,0.5,0.0,1.0,1.118033988749895,1000.0,4,1.0,0.0,0.0,1.0
28,475,3,0.52,0.0,1.0,1.1271202242884297,1000.0,4,1.0,0.0,0.0,1.0
29,476,3,0.54,0.0,1.0,1.1364858116140297,1000.0,4,1.0,0.0,0.0,1.0
30,477,3,0.56,0.0,1.0,1.1461239025515524,1000.0,4,1.0,0.0,0.0,1.0
31,478,3,0.58,0.0,1.0,1.156027681329474,1000.0,4,1.0,0.0,0.0,1.0
32,479,3,0.6,0.0,1.0,1.16619037896906,1000.0,4,1.0,0.0,0.0,1.0
33,480,3,0.62,0.0,1.0,1.1766052864066183,1000.0,4,1.0,0.0,0.0,1.0
34,481,3,0.64,0.0,1.0,1.1872657663724664,1000.0,4,1.0,0.0,0.0,1.0
35,482,3,0.66,0.0,1.0,1.1981652640600127,1000.0,4,1.0,0.0,0.0,1.0
36,483,3,0.68,0.0,1.0,1.209297316626478,1000.0,4,1.0,0.0,0.0,1.0
37,484,3,0.7,0.0,1.0,1.2206555615733703,1000.0,4,1.0,0.0,0.0,1.0
38,485,3,0.72,0.0,1.0,1.2322337440599491,1000.0,4,1.0,0.0,0.0,1.0
39,486,3,0.74,0.0,1.0,1.244025723206719,1000.0,4,1.0,0.0,0.0,1.0
40,487,3,0.76,0.0,1.0,1.2560254774486066,1000.0,4,1.0,0.0,0.0,1.0
41,488,3,0.78,0.0,1.0,1.2682271089990151,1000.0,4,1.0,0.0,0.0,1.0
42,489,3,0.8,0.0,1.0,1.2806248474865698,1000.0,4,1.0,0.0,0.0,1.0
43,490,3,0.82,0.0,1.0,1.2932130528261767,1000.0,4,1.0,0.0,0.0,1.0
44,491,3,0.84,0.0,1.0,1.3059862173851606,1000.0,4,1.0,0.0,0.0,1.0
45,492,3,0.86,0.0,1.0,1.3189389675038037,1000.0,4,1.0,0.0,0.0,1.0
46,493,3,0.88,0.0,1.0,1.332066064427737,1000.0,4,1.0,0.0,0.0,1.0
47,494,3,0.9,0.0,1.0,1.3453624047073711,1000.0,4,1.0,0.0,0.0,1.0
48,495,3,0.92,0.0,1.0,1.3588230201170424,1000.0,4,1.0,0.0,0.0,1.0
49,496,3,0.94,0.0,1.0,1.372443077143821,1000.0,4,1.0,0.0,0.0,1.0
50,497,3,0.96,0.0,1.0,1.3862178760930766,1000.0,4,1.0,0.0,0.0,1.0
51,498,3,0.98,0.0,1.0,1.400142849854971,1000.0,4,1.0,0.0,0.0,1.0
52,499,3,1.0,0.0,1.0,1.4142135623730951,1000.0,4,1.0,0.0,0.0,1.0
53,500,3,1.02,0.0,1.0,1.4284257068535275,1000.0,4,1.0,0.0,0.0,1.0
54,501,3,1.04,0.0,1.0,1.4427751037497147,1000.0,4,1.0,0.0,0.0,1.0
55,502,3,-0.04,0.0,0.98,0.9808159868191383,1000.0,4,1.0,0.0,0.0,1.0
56,503,3,-0.02,0.0,0.98,0.9802040603874276,1000.0,4,1.0,0.0,0.0,1.0
57,504,3,0.0,0.0,0.98,0.98,1000.0,4,1.0,0.0,0.0,1.0
58,505,3,0.02,0.0,0.98,0.9802040603874276,1000.0,4,1.0,0.0,0.0,1.0
59,506,3,0.04,0.0,0.98,0.9808159868191383,1000.0,4,1.0,0.0,0.0,1.0
60,507,3,0.06,0.0,0.98,0.9818350166906862,1000.0,4,1.0,0.0,0.0,1.0
61,508,3,0.08,0.0,0.98,0.9832598842625483,1000.0,4,1.0,0.0,0.0,1.0
62,509,3,0.1,0.0,0.98,0.9850888284819801,1000.0,4,1.0,0.0,0.0,1.0
63,510,3,0.12,0.0,0.98,0.9873196037757985,1000.0,4,1.0,0.0,0.0,1.0
64,511,3,0.14,0.0,0.98,0.9899494936611665,1000.0,4,1.0,0.0,0.0,1.0
65,512,3,0.16,0.0,0.98,0.9929753269845126,1000.0,4,1.0,0.0,0.0,1.0
66,513,3,0.18,0.0,0.98,0.996393496566492,1000.0,4,1.0,0.0,0.0,1.0
67,514,3,0.2,0.0,0.98,1.000199980003999,1000.0,4,1.0,0.0,0.0,1.0
68,515,3,0.22,0.0,0.98,1.0043903623591774,1000.0,4,1.0,0.0,0.0,1.0
69,516,3,0.24,0.0,0.98,1.0089598604503551,1000.0,4,1.0,0.0,0.0,1.0
70,517,3,0.26,0.0,0.98,1.0139033484509261,1000.0,4,1.0,0.0,0.0,1.0
71,518,3,0.28,0.0,0.98,1.0192153844992726,1000.0,4,1.0,0.0,0.0,1.0
72,519,3,0.3,0.0,0.98,1.0248902380255165,1000.0,4,1.0,0.0,0.0,1.0
73,520,3,0.32,0.0,0.98,1.0309219175087898,1000.0,4,1.0,0.0,0.0,1.0
74,521,3,0.34,0.0,0.98,1.037304198391195,1000.0,4,1.0,0.0,0.0,1.0
75,522,3,0.36,0.0,0.98,1.0440306508910548,1000.0,4,1.0,0.0,0.0,1.0
76,523,3,0.38,0.0,0.98,1.051094667477673,1000.0,4,1.0,0.0,0.0,1.0
77,524,3,0.4,0.0,0.98,1.0584894897919392,1000.0,4,1.0,0.0,0.0,1.0
78,525,3,0.42,0.0,0.98,1.0662082348209472,1000.0,4,1.0,0.0,0.0,1.0
79,526,3,0.44,0.0,0.98,1.0742439201596627,1000.0,4,1.0,0.0,0.0,1.0
80,527,3,0.46,0.0,0.98,1.0825894882179485,1000.0,4,1.0,0.0,0.0,1.0
81,528,3,0.48,0.0,0.98,1.0912378292562992,1000.0,4,1.0,0.0,0.0,1.0
82,529,3,0.5,0.0,0.98,1.1001818031580053,1000.0,4,1.0,0.0,0.0,1.0
83,530,3,0.52,0.0,0.98,1.109414259868693,1000.0,4,1.0,0.0,0.0,1.0
84,531,3,0.54,0.0,0.98,1.1189280584559491,1000.0,4,1.0,0.0,0.0,1.0
85,532,3,0.56,0.0,0.98,1.128716084761797,1000.0,4,1.0,0.0,0.0,1.0
86,533,3,0.58,0.0,0.98,1.1387712676389408,1000.0,4,1.0,0.0,0.0,1.0
87,534,3,0.6,0.0,0.98,1.1490865937778578,1000.0,4,1.0,0.0,0.0,1.0
88,535,3,0.62,0.0,0.98,1.1596551211459378,1000.0,4,1.0,0.0,0.0,1.0
89,536,3,0.64,0.0,0.98,1.1704699910719625,1000.0,4,1.0,0.0,0.0,1.0
90,537,3,0.66,0.0,0.98,1.1815244390193542,1000.0,4,1.0,0.0,0.0,1.0
91,538,3,0.68,0.0,0.98,1.1928118040998756,1000.0,4,1.0,0.0,0.0,1.0
92,539,3,0.7,0.0,0.98,1.2043255373859678,1000.0,4,1.0,0.0,0.0,1.0
93,540,3,0.72,0.0,0.98,1.2160592090848208,1000.0,4,1.0,0.0,0.0,1.0
94,541,3,0.74,0.0,0.98,1.2280065146407002,1000.0,4,1.0,0.0,0.0,1.0
95,542,3,0.76,0.0,0.98,1.2401612798341997,1000.0,4,1.0,0.0,0.0,1.0
96,543,3,0.78,0.0,0.98,1.2525174649480941,1000.0,4,1.0,0.0,0.0,1.0
97,544,3,0.8,0.0,0.98,1.2650691680694774,1000.0,4,1.0,0.0,0.0,1.0
98,545,3,0.82,0.0,0.98,1.2778106275970629,1000.0,4,1.0,0.0,0.0,1.0
99,546,3,0.84,0.0,0.98,1.2907362240210043,1000.0,4,1.0,0.0,0.0,1.0
100,547,3,0.86,0.0,0.98,1.3038404810405297,1000.0,4,1.0,0.0,0.0,1.0
101,548,3,0.88,0.0,0.98,1.3171180660821564,1000.0,4,1.0,0.0,0.0,1.0
102,549,3,0.9,0.0,0.98,1.3305637902783918,1000.0,4,1.0,0.0,0.0,1.0
103,550,3,0.92,0.0,0.98,1.3441726079637242,1000.0,4,1.0,0.0,0.0,1.0
104,551,3,0.94,0.0,0.98,1.3579396157414363,1000.0,4,1.0,0.0,0.0,1.0
105,552,3,0.96,0.0,0.98,1.3718600511714014,1000.0,4,1.0,0.0,0.0,1.0
106,553,3,0.98,0.0,0.98,1.3859292911256331,1000.0,4,1.0,0.0,0.0,1.0
107,554,3,1.0,0.0,0.98,1.400142849854971,1000.0,4,1.0,0.0,0.0,1.0
108,555,3,1.02,0.0,0.98,1.4144963768069538,1000.0,4,1.0,0.0,0.0,1.0
109,556,3,1.04,0.0,0.98,1.4289856542317,1000.0,4,1.0,0.0,0.0,1.0
110,557,3,-0.04,0.0,0.96,0.9608329719571451,1000.0,4,1.0,0.0,0.0,1.0
111,558,3,-0.02,0.0,0.96,0.9602083107326242,1000.0,4,1.0,0.0,0.0,1.0
112,559,3,0.0,0.0,0.96,0.96,1000.0,4,1.0,0.0,0.0,1.0
113,560,3,0.02,0.0,0.96,0.9602083107326242,1000.0,4,1.0,0.0,0.0,1.0
114,561,3,0.04,0.0,0.96,0.9608329719571451,1000.0,4,1.0,0.0,0.0,1.0
115,562,3,0.06,0.0,0.96,0.9618731725128838,1000.0,4,1.0,0.0,0.0,1.0
