"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,4524,20,1,0,2,2.23607,1000,1,0,0,0,0
1,4525,20,1,0,2.02,2.25397,1000,1,0,0,0,0
2,4526,20,1,0,2.04,2.27192,1000,1,0,0,0,0
3,4527,20,1,0,2.06,2.28989,1000,1,0,0,0,0
4,4528,20,1,0,2.08,2.3079,1000,1,0,0,0,0
5,4529,20,1,0,2.1,2.32594,1000,1,0,0,0,0
6,4530,20,1,0,2.12,2.34401,1000,1,0,0,0,0
7,4531,20,1,0,2.14,2.36212,1000,1,0,0,0,0
8,4532,20,1,0,2.16,2.38025,1000,1,0,0,0,0
9,4533,20,1,0,2.18,2.39842,1000,1,0,0,0,0
10,4534,20,1,0,2.2,2.41661,1000,1,0,0,0,0
11,4535,20,1,0,2.22,2.43483,1000,1,0,0,0,0
12,4536,20,1,0,2.24,2.45308,1000,1,0,0,0,0
13,4537,20,1,0,2.26,2.47136,1000,1,0,0,0,0
14,4538,20,1,0,2.28,2.48966,1000,1,0,0,0,0
15,4539,20,1,0,2.3,2.50799,1000,1,0,0,0,0
16,4540,20,1,0,2.32,2.52634,1000,1,0,0,0,0
17,4541,20,1,0,2.34,2.54472,1000,1,0,0,0,0
18,4542,20,1,0,2.36,2.56312,1000,1,0,0,0,0
19,4543,20,1,0,2.38,2.58155,1000,1,0,0,0,0
20,4544,20,1,0,2.4,2.6,1000,1,0,0,0,0
21,4545,20,1,0,2.42,2.61847,1000,1,0,0,0,0
22,4546,20,1,0,2.44,2.63697,1000,1,0,0,0,0
23,4547,20,1,0,2.46,2.65548,1000,1,0,0,0,0
24,4548,20,1,0,2.48,2.67402,1000,1,0,0,0,0
25,4549,20,1,0,2.5,2.69258,1000,1,0,0,0,0
26,4550,20,1,0,2.52,2.71116,1000,1,0,0,0,0
27,4551,20,1,0,2.54,2.72976,1000,1,0,0,0,0
28,4552,20,1,0,2.56,2.74838,1000,1,0,0,0,0
29,4553,20,1,0,2.58,2.76702,1000,1,0,0,0,0
30,4554,20,1,0,2.6,2.78568,1000,1,0,0,0,0
31,4555,20,1,0,2.62,2.80435,1000,1,0,0,0,0
32,4556,20,1,0,2.64,2.82305,1000,1,0,0,0,0
33,4557,20,1,0,2.66,2.84176,1000,1,0,0,0,0
34,4558,20,1,0,2.68,2.86049,1000,1,0,0,0,0
35,4559,20,1,0,2.7,2.87924,1000,1,0,0,0,0
36,4560,20,1,0,2.72,2.898,1000,1,0,0,0,0
37,4561,20,1,0,2.74,2.91678,1000,1,0,0,0,0
38,4562,20,1,0,2.76,2.93558,1000,1,0,0,0,0
39,4563,20,1,0,2.78,2.95439,1000,1,0,0,0,0
40,4564,20,1,0,2.8,2.97321,1000,1,0,0,0,0
41,4565,20,1,0,2.82,2.99206,1000,1,0,0,0,0
42,4566,20,1,0,2.84,3.01091,1000,1,0,0,0,0
43,4567,20,1,0,2.86,3.02979,1000,1,0,0,0,0
44,4568,20,1,0,2.88,3.04867,1000,1,0,0,0,0
45,4569,20,1,0,2.9,3.06757,1000,1,0,0,0,0
46,4570,20,1,0,2.92,3.08649,1000,1,0,0,0,0
47,4571,20,1,0,2.94,3.10541,1000,1,0,0,0,0
48,4572,20,1,0,2.96,3.12436,1000,1,0,0,0,0
49,4573,20,1,0,2.98,3.14331,1000,1,0,0,0,0
50,4574,20,1,0,3,3.16228,1000,1,0,0,0,0
51,4575,20,1.02,0,2,2.24508,1000,1,0,0,0,0
52,4576,20,1.02,0,2.02,2.26292,1000,1,0,0,0,0
53,4577,20,1.02,0,2.04,2.28079,1000,1,0,0,0,0
54,4578,20,1.02,0,2.06,2.2987,1000,1,0,0,0,0
55,4579,20,1.02,0,2.08,2.31664,1000,1,0,0,0,0
56,4580,20,1.02,0,2.1,2.33461,1000,1,0,0,0,0
57,4581,20,1.02,0,2.12,2.35262,1000,1,0,0,0,0
58,4582,20,1.02,0,2.14,2.37065,1000,1,0,0,0,0
59,4583,20,1.02,0,2.16,2.38872,1000,1,0,0,0,0
60,4584,20,1.02,0,2.18,2.40682,1000,1,0,0,0,0
61,4585,20,1.02,0,2.2,2.42495,1000,1,0,0,0,0
62,4586,20,1.02,0,2.22,2.44311,1000,1,0,0,0,0
63,4587,20,1.02,0,2.24,2.4613,1000,1,0,0,0,0
64,4588,20,1.02,0,2.26,2.47952,1000,1,0,0,0,0
65,4589,20,1.02,0,2.28,2.49776,1000,1,0,0,0,0
66,4590,20,1.02,0,2.3,2.51603,1000,1,0,0,0,0
67,4591,20,1.02,0,2.32,2.53432,1000,1,0,0,0,0
68,4592,20,1.02,0,2.34,2.55265,1000,1,0,0,0,0
69,4593,20,1.02,0,2.36,2.57099,1000,1,0,0,0,0
70,4594,20,1.02,0,2.38,2.58936,1000,1,0,0,0,0
71,4595,20,1.02,0,2.4,2.60776,1000,1,0,0,0,0
72,4596,20,1.02,0,2.42,2.62618,1000,1,0,0,0,0
73,4597,20,1.02,0,2.44,2.64462,1000,1,0,0,0,0
74,4598,20,1.02,0,2.46,2.66308,1000,1,0,0,0,0
75,4599,20,1.02,0,2.48,2.68157,1000,1,0,0,0,0
76,4600,20,1.02,0,2.5,2.70007,1000,1,0,0,0,0
77,4601,20,1.02,0,2.52,2.7186,1000,1,0,0,0,0
78,4602,20,1.02,0,2.54,2.73715,1000,1,0,0,0,0
79,4603,20,1.02,0,2.56,2.75572,1000,1,0,0,0,0
80,4604,20,1.02,0,2.58,2.77431,1000,1,0,0,0,0
81,4605,20,1.02,0,2.6,2.79292,1000,1,0,0,0,0
82,4606,20,1.02,0,2.62,2.81155,1000,1,0,0,0,0
83,4607,20,1.02,0,2.64,2.83019,1000,1,0,0,0,0
84,4608,20,1.02,0,2.66,2.84886,1000,1,0,0,0,0
85,4609,20,1.02,0,2.68,2.86754,1000,1,0,0,0,0
86,4610,20,1.02,0,2.7,2.88624,1000,1,0,0,0,0
87,4611,20,1.02,0,2.72,2.90496,1000,1,0,0,0,0
88,4612,20,1.02,0,2.74,2.9237,1000,1,0,0,0,0
89,4613,20,1.02,0,2.76,2.94245,1000,1,0,0,0,0
90,4614,20,1.02,0,2.78,2.96122,1000,1,0,0,0,0
91,4615,20,1.02,0,2.8,2.98,1000,1,0,0,0,0
92,4616,20,1.02,0,2.82,2.9988,1000,1,0,0,0,0
93,4617,20,1.02,0,2.84,3.01761,1000,1,0,0,0,0
94,4618,20,1.02,0,2.86,3.03645,1000,1,0,0,0,0
95,4619,20,1.02,0,2.88,3.05529,1000,1,0,0,0,0
96,4620,20,1.02,0,2.9,3.07415,1000,1,0,0,0,0
97,4621,20,1.02,0,2.92,3.09302,1000,1,0,0,0,0
98,4622,20,1.02,0,2.94,3.11191,1000,1,0,0,0,0
99,4623,20,1.02,0,2.96,3.13081,1000,1,0,0,0,0
100,4624,20,1.02,0,2.98,3.14973,1000,1,0,0,0,0
101,4625,20,1.02,0,3,3.16866,1000,1,0,0,0,0
102,4626,20,1.04,0,2,2.25424,1000,1,0,0,0,0
103,4627,20,1.04,0,2.02,2.272,1000,1,0,0,0,0
104,4628,20,1.04,0,2.04,2.2898,1000,1,0,0,0,0
105,4629,20,1.04,0,2.06,2.30764,1000,1,0,0,0,0
106,4630,20,1.04,0,2.08,2.32551,1000,1,0,0,0,0
107,4631,20,1.04,0,2.1,2.34342,1000,1,0,0,0,0
108,4632,20,1.04,0,2.12,2.36136,1000,1,0,0,0,0
109,4633,20,1.04,0,2.14,2.37933,1000,1,0,0,0,0
110,4634,20,1.04,0,2.16,2.39733,1000,1,0,0,0,0
111,4635,20,1.04,0,2.18,2.41537,1000,1,0,0,0,0
112,4636,20,1.04,0,2.2,2.43343,1000,1,0,0,0,0
113,4637,20,1.04,0,2.22,2.45153,1000,1,0,0,0,0
114,4638,20,1.04,0,2.24,2.46966,1000,1,0,0,0,0
115,4639,20,1.04,0,2.26,2.48781,1000,1,0,0,0,0
116,4640,20,1.04,0,2.28,2.50599,1000,1,0,0,0,0
117,4641,20,1.04,0,2.3,2.5242,1000,1,0,0,0,0
118,4642,20,1.04,0,2.32,2.54244,1000,1,0,0,0,0
119,4643,20,1.04,0,2.34,2.5607,1000,1,0,0,0,0
120,4644,20,1.04,0,2.36,2.57899,1000,1,0,0,0,0
121,4645,20,1.04,0,2.38,2.59731,1000,1,0,0,0,0
122,4646,20,1.04,0,2.4,2.61565,1000,1,0,0,0,0
123,4647,20,1.04,0,2.42,2.63401,1000,1,0,0,0,0
124,4648,20,1.04,0,2.44,2.6524,1000,1,0,0,0,0
125,4649,20,1.04,0,2.46,2.67081,1000,1,0,0,0,0
126,4650,20,1.04,0,2.48,2.68924,1000,1,0,0,0,0
127,4651,20,1.04,0,2.5,2.70769,1000,1,0,0,0,0
128,4652,20,1.04,0,2.52,2.72617,1000,1,0,0,0,0
129,4653,20,1.04,0,2.54,2.74467,1000,1,0,0,0,0
130,4654,20,1.04,0,2.56,2.76319,1000,1,0,0,0,0
131,4655,20,1.04,0,2.58,2.78173,1000,1,0,0,0,0
132,4656,20,1.04,0,2.6,2.80029,1000,1,0,0,0,0
133,4657,20,1.04,0,2.62,2.81886,1000,1,0,0,0,0
134,4658,20,1.04,0,2.64,2.83746,1000,1,0,0,0,0
135,4659,20,1.04,0,2.66,2.85608,1000,1,0,0,0,0
136,4660,20,1.04,0,2.68,2.87472,1000,1,0,0,0,0
137,4661,20,1.04,0,2.7,2.89337,1000,1,0,0,0,0
138,4662,20,1.04,0,2.72,2.91204,1000,1,0,0,0,0
139,4663,20,1.04,0,2.74,2.93073,1000,1,0,0,0,0
140,4664,20,1.04,0,2.76,2.94944,1000,1,0,0,0,0
141,4665,20,1.04,0,2.78,2.96816,1000,1,0,0,0,0
142,4666,20,1.04,0,2.8,2.9869,1000,1,0,0,0,0
143,4667,20,1.04,0,2.82,3.00566,1000,1,0,0,0,0
144,4668,20,1.04,0,2.84,3.02443,1000,1,0,0,0,0
145,4669,20,1.04,0,2.86,3.04322,1000,1,0,0,0,0
146,4670,20,1.04,0,2.88,3.06203,1000,1,0,0,0,0
147,4671,20,1.04,0,2.9,3.08084,1000,1,0,0,0,0
148,4672,20,1.04,0,2.92,3.09968,1000,1,0,0,0,0
149,4673,20,1.04,0,2.94,3.11853,1000,1,0,0,0,0
150,4674,20,1.04,0,2.96,3.13739,1000,1,0,0,0,0
151,4675,20,1.04,0,2.98,3.15626,1000,1,0,0,0,0
152,4676,20,1.04,0,3,3.17515,1000,1,0,0,0,0
153,4677,20,1.06,0,2,2.26354,1000,1,0,0,0,0
154,4678,20,1.06,0,2.02,2.28123,1000,1,0,0,0,0
155,4679,20,1.06,0,2.04,2.29896,1000,1,0,0,0,0
156,4680,20,1.06,0,2.06,2.31672,1000,1,0,0,0,0
157,4681,20,1.06,0,2.08,2.33452,1000,1,0,0,0,0
158,4682,20,1.06,0,2.1,2.35236,1000,1,0,0,0,0
159,4683,20,1.06,0,2.12,2.37023,1000,1,0,0,0,0
160,4684,20,1.06,0,2.14,2.38814,1000,1,0,0,0,0
161,4685,20,1.06,0,2.16,2.40608,1000,1,0,0,0,0
162,4686,20,1.06,0,2.18,2.42405,1000,1,0,0,0,0
163,4687,20,1.06,0,2.2,2.44205,1000,1,0,0,0,0
164,4688,20,1.06,0,2.22,2.46008,1000,1,0,0,0,0
165,4689,20,1.06,0,2.24,2.47814,1000,1,0,0,0,0
166,4690,20,1.06,0,2.26,2.49624,1000,1,0,0,0,0
167,4691,20,1.06,0,2.28,2.51436,1000,1,0,0,0,0
168,4692,20,1.06,0,2.3,2.53251,1000,1,0,0,0,0
169,4693,20,1.06,0,2.32,2.55069,1000,1,0,0,0,0
170,4694,20,1.06,0,2.34,2.56889,1000,1,0,0,0,0
171,4695,20,1.06,0,2.36,2.58712,1000,1,0,0,0,0
172,4696,20,1.06,0,2.38,2.60538,1000,1,0,0,0,0
173,4697,20,1.06,0,2.4,2.62366,1000,1,0,0,0,0
174,4698,20,1.06,0,2.42,2.64197,1000,1,0,0,0,0
