"Point ID","Idp","Mk","Points:0","Points:1","Points:2","Points_Magnitude","Rhop","Type","Vel:0","Vel:1","Vel:2","Vel_Magnitude"
0,0,10,-0.01,0,-0.01,0.0141421,1000,0,0,0,0,0
1,1,10,-0.01,0,-0.008,0.0128062,1000,0,0,0,0,0
2,2,10,-0.01,0,-0.006,0.0116619,1000,0,0,0,0,0
3,3,10,-0.01,0,-0.004,0.0107703,1000,0,0,0,0,0
4,4,10,-0.01,0,-0.002,0.010198,1000,0,0,0,0,0
5,5,10,-0.01,0,0,0.01,1000,0,0,0,0,0
6,6,10,-0.01,0,0.002,0.010198,1000,0,0,0,0,0
7,7,10,-0.01,0,0.004,0.0107703,1000,0,0,0,0,0
8,8,10,-0.01,0,0.006,0.0116619,1000,0,0,0,0,0
9,9,10,-0.01,0,0.008,0.0128062,1000,0,0,0,0,0
10,10,10,-0.01,0,0.01,0.0141421,1000,0,0,0,0,0
11,11,10,-0.01,0,0.012,0.0156205,1000,0,0,0,0,0
12,12,10,-0.01,0,0.014,0.0172047,1000,0,0,0,0,0
13,13,10,-0.01,0,0.016,0.018868,1000,0,0,0,0,0
14,14,10,-0.01,0,0.018,0.0205913,1000,0,0,0,0,0
15,15,10,-0.01,0,0.02,0.0223607,1000,0,0,0,0,0
16,16,10,-0.01,0,0.022,0.0241661,1000,0,0,0,0,0
17,17,10,-0.01,0,0.024,0.026,1000,0,0,0,0,0
18,18,10,-0.01,0,0.026,0.0278568,1000,0,0,0,0,0
19,19,10,-0.01,0,0.028,0.0297321,1000,0,0,0,0,0
20,20,10,-0.01,0,0.03,0.0316228,1000,0,0,0,0,0
21,21,10,-0.01,0,0.032,0.0335261,1000,0,0,0,0,0
22,22,10,-0.01,0,0.034,0.0354401,1000,0,0,0,0,0
23,23,10,-0.01,0,0.036,0.0373631,1000,0,0,0,0,0
24,24,10,-0.01,0,0.038,0.0392938,1000,0,0,0,0,0
25,25,10,-0.01,0,0.04,0.0412311,1000,0,0,0,0,0
26,26,10,-0.01,0,0.042,0.0431741,1000,0,0,0,0,0
27,27,10,-0.01,0,0.044,0.0451221,1000,0,0,0,0,0
28,28,10,-0.01,0,0.046,0.0470744,1000,0,0,0,0,0
29,29,10,-0.01,0,0.048,0.0490306,1000,0,0,0,0,0
30,30,10,-0.01,0,0.05,0.0509902,1000,0,0,0,0,0
31,31,10,-0.01,0,0.052,0.0529528,1000,0,0,0,0,0
32,32,10,-0.01,0,0.054,0.0549181,1000,0,0,0,0,0
33,33,10,-0.01,0,0.056,0.0568859,1000,0,0,0,0,0
34,34,10,-0.01,0,0.058,0.0588558,1000,0,0,0,0,0
35,35,10,-0.01,0,0.06,0.0608276,1000,0,0,0,0,0
36,36,10,-0.01,0,0.062,0.0628013,1000,0,0,0,0,0
37,37,10,-0.01,0,0.064,0.0647765,1000,0,0,0,0,0
38,38,10,-0.01,0,0.066,0.0667533,1000,0,0,0,0,0
39,39,10,-0.01,0,0.068,0.0687314,1000,0,0,0,0,0
40,40,10,-0.01,0,0.07,0.0707107,1000,0,0,0,0,0
41,41,10,-0.01,0,0.072,0.0726911,1000,0,0,0,0,0
42,42,10,-0.01,0,0.074,0.0746726,1000,0,0,0,0,0
43,43,10,-0.01,0,0.076,0.0766551,1000,0,0,0,0,0
44,44,10,-0.01,0,0.078,0.0786384,1000,0,0,0,0,0
45,45,10,-0.01,0,0.08,0.0806226,1000,0,0,0,0,0
46,46,10,-0.01,0,0.082,0.0826075,1000,0,0,0,0,0
47,47,10,-0.01,0,0.084,0.0845931,1000,0,0,0,0,0
48,48,10,-0.01,0,0.086,0.0865794,1000,0,0,0,0,0
49,49,10,-0.01,0,0.088,0.0885664,1000,0,0,0,0,0
50,50,10,-0.01,0,0.09,0.0905539,1000,0,0,0,0,0
51,51,10,-0.01,0,0.092,0.0925419,1000,0,0,0,0,0
52,52,10,-0.01,0,0.094,0.0945304,1000,0,0,0,0,0
53,53,10,-0.01,0,0.096,0.0965194,1000,0,0,0,0,0
54,54,10,-0.01,0,0.098,0.0985089,1000,0,0,0,0,0
55,55,10,-0.01,0,0.1,0.100499,1000,0,0,0,0,0
56,56,10,-0.01,0,0.102,0.102489,1000,0,0,0,0,0
57,57,10,-0.01,0,0.104,0.10448,1000,0,0,0,0,0
58,58,10,-0.01,0,0.106,0.106471,1000,0,0,0,0,0
59,59,10,-0.01,0,0.108,0.108462,1000,0,0,0,0,0
60,60,10,-0.01,0,0.11,0.110454,1000,0,0,0,0,0
61,61,10,-0.01,0,0.112,0.112446,1000,0,0,0,0,0
62,62,10,-0.01,0,0.114,0.114438,1000,0,0,0,0,0
63,63,10,-0.01,0,0.116,0.11643,1000,0,0,0,0,0
64,64,10,-0.01,0,0.118,0.118423,1000,0,0,0,0,0
65,65,10,-0.01,0,0.12,0.120416,1000,0,0,0,0,0
66,66,10,-0.01,0,0.122,0.122409,1000,0,0,0,0,0
67,67,10,-0.01,0,0.124,0.124403,1000,0,0,0,0,0
68,68,10,-0.01,0,0.126,0.126396,1000,0,0,0,0,0
69,69,10,-0.01,0,0.128,0.12839,1000,0,0,0,0,0
70,70,10,-0.01,0,0.13,0.130384,1000,0,0,0,0,0
71,71,10,-0.01,0,0.132,0.132378,1000,0,0,0,0,0
72,72,10,-0.01,0,0.134,0.134373,1000,0,0,0,0,0
73,73,10,-0.01,0,0.136,0.136367,1000,0,0,0,0,0
74,74,10,-0.01,0,0.138,0.138362,1000,0,0,0,0,0
75,75,10,-0.01,0,0.14,0.140357,1000,0,0,0,0,0
76,76,10,-0.01,0,0.142,0.142352,1000,0,0,0,0,0
77,77,10,-0.01,0,0.144,0.144347,1000,0,0,0,0,0
78,78,10,-0.01,0,0.146,0.146342,1000,0,0,0,0,0
79,79,10,-0.01,0,0.148,0.148337,1000,0,0,0,0,0
80,80,10,-0.01,0,0.15,0.150333,1000,0,0,0,0,0
81,81,10,-0.01,0,0.152,0.152329,1000,0,0,0,0,0
82,82,10,-0.01,0,0.154,0.154324,1000,0,0,0,0,0
