"Point ID","Idp","Mk","Points:0","Points:1","Points:2","Points_Magnitude","Rhop","Type","Vel:0","Vel:1","Vel:2","Vel_Magnitude"
0,5002,1,0.002,0,0.002,0.00282843,1009.71,3,0,0,0,0
1,5003,1,0.002,0,0.004,0.00447214,1009.64,3,0,0,0,0
2,5004,1,0.002,0,0.006,0.00632456,1009.56,3,0,0,0,0
3,5005,1,0.002,0,0.008,0.00824621,1009.48,3,0,0,0,0
4,5006,1,0.002,0,0.01,0.010198,1009.41,3,0,0,0,0
5,5007,1,0.002,0,0.012,0.0121655,1009.33,3,0,0,0,0
6,5008,1,0.002,0,0.014,0.0141421,1009.25,3,0,0,0,0
7,5009,1,0.002,0,0.016,0.0161245,1009.17,3,0,0,0,0
8,5010,1,0.002,0,0.018,0.0181108,1009.1,3,0,0,0,0
9,5011,1,0.002,0,0.02,0.0200998,1009.02,3,0,0,0,0
10,5012,1,0.002,0,0.022,0.0220907,1008.94,3,0,0,0,0
11,5013,1,0.002,0,0.024,0.0240832,1008.87,3,0,0,0,0
12,5014,1,0.002,0,0.026,0.0260768,1008.79,3,0,0,0,0
13,5015,1,0.002,0,0.028,0.0280713,1008.71,3,0,0,0,0
14,5016,1,0.002,0,0.03,0.0300666,1008.63,3,0,0,0,0
15,5017,1,0.002,0,0.032,0.0320624,1008.56,3,0,0,0,0
16,5018,1,0.002,0,0.034,0.0340588,1008.48,3,0,0,0,0
17,5019,1,0.002,0,0.036,0.0360555,1008.4,3,0,0,0,0
18,5020,1,0.002,0,0.038,0.0380526,1008.33,3,0,0,0,0
19,5021,1,0.002,0,0.04,0.04005,1008.25,3,0,0,0,0
20,5022,1,0.002,0,0.042,0.0420476,1008.17,3,0,0,0,0
21,5023,1,0.002,0,0.044,0.0440454,1008.09,3,0,0,0,0
22,5024,1,0.002,0,0.046,0.0460435,1008.02,3,0,0,0,0
23,5025,1,0.002,0,0.048,0.0480416,1007.94,3,0,0,0,0
24,5026,1,0.002,0,0.05,0.05004,1007.86,3,0,0,0,0
25,5027,1,0.002,0,0.052,0.0520384,1007.78,3,0,0,0,0
26,5028,1,0.002,0,0.054,0.054037,1007.71,3,0,0,0,0
27,5029,1,0.002,0,0.056,0.0560357,1007.63,3,0,0,0,0
28,5030,1,0.002,0,0.058,0.0580345,1007.55,3,0,0,0,0
29,5031,1,0.002,0,0.06,0.0600333,1007.47,3,0,0,0,0
30,5032,1,0.002,0,0.062,0.0620322,1007.39,3,0,0,0,0
31,5033,1,0.002,0,0.064,0.0640312,1007.32,3,0,0,0,0
32,5034,1,0.002,0,0.066,0.0660303,1007.24,3,0,0,0,0
33,5035,1,0.002,0,0.068,0.0680294,1007.16,3,0,0,0,0
34,5036,1,0.002,0,0.07,0.0700286,1007.08,3,0,0,0,0
35,5037,1,0.002,0,0.072,0.0720278,1007.01,3,0,0,0,0
36,5038,1,0.002,0,0.074,0.074027,1006.93,3,0,0,0,0
37,5039,1,0.002,0,0.076,0.0760263,1006.85,3,0,0,0,0
38,5040,1,0.002,0,0.078,0.0780256,1006.77,3,0,0,0,0
39,5041,1,0.002,0,0.08,0.080025,1006.69,3,0,0,0,0
40,5042,1,0.002,0,0.082,0.0820244,1006.62,3,0,0,0,0
41,5043,1,0.002,0,0.084,0.0840238,1006.54,3,0,0,0,0
42,5044,1,0.002,0,0.086,0.0860233,1006.46,3,0,0,0,0
43,5045,1,0.002,0,0.088,0.0880227,1006.38,3,0,0,0,0
44,5046,1,0.002,0,0.09,0.0900222,1006.3,3,0,0,0,0
45,5047,1,0.002,0,0.092,0.0920217,1006.22,3,0,0,0,0
46,5048,1,0.002,0,0.094,0.0940213,1006.15,3,0,0,0,0
47,5049,1,0.002,0,0.096,0.0960208,1006.07,3,0,0,0,0
48,5050,1,0.002,0,0.098,0.0980204,1005.99,3,0,0,0,0
49,5051,1,0.002,0,0.1,0.10002,1005.91,3,0,0,0,0
50,5052,1,0.002,0,0.102,0.10202,1005.83,3,0,0,0,0
51,5053,1,0.002,0,0.104,0.104019,1005.75,3,0,0,0,0
52,5054,1,0.002,0,0.106,0.106019,1005.67,3,0,0,0,0
53,5055,1,0.002,0,0.108,0.108019,1005.6,3,0,0,0,0
54,5056,1,0.002,0,0.11,0.110018,1005.52,3,0,0,0,0
55,5057,1,0.002,0,0.112,0.112018,1005.44,3,0,0,0,0
56,5058,1,0.002,0,0.114,0.114018,1005.36,3,0,0,0,0
57,5059,1,0.002,0,0.116,0.116017,1005.28,3,0,0,0,0
58,5060,1,0.002,0,0.118,0.118017,1005.2,3,0,0,0,0
59,5061,1,0.002,0,0.12,0.120017,1005.12,3,0,0,0,0
60,5062,1,0.002,0,0.122,0.122016,1005.04,3,0,0,0,0
61,5063,1,0.002,0,0.124,0.124016,1004.97,3,0,0,0,0
62,5064,1,0.002,0,0.126,0.126016,1004.89,3,0,0,0,0
63,5065,1,0.002,0,0.128,0.128016,1004.81,3,0,0,0,0
64,5066,1,0.002,0,0.13,0.130015,1004.73,3,0,0,0,0
65,5067,1,0.002,0,0.132,0.132015,1004.65,3,0,0,0,0
66,5068,1,0.002,0,0.134,0.134015,1004.57,3,0,0,0,0
67,5069,1,0.002,0,0.136,0.136015,1004.49,3,0,0,0,0
68,5070,1,0.002,0,0.138,0.138014,1004.41,3,0,0,0,0
69,5071,1,0.002,0,0.14,0.140014,1004.33,3,0,0,0,0
70,5072,1,0.002,0,0.142,0.142014,1004.25,3,0,0,0,0
71,5073,1,0.002,0,0.144,0.144014,1004.17,3,0,0,0,0
72,5074,1,0.002,0,0.146,0.146014,1004.1,3,0,0,0,0
73,5075,1,0.002,0,0.148,0.148014,1004.02,3,0,0,0,0
74,5076,1,0.002,0,0.15,0.150013,1003.94,3,0,0,0,0
75,5077,1,0.002,0,0.152,0.152013,1003.86,3,0,0,0,0
76,5078,1,0.002,0,0.154,0.154013,1003.78,3,0,0,0,0
77,5079,1,0.002,0,0.156,0.156013,1003.7,3,0,0,0,0
78,5080,1,0.002,0,0.158,0.158013,1003.62,3,0,0,0,0
79,5081,1,0.002,0,0.16,0.160012,1003.54,3,0,0,0,0
80,5082,1,0.002,0,0.162,0.162012,1003.46,3,0,0,0,0
81,5083,1,0.002,0,0.164,0.164012,1003.38,3,0,0,0,0
82,5084,1,0.002,0,0.166,0.166012,1003.3,3,0,0,0,0
83,5085,1,0.002,0,0.168,0.168012,1003.22,3,0,0,0,0
84,5086,1,0.002,0,0.17,0.170012,1003.14,3,0,0,0,0
85,5087,1,0.002,0,0.172,0.172012,1003.06,3,0,0,0,0
86,5088,1,0.002,0,0.174,0.174011,1002.98,3,0,0,0,0
87,5089,1,0.002,0,0.176,0.176011,1002.9,3,0,0,0,0
88,5090,1,0.002,0,0.178,0.178011,1002.82,3,0,0,0,0
89,5091,1,0.002,0,0.18,0.180011,1002.74,3,0,0,0,0
90,5092,1,0.002,0,0.182,0.182011,1002.66,3,0,0,0,0
91,5093,1,0.002,0,0.184,0.184011,1002.58,3,0,0,0,0
92,5094,1,0.002,0,0.186,0.186011,1002.5,3,0,0,0,0
93,5095,1,0.002,0,0.188,0.188011,1002.42,3,0,0,0,0
94,5096,1,0.002,0,0.19,0.190011,1002.34,3,0,0,0,0
95,5097,1,0.002,0,0.192,0.19201,1002.26,3,0,0,0,0
96,5098,1,0.002,0,0.194,0.19401,1002.18,3,0,0,0,0
97,5099,1,0.002,0,0.196,0.19601,1002.1,3,0,0,0,0
98,5100,1,0.002,0,0.198,0.19801,1002.02,3,0,0,0,0
99,5101,1,0.002,0,0.2,0.20001,1001.94,3,0,0,0,0
100,5102,1,0.002,0,0.202,0.20201,1001.86,3,0,0,0,0
101,5103,1,0.002,0,0.204,0.20401,1001.78,3,0,0,0,0
102,5104,1,0.002,0,0.206,0.20601,1001.7,3,0,0,0,0
103,5105,1,0.002,0,0.208,0.20801,1001.62,3,0,0,0,0
104,5106,1,0.002,0,0.21,0.21001,1001.54,3,0,0,0,0
105,5107,1,0.002,0,0.212,0.212009,1001.46,3,0,0,0,0
106,5108,1,0.002,0,0.214,0.214009,1001.38,3,0,0,0,0
107,5109,1,0.002,0,0.216,0.216009,1001.3,3,0,0,0,0
108,5110,1,0.002,0,0.218,0.218009,1001.22,3,0,0,0,0
109,5111,1,0.002,0,0.22,0.220009,1001.13,3,0,0,0,0
110,5112,1,0.002,0,0.222,0.222009,1001.05,3,0,0,0,0
111,5113,1,0.002,0,0.224,0.224009,1000.97,3,0,0,0,0
112,5114,1,0.002,0,0.226,0.226009,1000.89,3,0,0,0,0
113,5115,1,0.002,0,0.228,0.228009,1000.81,3,0,0,0,0
114,5116,1,0.002,0,0.23,0.230009,1000.73,3,0,0,0,0
115,5117,1,0.002,0,0.232,0.232009,1000.65,3,0,0,0,0
116,5118,1,0.002,0,0.234,0.234009,1000.57,3,0,0,0,0
117,5119,1,0.002,0,0.236,0.236008,1000.49,3,0,0,0,0
118,5120,1,0.002,0,0.238,0.238008,1000.41,3,0,0,0,0
119,5121,1,0.002,0,0.24,0.240008,1000.32,3,0,0,0,0
120,5122,1,0.002,0,0.242,0.242008,1000.24,3,0,0,0,0
121,5123,1,0.002,0,0.244,0.244008,1000.16,3,0,0,0,0
122,5124,1,0.002,0,0.246,0.246008,1000.08,3,0,0,0,0
123,5125,1,0.002,0,0.248,0.248008,1000,3,0,0,0,0
124,5126,1,0.004,0,0.002,0.00447214,1009.71,3,0,0,0,0
125,5127,1,0.004,0,0.004,0.00565685,1009.64,3,0,0,0,0
126,5128,1,0.004,0,0.006,0.0072111,1009.56,3,0,0,0,0
127,5129,1,0.004,0,0.008,0.00894427,1009.48,3,0,0,0,0
128,5130,1,0.004,0,0.01,0.0107703,1009.41,3,0,0,0,0
129,5131,1,0.004,0,0.012,0.0126491,1009.33,3,0,0,0,0
130,5132,1,0.004,0,0.014,0.0145602,1009.25,3,0,0,0,0
131,5133,1,0.004,0,0.016,0.0164924,1009.17,3,0,0,0,0
132,5134,1,0.004,0,0.018,0.0184391,1009.1,3,0,0,0,0
133,5135,1,0.004,0,0.02,0.0203961,1009.02,3,0,0,0,0
134,5136,1,0.004,0,0.022,0.0223607,1008.94,3,0,0,0,0
135,5137,1,0.004,0,0.024,0.024331,1008.87,3,0,0,0,0
136,5138,1,0.004,0,0.026,0.0263059,1008.79,3,0,0,0,0
137,5139,1,0.004,0,0.028,0.0282843,1008.71,3,0,0,0,0
138,5140,1,0.004,0,0.03,0.0302655,1008.63,3,0,0,0,0
139,5141,1,0.004,0,0.032,0.032249,1008.56,3,0,0,0,0
140,5142,1,0.004,0,0.034,0.0342345,1008.48,3,0,0,0,0
141,5143,1,0.004,0,0.036,0.0362215,1008.4,3,0,0,0,0
142,5144,1,0.004,0,0.038,0.0382099,1008.33,3,0,0,0,0
143,5145,1,0.004,0,0.04,0.0401995,1008.25,3,0,0,0,0
144,5146,1,0.004,0,0.042,0.04219,1008.17,3,0,0,0,0
145,5147,1,0.004,0,0.044,0.0441814,1008.09,3,0,0,0,0
146,5148,1,0.004,0,0.046,0.0461736,1008.02,3,0,0,0,0
147,5149,1,0.004,0,0.048,0.0481664,1007.94,3,0,0,0,0
148,5150,1,0.004,0,0.05,0.0501597,1007.86,3,0,0,0,0
149,5151,1,0.004,0,0.052,0.0521536,1007.78,3,0,0,0,0
150,5152,1,0.004,0,0.054,0.0541479,1007.71,3,0,0,0,0
151,5153,1,0.004,0,0.056,0.0561427,1007.63,3,0,0,0,0
152,5154,1,0.004,0,0.058,0.0581378,1007.55,3,0,0,0,0
153,5155,1,0.004,0,0.06,0.0601332,1007.47,3,0,0,0,0
154,5156,1,0.004,0,0.062,0.0621289,1007.39,3,0,0,0,0
155,5157,1,0.004,0,0.064,0.0641249,1007.32,3,0,0,0,0
156,5158,1,0.004,0,0.066,0.0661211,1007.24,3,0,0,0,0
157,5159,1,0.004,0,0.068,0.0681176,1007.16,3,0,0,0,0
158,5160,1,0.004,0,0.07,0.0701142,1007.08,3,0,0,0,0
159,5161,1,0.004,0,0.072,0.072111,1007.01,3,0,0,0,0
160,5162,1,0.004,0,0.074,0.074108,1006.93,3,0,0,0,0
161,5163,1,0.004,0,0.076,0.0761052,1006.85,3,0,0,0,0
162,5164,1,0.004,0,0.078,0.0781025,1006.77,3,0,0,0,0
163,5165,1,0.004,0,0.08,0.0800999,1006.69,3,0,0,0,0
164,5166,1,0.004,0,0.082,0.0820975,1006.62,3,0,0,0,0
165,5167,1,0.004,0,0.084,0.0840952,1006.54,3,0,0,0,0
166,5168,1,0.004,0,0.086,0.086093,1006.46,3,0,0,0,0
167,5169,1,0.004,0,0.088,0.0880909,1006.38,3,0,0,0,0
168,5170,1,0.004,0,0.09,0.0900889,1006.3,3,0,0,0,0
169,5171,1,0.004,0,0.092,0.0920869,1006.22,3,0,0,0,0
170,5172,1,0.004,0,0.094,0.0940851,1006.15,3,0,0,0,0
171,5173,1,0.004,0,0.096,0.0960833,1006.07,3,0,0,0,0
172,5174,1,0.004,0,0.098,0.0980816,1005.99,3,0,0,0,0
173,5175,1,0.004,0,0.1,0.10008,1005.91,3,0,0,0,0
174,5176,1,0.004,0,0.102,0.102078,1005.83,3,0,0,0,0
175,5177,1,0.004,0,0.104,0.104077,1005.75,3,0,0,0,0
176,5178,1,0.004,0,0.106,0.106075,1005.67,3,0,0,0,0
177,5179,1,0.004,0,0.108,0.108074,1005.6,3,0,0,0,0
178,5180,1,0.004,0,0.11,0.110073,1005.52,3,0,0,0,0
179,5181,1,0.004,0,0.112,0.112071,1005.44,3,0,0,0,0
180,5182,1,0.004,0,0.114,0.11407,1005.36,3,0,0,0,0
181,5183,1,0.004,0,0.116,0.116069,1005.28,3,0,0,0,0
182,5184,1,0.004,0,0.118,0.118068,1005.2,3,0,0,0,0
183,5185,1,0.004,0,0.12,0.120067,1005.12,3,0,0,0,0
184,5186,1,0.004,0,0.122,0.122066,1005.04,3,0,0,0,0
185,5187,1,0.004,0,0.124,0.124064,1004.97,3,0,0,0,0
186,5188,1,0.004,0,0.126,0.126063,1004.89,3,0,0,0,0
187,5189,1,0.004,0,0.128,0.128062,1004.81,3,0,0,0,0
188,5190,1,0.004,0,0.13,0.130062,1004.73,3,0,0,0,0
189,5191,1,0.004,0,0.132,0.132061,1004.65,3,0,0,0,0
190,5192,1,0.004,0,0.134,0.13406,1004.57,3,0,0,0,0
191,5193,1,0.004,0,0.136,0.136059,1004.49,3,0,0,0,0
192,5194,1,0.004,0,0.138,0.138058,1004.41,3,0,0,0,0
193,5195,1,0.004,0,0.14,0.140057,1004.33,3,0,0,0,0
194,5196,1,0.004,0,0.142,0.142056,1004.25,3,0,0,0,0
195,5197,1,0.004,0,0.144,0.144056,1004.17,3,0,0,0,0
196,5198,1,0.004,0,0.146,0.146055,1004.1,3,0,0,0,0
197,5199,1,0.004,0,0.148,0.148054,1004.02,3,0,0,0,0
198,5200,1,0.004,0,0.15,0.150053,1003.94,3,0,0,0,0
199,5201,1,0.004,0,0.152,0.152053,1003.86,3,0,0,0,0
200,5202,1,0.004,0,0.154,0.154052,1003.78,3,0,0,0,0
201,5203,1,0.004,0,0.156,0.156051,1003.7,3,0,0,0,0
202,5204,1,0.004,0,0.158,0.158051,1003.62,3,0,0,0,0
203,5205,1,0.004,0,0.16,0.16005,1003.54,3,0,0,0,0
204,5206,1,0.004,0,0.162,0.162049,1003.46,3,0,0,0,0
205,5207,1,0.004,0,0.164,0.164049,1003.38,3,0,0,0,0
206,5208,1,0.004,0,0.166,0.166048,1003.3,3,0,0,0,0
207,5209,1,0.004,0,0.168,0.168048,1003.22,3,0,0,0,0
208,5210,1,0.004,0,0.17,0.170047,1003.14,3,0,0,0,0
209,5211,1,0.004,0,0.172,0.172047,1003.06,3,0,0,0,0
210,5212,1,0.004,0,0.174,0.174046,1002.98,3,0,0,0,0
211,5213,1,0.004,0,0.176,0.176045,1002.9,3,0,0,0,0
212,5214,1,0.004,0,0.178,0.178045,1002.82,3,0,0,0,0
213,5215,1,0.004,0,0.18,0.180044,1002.74,3,0,0,0,0
214,5216,1,0.004,0,0.182,0.182044,1002.66,3,0,0,0,0
215,5217,1,0.004,0,0.184,0.184043,1002.58,3,0,0,0,0
216,5218,1,0.004,0,0.186,0.186043,1002.5,3,0,0,0,0
217,5219,1,0.004,0,0.188,0.188043,1002.42,3,0,0,0,0
218,5220,1,0.004,0,0.19,0.190042,1002.34,3,0,0,0,0
219,5221,1,0.004,0,0.192,0.192042,1002.26,3,0,0,0,0
220,5222,1,0.004,0,0.194,0.194041,1002.18,3,0,0,0,0
221,5223,1,0.004,0,0.196,0.196041,1002.1,3,0,0,0,0
222,5224,1,0.004,0,0.198,0.19804,1002.02,3,0,0,0,0
223,5225,1,0.004,0,0.2,0.20004,1001.94,3,0,0,0,0
224,5226,1,0.004,0,0.202,0.20204,1001.86,3,0,0,0,0
225,5227,1,0.004,0,0.204,0.204039,1001.78,3,0,0,0,0
226,5228,1,0.004,0,0.206,0.206039,1001.7,3,0,0,0,0
227,5229,1,0.004,0,0.208,0.208038,1001.62,3,0,0,0,0
228,5230,1,0.004,0,0.21,0.210038,1001.54,3,0,0,0,0
229,5231,1,0.004,0,0.212,0.212038,1001.46,3,0,0,0,0
