"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
0,0.0,0.0,0.0,1000.0,0,10,-0.454,0.0,-0.004
1,0.0,0.0,0.0,1000.0,0,10,-0.452,0.0,-0.004
2,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,-0.004
3,0.0,0.0,0.0,1000.0,0,10,-0.448,0.0,-0.004
4,0.0,0.0,0.0,1000.0,0,10,-0.446,0.0,-0.004
5,0.0,0.0,0.0,1000.0,0,10,-0.444,0.0,-0.004
6,0.0,0.0,0.0,1000.0,0,10,-0.442,0.0,-0.004
7,0.0,0.0,0.0,1000.0,0,10,-0.44,0.0,-0.004
8,0.0,0.0,0.0,1000.0,0,10,-0.438,0.0,-0.004
9,0.0,0.0,0.0,1000.0,0,10,-0.436,0.0,-0.004
10,0.0,0.0,0.0,1000.0,0,10,-0.434,0.0,-0.004
11,0.0,0.0,0.0,1000.0,0,10,-0.432,0.0,-0.004
12,0.0,0.0,0.0,1000.0,0,10,-0.43,0.0,-0.004
13,0.0,0.0,0.0,1000.0,0,10,-0.428,0.0,-0.004
14,0.0,0.0,0.0,1000.0,0,10,-0.426,0.0,-0.004
15,0.0,0.0,0.0,1000.0,0,10,-0.42400000000000004,0.0,-0.004
16,0.0,0.0,0.0,1000.0,0,10,-0.42200000000000004,0.0,-0.004
17,0.0,0.0,0.0,1000.0,0,10,-0.42000000000000004,0.0,-0.004
18,0.0,0.0,0.0,1000.0,0,10,-0.41800000000000004,0.0,-0.004
19,0.0,0.0,0.0,1000.0,0,10,-0.41600000000000004,0.0,-0.004
20,0.0,0.0,0.0,1000.0,0,10,-0.41400000000000003,0.0,-0.004
21,0.0,0.0,0.0,1000.0,0,10,-0.41200000000000003,0.0,-0.004
22,0.0,0.0,0.0,1000.0,0,10,-0.41000000000000003,0.0,-0.004
23,0.0,0.0,0.0,1000.0,0,10,-0.40800000000000003,0.0,-0.004
24,0.0,0.0,0.0,1000.0,0,10,-0.406,0.0,-0.004
25,0.0,0.0,0.0,1000.0,0,10,-0.404,0.0,-0.004
26,0.0,0.0,0.0,1000.0,0,10,-0.402,0.0,-0.004
27,0.0,0.0,0.0,1000.0,0,10,-0.4,0.0,-0.004
28,0.0,0.0,0.0,1000.0,0,10,-0.398,0.0,-0.004
29,0.0,0.0,0.0,1000.0,0,10,-0.396,0.0,-0.004
30,0.0,0.0,0.0,1000.0,0,10,-0.394,0.0,-0.004
31,0.0,0.0,0.0,1000.0,0,10,-0.392,0.0,-0.004
