"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
1126,0.0,0.0,0.0,1001.0208410088566,3,1,-0.44,0.0,0.01
1127,0.0,0.0,0.0,1000.8981786788087,3,1,-0.44,0.0,0.02
1128,0.0,0.0,0.0,1000.7754260871122,3,1,-0.44,0.0,0.03
1129,0.0,0.0,0.0,1000.652583089734,3,1,-0.44,0.0,0.04
1130,0.0,0.0,0.0,1000.529649542288,3,1,-0.44,0.0,0.05
1131,0.0,0.0,0.0,1000.4066253000327,3,1,-0.44,0.0,0.06
1132,0.0,0.0,0.0,1000.2835102178705,3,1,-0.44,0.0,0.07
1133,0.0,0.0,0.0,1000.1603041503462,3,1,-0.44,0.0,0.08
1134,0.0,0.0,0.0,1000.0370069516459,3,1,-0.44,0.0,0.09
1135,0.0,0.0,0.0,1001.0208410088566,3,1,-0.43,0.0,0.01
1136,0.0,0.0,0.0,1000.8981786788087,3,1,-0.43,0.0,0.02
1137,0.0,0.0,0.0,1000.7754260871122,3,1,-0.43,0.0,0.03
1138,0.0,0.0,0.0,1000.652583089734,3,1,-0.43,0.0,0.04
1139,0.0,0.0,0.0,1000.529649542288,3,1,-0.43,0.0,0.05
1140,0.0,0.0,0.0,1000.4066253000327,3,1,-0.43,0.0,0.06
1141,0.0,0.0,0.0,1000.2835102178705,3,1,-0.43,0.0,0.07
1142,0.0,0.0,0.0,1000.1603041503462,3,1,-0.43,0.0,0.08
1143,0.0,0.0,0.0,1000.0370069516459,3,1,-0.43,0.0,0.09
1144,0.0,0.0,0.0,1001.0208410088566,3,1,-0.42,0.0,0.01
1145,0.0,0.0,0.0,1000.8981786788087,3,1,-0.42,0.0,0.02
1146,0.0,0.0,0.0,1000.7754260871122,3,1,-0.42,0.0,0.03
1147,0.0,0.0,0.0,1000.652583089734,3,1,-0.42,0.0,0.04
1148,0.0,0.0,0.0,1000.529649542288,3,1,-0.42,0.0,0.05
1149,0.0,0.0,0.0,1000.4066253000327,3,1,-0.42,0.0,0.06
1150,0.0,0.0,0.0,1000.2835102178705,3,1,-0.42,0.0,0.07
1151,0.0,0.0,0.0,1000.1603041503462,3,1,-0.42,0.0,0.08
1152,0.0,0.0,0.0,1000.0370069516459,3,1,-0.42,0.0,0.09
1153,0.0,0.0,0.0,1001.0208410088566,3,1,-0.41,0.0,0.01
1154,0.0,0.0,0.0,1000.8981786788087,3,1,-0.41,0.0,0.02
1155,0.0,0.0,0.0,1000.7754260871122,3,1,-0.41,0.0,0.03
1156,0.0,0.0,0.0,1000.652583089734,3,1,-0.41,0.0,0.04
1157,0.0,0.0,0.0,1000.529649542288,3,1,-0.41,0.0,0.05
1158,0.0,0.0,0.0,1000.4066253000327,3,1,-0.41,0.0,0.06
1159,0.0,0.0,0.0,1000.2835102178705,3,1,-0.41,0.0,0.07
1160,0.0,0.0,0.0,1000.1603041503462,3,1,-0.41,0.0,0.08
1161,0.0,0.0,0.0,1000.0370069516459,3,1,-0.41,0.0,0.09
1162,0.0,0.0,0.0,1001.0208410088566,3,1,-0.4,0.0,0.01
1163,0.0,0.0,0.0,1000.8981786788087,3,1,-0.4,0.0,0.02
1164,0.0,0.0,0.0,1000.7754260871122,3,1,-0.4,0.0,0.03
1165,0.0,0.0,0.0,1000.652583089734,3,1,-0.4,0.0,0.04
1166,0.0,0.0,0.0,1000.529649542288,3,1,-0.4,0.0,0.05
1167,0.0,0.0,0.0,1000.4066253000327,3,1,-0.4,0.0,0.06
1168,0.0,0.0,0.0,1000.2835102178705,3,1,-0.4,0.0,0.07
1169,0.0,0.0,0.0,1000.1603041503462,3,1,-0.4,0.0,0.08
1170,0.0,0.0,0.0,1000.0370069516459,3,1,-0.4,0.0,0.09
1171,0.0,0.0,0.0,1001.0208410088566,3,1,-0.39,0.0,0.01
1172,0.0,0.0,0.0,1000.8981786788087,3,1,-0.39,0.0,0.02
1173,0.0,0.0,0.0,1000.7754260871122,3,1,-0.39,0.0,0.03
1174,0.0,0.0,0.0,1000.652583089734,3,1,-0.39,0.0,0.04
1175,0.0,0.0,0.0,1000.529649542288,3,1,-0.39,0.0,0.05
1176,0.0,0.0,0.0,1000.4066253000327,3,1,-0.39,0.0,0.06
1177,0.0,0.0,0.0,1000.2835102178705,3,1,-0.39,0.0,0.07
1178,0.0,0.0,0.0,1000.1603041503462,3,1,-0.39,0.0,0.08
1179,0.0,0.0,0.0,1000.0370069516459,3,1,-0.39,0.0,0.09
1180,0.0,0.0,0.0,1001.0208410088566,3,1,-0.38,0.0,0.01
1181,0.0,0.0,0.0,1000.8981786788087,3,1,-0.38,0.0,0.02
1182,0.0,0.0,0.0,1000.7754260871122,3,1,-0.38,0.0,0.03
1183,0.0,0.0,0.0,1000.652583089734,3,1,-0.38,0.0,0.04
1184,0.0,0.0,0.0,1000.529649542288,3,1,-0.38,0.0,0.05
1185,0.0,0.0,0.0,1000.4066253000327,3,1,-0.38,0.0,0.06
1186,0.0,0.0,0.0,1000.2835102178705,3,1,-0.38,0.0,0.07
1187,0.0,0.0,0.0,1000.1603041503462,3,1,-0.38,0.0,0.08
1188,0.0,0.0,0.0,1000.0370069516459,3,1,-0.38,0.0,0.09
1189,0.0,0.0,0.0,1001.0208410088566,3,1,-0.37,0.0,0.01
1190,0.0,0.0,0.0,1000.8981786788087,3,1,-0.37,0.0,0.02
1191,0.0,0.0,0.0,1000.7754260871122,3,1,-0.37,0.0,0.03
1192,0.0,0.0,0.0,1000.652583089734,3,1,-0.37,0.0,0.04
1193,0.0,0.0,0.0,1000.529649542288,3,1,-0.37,0.0,0.05
1194,0.0,0.0,0.0,1000.4066253000327,3,1,-0.37,0.0,0.06
1195,0.0,0.0,0.0,1000.2835102178705,3,1,-0.37,0.0,0.07
1196,0.0,0.0,0.0,1000.1603041503462,3,1,-0.37,0.0,0.08
1197,0.0,0.0,0.0,1000.0370069516459,3,1,-0.37,0.0,0.09
1198,0.0,0.0,0.0,1001.0208410088566,3,1,-0.36,0.0,0.01
1199,0.0,0.0,0.0,1000.8981786788087,3,1,-0.36,0.0,0.02
1200,0.0,0.0,0.0,1000.7754260871122,3,1,-0.36,0.0,0.03
1201,0.0,0.0,0.0,1000.652583089734,3,1,-0.36,0.0,0.04
1202,0.0,0.0,0.0,1000.529649542288,3,1,-0.36,0.0,0.05
1203,0.0,0.0,0.0,1000.4066253000327,3,1,-0.36,0.0,0.06
1204,0.0,0.0,0.0,1000.2835102178705,3,1,-0.36,0.0,0.07
1205,0.0,0.0,0.0,1000.1603041503462,3,1,-0.36,0.0,0.08
1206,0.0,0.0,0.0,1000.0370069516459,3,1,-0.36,0.0,0.09
1207,0.0,0.0,0.0,1001.0208410088566,3,1,-0.35,0.0,0.01
1208,0.0,0.0,0.0,1000.8981786788087,3,1,-0.35,0.0,0.02
1209,0.0,0.0,0.0,1000.7754260871122,3,1,-0.35,0.0,0.03
1210,0.0,0.0,0.0,1000.652583089734,3,1,-0.35,0.0,0.04
1211,0.0,0.0,0.0,1000.529649542288,3,1,-0.35,0.0,0.05
1212,0.0,0.0,0.0,1000.4066253000327,3,1,-0.35,0.0,0.06
1213,0.0,0.0,0.0,1000.2835102178705,3,1,-0.35,0.0,0.07
1214,0.0,0.0,0.0,1000.1603041503462,3,1,-0.35,0.0,0.08
1215,0.0,0.0,0.0,1000.0370069516459,3,1,-0.35,0.0,0.09
1216,0.0,0.0,0.0,1001.0208410088566,3,1,-0.34,0.0,0.01
1217,0.0,0.0,0.0,1000.8981786788087,3,1,-0.34,0.0,0.02
1218,0.0,0.0,0.0,1000.7754260871122,3,1,-0.34,0.0,0.03
1219,0.0,0.0,0.0,1000.652583089734,3,1,-0.34,0.0,0.04
1220,0.0,0.0,0.0,1000.529649542288,3,1,-0.34,0.0,0.05
1221,0.0,0.0,0.0,1000.4066253000327,3,1,-0.34,0.0,0.06
1222,0.0,0.0,0.0,1000.2835102178705,3,1,-0.34,0.0,0.07
1223,0.0,0.0,0.0,1000.1603041503462,3,1,-0.34,0.0,0.08
1224,0.0,0.0,0.0,1000.0370069516459,3,1,-0.34,0.0,0.09
1225,0.0,0.0,0.0,1001.0208410088566,3,1,-0.33,0.0,0.01
1226,0.0,0.0,0.0,1000.8981786788087,3,1,-0.33,0.0,0.02
1227,0.0,0.0,0.0,1000.7754260871122,3,1,-0.33,0.0,0.03
1228,0.0,0.0,0.0,1000.652583089734,3,1,-0.33,0.0,0.04
1229,0.0,0.0,0.0,1000.529649542288,3,1,-0.33,0.0,0.05
1230,0.0,0.0,0.0,1000.4066253000327,3,1,-0.33,0.0,0.06
1231,0.0,0.0,0.0,1000.2835102178705,3,1,-0.33,0.0,0.07
1232,0.0,0.0,0.0,1000.1603041503462,3,1,-0.33,0.0,0.08
1233,0.0,0.0,0.0,1000.0370069516459,3,1,-0.33,0.0,0.09
1234,0.0,0.0,0.0,1001.0208410088566,3,1,-0.32,0.0,0.01
1235,0.0,0.0,0.0,1000.8981786788087,3,1,-0.32,0.0,0.02
1236,0.0,0.0,0.0,1000.7754260871122,3,1,-0.32,0.0,0.03
1237,0.0,0.0,0.0,1000.652583089734,3,1,-0.32,0.0,0.04
1238,0.0,0.0,0.0,1000.529649542288,3,1,-0.32,0.0,0.05
1239,0.0,0.0,0.0,1000.4066253000327,3,1,-0.32,0.0,0.06
1240,0.0,0.0,0.0,1000.2835102178705,3,1,-0.32,0.0,0.07
1241,0.0,0.0,0.0,1000.1603041503462,3,1,-0.32,0.0,0.08
1242,0.0,0.0,0.0,1000.0370069516459,3,1,-0.32,0.0,0.09
1243,0.0,0.0,0.0,1001.0208410088566,3,1,-0.31,0.0,0.01
1244,0.0,0.0,0.0,1000.8981786788087,3,1,-0.31,0.0,0.02
1245,0.0,0.0,0.0,1000.7754260871122,3,1,-0.31,0.0,0.03
1246,0.0,0.0,0.0,1000.652583089734,3,1,-0.31,0.0,0.04
1247,0.0,0.0,0.0,1000.529649542288,3,1,-0.31,0.0,0.05
1248,0.0,0.0,0.0,1000.4066253000327,3,1,-0.31,0.0,0.06
1249,0.0,0.0,0.0,1000.2835102178705,3,1,-0.31,0.0,0.07
1250,0.0,0.0,0.0,1000.1603041503462,3,1,-0.31,0.0,0.08
1251,0.0,0.0,0.0,1000.0370069516459,3,1,-0.31,0.0,0.09
1252,0.0,0.0,0.0,1001.0208410088566,3,1,-0.3,0.0,0.01
1253,0.0,0.0,0.0,1000.8981786788087,3,1,-0.3,0.0,0.02
