"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.03999999999999998,0.0,0.04,0.05656854249492379,-0.48,0.0,-0.03
1,10,0.02999999999999997,0.0,0.04,0.04999999999999998,-0.47,0.0,-0.03
2,10,0.019999999999999962,0.0,0.04,0.04472135954999578,-0.45999999999999996,0.0,-0.03
3,10,0.009999999999999953,0.0,0.04,0.041231056256176596,-0.44999999999999996,0.0,-0.03
4,10,0.0,0.0,0.04,0.04,-0.44,0.0,-0.03
5,10,0.0,0.0,0.04,0.04,-0.43,0.0,-0.03
6,10,0.0,0.0,0.04,0.04,-0.42,0.0,-0.03
7,10,0.0,0.0,0.04,0.04,-0.41,0.0,-0.03
8,10,0.0,0.0,0.04,0.04,-0.39999999999999997,0.0,-0.03
9,10,0.0,0.0,0.04,0.04,-0.39,0.0,-0.03
10,10,0.0,0.0,0.04,0.04,-0.38,0.0,-0.03
11,10,0.0,0.0,0.04,0.04,-0.37,0.0,-0.03
12,10,0.0,0.0,0.04,0.04,-0.36,0.0,-0.03
13,10,0.0,0.0,0.04,0.04,-0.35,0.0,-0.03
14,10,0.0,0.0,0.04,0.04,-0.33999999999999997,0.0,-0.03
15,10,0.0,0.0,0.04,0.04,-0.32999999999999996,0.0,-0.03
16,10,0.0,0.0,0.04,0.04,-0.31999999999999995,0.0,-0.03
17,10,0.0,0.0,0.04,0.04,-0.30999999999999994,0.0,-0.03
18,10,0.0,0.0,0.04,0.04,-0.3,0.0,-0.03
19,10,0.0,0.0,0.04,0.04,-0.29,0.0,-0.03
20,10,0.0,0.0,0.04,0.04,-0.27999999999999997,0.0,-0.03
21,10,0.0,0.0,0.04,0.04,-0.27,0.0,-0.03
22,10,0.0,0.0,0.04,0.04,-0.26,0.0,-0.03
23,10,0.0,0.0,0.04,0.04,-0.24999999999999997,0.0,-0.03
24,10,0.0,0.0,0.04,0.04,-0.24,0.0,-0.03
25,10,0.0,0.0,0.04,0.04,-0.22999999999999998,0.0,-0.03
26,10,0.0,0.0,0.04,0.04,-0.21999999999999997,0.0,-0.03
27,10,0.0,0.0,0.04,0.04,-0.20999999999999996,0.0,-0.03
28,10,0.0,0.0,0.04,0.04,-0.19999999999999996,0.0,-0.03
29,10,0.0,0.0,0.04,0.04,-0.19,0.0,-0.03
30,10,0.0,0.0,0.04,0.04,-0.18,0.0,-0.03
31,10,0.0,0.0,0.04,0.04,-0.16999999999999998,0.0,-0.03
32,10,0.0,0.0,0.04,0.04,-0.15999999999999998,0.0,-0.03
33,10,0.0,0.0,0.04,0.04,-0.14999999999999997,0.0,-0.03
34,10,0.0,0.0,0.04,0.04,-0.13999999999999996,0.0,-0.03
35,10,0.0,0.0,0.04,0.04,-0.12999999999999995,0.0,-0.03
36,10,0.0,0.0,0.04,0.04,-0.12,0.0,-0.03
37,10,0.0,0.0,0.04,0.04,-0.10999999999999999,0.0,-0.03
38,10,0.0,0.0,0.04,0.04,-0.09999999999999998,0.0,-0.03
39,10,0.0,0.0,0.04,0.04,-0.08999999999999997,0.0,-0.03
40,10,0.0,0.0,0.04,0.04,-0.07999999999999996,0.0,-0.03
41,10,0.0,0.0,0.04,0.04,-0.06999999999999995,0.0,-0.03
42,10,0.0,0.0,0.04,0.04,-0.06,0.0,-0.03
43,10,0.0,0.0,0.04,0.04,-0.04999999999999999,0.0,-0.03
44,10,0.0,0.0,0.04,0.04,-0.03999999999999998,0.0,-0.03
45,10,0.0,0.0,0.04,0.04,-0.02999999999999997,0.0,-0.03
46,10,0.0,0.0,0.04,0.04,-0.019999999999999962,0.0,-0.03
47,10,0.0,0.0,0.04,0.04,-0.009999999999999953,0.0,-0.03
48,10,0.0,0.0,0.04,0.04,0.0,0.0,-0.03
49,10,0.0,0.0,0.04,0.04,0.010000000000000009,0.0,-0.03
50,10,0.0,0.0,0.04,0.04,0.020000000000000018,0.0,-0.03
51,10,0.0,0.0,0.04,0.04,0.030000000000000027,0.0,-0.03
52,10,0.0,0.0,0.04,0.04,0.040000000000000036,0.0,-0.03
53,10,0.0,0.0,0.04,0.04,0.050000000000000044,0.0,-0.03
54,10,0.0,0.0,0.04,0.04,0.06000000000000005,0.0,-0.03
55,10,0.0,0.0,0.04,0.04,0.07000000000000006,0.0,-0.03
56,10,0.0,0.0,0.04,0.04,0.08000000000000007,0.0,-0.03
57,10,0.0,0.0,0.04,0.04,0.09000000000000008,0.0,-0.03
58,10,0.0,0.0,0.04,0.04,0.09999999999999998,0.0,-0.03
59,10,0.0,0.0,0.04,0.04,0.10999999999999999,0.0,-0.03
60,10,0.0,0.0,0.04,0.04,0.12,0.0,-0.03
61,10,0.0,0.0,0.04,0.04,0.13,0.0,-0.03
62,10,0.0,0.0,0.04,0.04,0.14,0.0,-0.03
63,10,0.0,0.0,0.04,0.04,0.15000000000000002,0.0,-0.03
64,10,0.0,0.0,0.04,0.04,0.16000000000000003,0.0,-0.03
65,10,0.0,0.0,0.04,0.04,0.17000000000000004,0.0,-0.03
66,10,0.0,0.0,0.04,0.04,0.18000000000000005,0.0,-0.03
67,10,0.0,0.0,0.04,0.04,0.19000000000000006,0.0,-0.03
68,10,0.0,0.0,0.04,0.04,0.20000000000000007,0.0,-0.03
69,10,0.0,0.0,0.04,0.04,0.21000000000000008,0.0,-0.03
70,10,0.0,0.0,0.04,0.04,0.22000000000000008,0.0,-0.03
71,10,0.0,0.0,0.04,0.04,0.22999999999999998,0.0,-0.03
72,10,0.0,0.0,0.04,0.04,0.24,0.0,-0.03
73,10,0.0,0.0,0.04,0.04,0.25,0.0,-0.03
74,10,0.0,0.0,0.04,0.04,0.26,0.0,-0.03
75,10,0.0,0.0,0.04,0.04,0.27,0.0,-0.03
76,10,0.0,0.0,0.04,0.04,0.28,0.0,-0.03
77,10,0.0,0.0,0.04,0.04,0.29000000000000004,0.0,-0.03
78,10,0.0,0.0,0.04,0.04,0.30000000000000004,0.0,-0.03
79,10,0.0,0.0,0.04,0.04,0.31000000000000005,0.0,-0.03
80,10,0.0,0.0,0.04,0.04,0.32000000000000006,0.0,-0.03
81,10,0.0,0.0,0.04,0.04,0.33000000000000007,0.0,-0.03
82,10,0.0,0.0,0.04,0.04,0.3400000000000001,0.0,-0.03
83,10,0.0,0.0,0.04,0.04,0.3500000000000001,0.0,-0.03
84,10,0.0,0.0,0.04,0.04,0.36,0.0,-0.03
85,10,0.0,0.0,0.04,0.04,0.37,0.0,-0.03
