"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
0,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.0
1,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.002
2,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.004
3,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.006
4,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.008
5,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.01
6,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.012
7,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.014
8,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.016
9,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.018000000000000002
10,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.02
11,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.022
12,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.024
13,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.026000000000000002
14,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.028
15,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.03
16,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.032
17,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.034
18,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.036000000000000004
19,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.038
20,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.04
21,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.042
22,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.044
23,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.046
24,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.048
25,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.05
26,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.052000000000000005
27,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.054
28,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.056
29,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.058
30,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.06
31,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.062
32,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.064
33,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.066
34,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.068
35,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.07
36,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.07200000000000001
37,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.074
38,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.076
39,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.078
40,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.08
41,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.082
42,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.084
43,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.08600000000000001
44,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.088
45,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.09
46,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.092
47,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.094
48,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.096
49,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.098
50,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.1
51,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.10200000000000001
52,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.10400000000000001
53,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.106
54,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.108
55,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.11
56,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.112
57,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.114
58,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.116
59,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.11800000000000001
60,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.12
61,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.122
62,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.124
63,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.126
64,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.128
65,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.13
66,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.132
67,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.134
68,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.136
69,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.138
70,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.14
71,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.14200000000000002
72,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.14400000000000002
73,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.146
74,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.148
75,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.15
76,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.152
77,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.154
78,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.156
79,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.158
80,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.16
81,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.162
82,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.164
83,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.166
84,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.168
85,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.17
86,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.17200000000000001
