"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.002,0.0,0.002,0.00282842712474619,-0.45,0.0,0.0
1,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.002
2,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.004
3,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.006
4,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.008
5,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.01
6,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.012
7,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.014
8,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.016
9,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.018000000000000002
10,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.02
11,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.022
12,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.024
13,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.026000000000000002
14,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.028
15,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.03
16,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.032
17,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.034
18,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.036000000000000004
19,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.038
20,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.04
21,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.042
22,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.044
23,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.046
24,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.048
25,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.05
26,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.052000000000000005
27,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.054
28,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.056
29,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.058
30,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.06
31,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.062
32,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.064
33,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.066
34,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.068
35,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.07
36,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.07200000000000001
37,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.074
38,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.076
39,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.078
40,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.08
41,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.082
42,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.084
43,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.08600000000000001
44,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.088
45,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.09
46,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.092
47,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.094
48,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.096
49,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.098
50,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.1
51,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.10200000000000001
52,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.10400000000000001
53,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.106
54,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.108
55,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.11
56,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.112
57,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.114
58,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.116
59,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.11800000000000001
60,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.12
61,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.122
62,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.124
63,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.126
64,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.128
65,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.13
66,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.132
67,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.134
68,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.136
69,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.138
70,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.14
71,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.14200000000000002
72,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.14400000000000002
73,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.146
74,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.148
75,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.15
76,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.152
77,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.154
78,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.156
79,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.158
80,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.16
81,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.162
82,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.164
83,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.166
84,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.168
85,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.17
86,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.17200000000000001
87,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.17400000000000002
88,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.176
89,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.178
90,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.18
91,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.182
92,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.184
93,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.186
94,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.188
95,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.19
96,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.192
97,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.194
98,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.196
99,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.198
100,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.2
101,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.202
102,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.20400000000000001
103,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.20600000000000002
104,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.20800000000000002
105,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.21
106,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.212
107,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.214
108,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.216
109,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.218
110,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.22
111,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.222
112,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.224
113,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.226
114,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.228
115,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.23
116,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.232
117,10,0.002,0.0,0.0,0.002,-0.45,0.0,0.234
