"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points:Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel:Magnitude"
0,2309,1,0.005,0,0.005,0.00707107,1002.48,3,0,0,0,0
1,2310,1,0.005,0,0.01,0.0111803,1002.46,3,0,0,0,0
2,2311,1,0.005,0,0.015,0.0158114,1002.43,3,0,0,0,0
3,2312,1,0.005,0,0.02,0.0206155,1002.41,3,0,0,0,0
4,2313,1,0.005,0,0.025,0.0254951,1002.38,3,0,0,0,0
5,2314,1,0.005,0,0.03,0.0304138,1002.36,3,0,0,0,0
6,2315,1,0.005,0,0.035,0.0353553,1002.33,3,0,0,0,0
7,2316,1,0.005,0,0.04,0.0403113,1002.31,3,0,0,0,0
8,2317,1,0.005,0,0.045,0.0452769,1002.28,3,0,0,0,0
9,2318,1,0.005,0,0.05,0.0502494,1002.26,3,0,0,0,0
10,2319,1,0.005,0,0.055,0.0552268,1002.23,3,0,0,0,0
11,2320,1,0.005,0,0.06,0.060208,1002.2,3,0,0,0,0
12,2321,1,0.005,0,0.065,0.065192,1002.18,3,0,0,0,0
13,2322,1,0.005,0,0.07,0.0701783,1002.15,3,0,0,0,0
14,2323,1,0.005,0,0.075,0.0751665,1002.13,3,0,0,0,0
15,2324,1,0.005,0,0.08,0.0801561,1002.1,3,0,0,0,0
16,2325,1,0.005,0,0.085,0.0851469,1002.08,3,0,0,0,0
17,2326,1,0.005,0,0.09,0.0901388,1002.05,3,0,0,0,0
18,2327,1,0.005,0,0.095,0.0951315,1002.03,3,0,0,0,0
19,2328,1,0.005,0,0.1,0.100125,1002,3,0,0,0,0
20,2329,1,0.005,0,0.105,0.105119,1001.98,3,0,0,0,0
21,2330,1,0.005,0,0.11,0.110114,1001.95,3,0,0,0,0
22,2331,1,0.005,0,0.115,0.115109,1001.93,3,0,0,0,0
23,2332,1,0.005,0,0.12,0.120104,1001.9,3,0,0,0,0
24,2333,1,0.005,0,0.125,0.1251,1001.88,3,0,0,0,0
25,2334,1,0.005,0,0.13,0.130096,1001.85,3,0,0,0,0
26,2335,1,0.005,0,0.135,0.135093,1001.83,3,0,0,0,0
27,2336,1,0.005,0,0.14,0.140089,1001.8,3,0,0,0,0
28,2337,1,0.005,0,0.145,0.145086,1001.78,3,0,0,0,0
29,2338,1,0.005,0,0.15,0.150083,1001.75,3,0,0,0,0
30,2339,1,0.005,0,0.155,0.155081,1001.73,3,0,0,0,0
31,2340,1,0.005,0,0.16,0.160078,1001.7,3,0,0,0,0
32,2341,1,0.005,0,0.165,0.165076,1001.68,3,0,0,0,0
33,2342,1,0.005,0,0.17,0.170074,1001.65,3,0,0,0,0
34,2343,1,0.005,0,0.175,0.175071,1001.62,3,0,0,0,0
35,2344,1,0.005,0,0.18,0.180069,1001.6,3,0,0,0,0
36,2345,1,0.005,0,0.185,0.185068,1001.57,3,0,0,0,0
37,2346,1,0.005,0,0.19,0.190066,1001.55,3,0,0,0,0
38,2347,1,0.005,0,0.195,0.195064,1001.52,3,0,0,0,0
39,2348,1,0.005,0,0.2,0.200062,1001.5,3,0,0,0,0
40,2349,1,0.005,0,0.205,0.205061,1001.47,3,0,0,0,0
41,2350,1,0.005,0,0.21,0.21006,1001.45,3,0,0,0,0
42,2351,1,0.005,0,0.215,0.215058,1001.42,3,0,0,0,0
43,2352,1,0.005,0,0.22,0.220057,1001.4,3,0,0,0,0
44,2353,1,0.005,0,0.225,0.225056,1001.37,3,0,0,0,0
45,2354,1,0.005,0,0.23,0.230054,1001.35,3,0,0,0,0
46,2355,1,0.005,0,0.235,0.235053,1001.32,3,0,0,0,0
47,2356,1,0.005,0,0.24,0.240052,1001.3,3,0,0,0,0
48,2357,1,0.005,0,0.245,0.245051,1001.27,3,0,0,0,0
49,2358,1,0.005,0,0.25,0.25005,1001.25,3,0,0,0,0
50,2359,1,0.005,0,0.255,0.255049,1001.22,3,0,0,0,0
51,2360,1,0.005,0,0.26,0.260048,1001.19,3,0,0,0,0
52,2361,1,0.005,0,0.265,0.265047,1001.17,3,0,0,0,0
53,2362,1,0.005,0,0.27,0.270046,1001.14,3,0,0,0,0
54,2363,1,0.005,0,0.275,0.275045,1001.12,3,0,0,0,0
55,2364,1,0.005,0,0.28,0.280045,1001.09,3,0,0,0,0
56,2365,1,0.005,0,0.285,0.285044,1001.07,3,0,0,0,0
57,2366,1,0.005,0,0.29,0.290043,1001.04,3,0,0,0,0
58,2367,1,0.005,0,0.295,0.295042,1001.02,3,0,0,0,0
59,2368,1,0.005,0,0.3,0.300042,1000.99,3,0,0,0,0
60,2369,1,0.005,0,0.305,0.305041,1000.97,3,0,0,0,0
61,2370,1,0.005,0,0.31,0.31004,1000.94,3,0,0,0,0
62,2371,1,0.005,0,0.315,0.31504,1000.92,3,0,0,0,0
63,2372,1,0.005,0,0.32,0.320039,1000.89,3,0,0,0,0
64,2373,1,0.005,0,0.325,0.325038,1000.87,3,0,0,0,0
65,2374,1,0.005,0,0.33,0.330038,1000.84,3,0,0,0,0
66,2375,1,0.005,0,0.335,0.335037,1000.81,3,0,0,0,0
67,2376,1,0.005,0,0.34,0.340037,1000.79,3,0,0,0,0
68,2377,1,0.005,0,0.345,0.345036,1000.76,3,0,0,0,0
69,2378,1,0.005,0,0.35,0.350036,1000.74,3,0,0,0,0
70,2379,1,0.005,0,0.355,0.355035,1000.71,3,0,0,0,0
71,2380,1,0.005,0,0.36,0.360035,1000.69,3,0,0,0,0
72,2381,1,0.005,0,0.365,0.365034,1000.66,3,0,0,0,0
73,2382,1,0.005,0,0.37,0.370034,1000.64,3,0,0,0,0
74,2383,1,0.005,0,0.375,0.375033,1000.61,3,0,0,0,0
75,2384,1,0.005,0,0.38,0.380033,1000.59,3,0,0,0,0
76,2385,1,0.005,0,0.385,0.385032,1000.56,3,0,0,0,0
77,2386,1,0.005,0,0.39,0.390032,1000.53,3,0,0,0,0
78,2387,1,0.005,0,0.395,0.395032,1000.51,3,0,0,0,0
79,2388,1,0.005,0,0.4,0.400031,1000.48,3,0,0,0,0
80,2389,1,0.005,0,0.405,0.405031,1000.46,3,0,0,0,0
81,2390,1,0.005,0,0.41,0.41003,1000.43,3,0,0,0,0
82,2391,1,0.005,0,0.415,0.41503,1000.41,3,0,0,0,0
83,2392,1,0.005,0,0.42,0.42003,1000.38,3,0,0,0,0
84,2393,1,0.005,0,0.425,0.425029,1000.36,3,0,0,0,0
85,2394,1,0.005,0,0.43,0.430029,1000.33,3,0,0,0,0
86,2395,1,0.005,0,0.435,0.435029,1000.31,3,0,0,0,0
87,2396,1,0.005,0,0.44,0.440028,1000.28,3,0,0,0,0
88,2397,1,0.005,0,0.445,0.445028,1000.25,3,0,0,0,0
89,2398,1,0.005,0,0.45,0.450028,1000.23,3,0,0,0,0
90,2399,1,0.005,0,0.455,0.455027,1000.2,3,0,0,0,0
91,2400,1,0.005,0,0.46,0.460027,1000.18,3,0,0,0,0
92,2401,1,0.005,0,0.465,0.465027,1000.15,3,0,0,0,0
93,2402,1,0.005,0,0.47,0.470027,1000.13,3,0,0,0,0
94,2403,1,0.005,0,0.475,0.475026,1000.1,3,0,0,0,0
95,2404,1,0.005,0,0.48,0.480026,1000.08,3,0,0,0,0
96,2405,1,0.005,0,0.485,0.485026,1000.05,3,0,0,0,0
97,2406,1,0.005,0,0.49,0.490026,1000.03,3,0,0,0,0
98,2407,1,0.005,0,0.495,0.495025,1000,3,0,0,0,0
99,2408,1,0.01,0,0.005,0.0111803,1002.48,3,0,0,0,0
100,2409,1,0.01,0,0.01,0.0141421,1002.46,3,0,0,0,0
101,2410,1,0.01,0,0.015,0.0180278,1002.43,3,0,0,0,0
102,2411,1,0.01,0,0.02,0.0223607,1002.41,3,0,0,0,0
103,2412,1,0.01,0,0.025,0.0269258,1002.38,3,0,0,0,0
104,2413,1,0.01,0,0.03,0.0316228,1002.36,3,0,0,0,0
105,2414,1,0.01,0,0.035,0.0364005,1002.33,3,0,0,0,0
106,2415,1,0.01,0,0.04,0.0412311,1002.31,3,0,0,0,0
107,2416,1,0.01,0,0.045,0.0460977,1002.28,3,0,0,0,0
108,2417,1,0.01,0,0.05,0.0509902,1002.26,3,0,0,0,0
109,2418,1,0.01,0,0.055,0.0559017,1002.23,3,0,0,0,0
110,2419,1,0.01,0,0.06,0.0608276,1002.2,3,0,0,0,0
111,2420,1,0.01,0,0.065,0.0657647,1002.18,3,0,0,0,0
112,2421,1,0.01,0,0.07,0.0707107,1002.15,3,0,0,0,0
113,2422,1,0.01,0,0.075,0.0756637,1002.13,3,0,0,0,0
114,2423,1,0.01,0,0.08,0.0806226,1002.1,3,0,0,0,0
115,2424,1,0.01,0,0.085,0.0855862,1002.08,3,0,0,0,0
116,2425,1,0.01,0,0.09,0.0905539,1002.05,3,0,0,0,0
117,2426,1,0.01,0,0.095,0.0955249,1002.03,3,0,0,0,0
118,2427,1,0.01,0,0.1,0.100499,1002,3,0,0,0,0
119,2428,1,0.01,0,0.105,0.105475,1001.98,3,0,0,0,0
120,2429,1,0.01,0,0.11,0.110454,1001.95,3,0,0,0,0
121,2430,1,0.01,0,0.115,0.115434,1001.93,3,0,0,0,0
122,2431,1,0.01,0,0.12,0.120416,1001.9,3,0,0,0,0
123,2432,1,0.01,0,0.125,0.125399,1001.88,3,0,0,0,0
124,2433,1,0.01,0,0.13,0.130384,1001.85,3,0,0,0,0
125,2434,1,0.01,0,0.135,0.13537,1001.83,3,0,0,0,0
126,2435,1,0.01,0,0.14,0.140357,1001.8,3,0,0,0,0
127,2436,1,0.01,0,0.145,0.145344,1001.78,3,0,0,0,0
128,2437,1,0.01,0,0.15,0.150333,1001.75,3,0,0,0,0
129,2438,1,0.01,0,0.155,0.155322,1001.73,3,0,0,0,0
130,2439,1,0.01,0,0.16,0.160312,1001.7,3,0,0,0,0
131,2440,1,0.01,0,0.165,0.165303,1001.68,3,0,0,0,0
132,2441,1,0.01,0,0.17,0.170294,1001.65,3,0,0,0,0
133,2442,1,0.01,0,0.175,0.175285,1001.62,3,0,0,0,0
134,2443,1,0.01,0,0.18,0.180278,1001.6,3,0,0,0,0
135,2444,1,0.01,0,0.185,0.18527,1001.57,3,0,0,0,0
136,2445,1,0.01,0,0.19,0.190263,1001.55,3,0,0,0,0
