"Idp","Vel:0","Vel:1","Vel:2","Rhop","Points:0","Points:1","Points:2"
580,0,0,0,1002.5,0.02,0,0.02
581,0,0,0,1002.4,0.02,0,0.04
582,0,0,0,1002.3,0.02,0,0.06
583,0,0,0,1002.2,0.02,0,0.08
584,0,0,0,1002.1,0.02,0,0.1
585,0,0,0,1001.9,0.02,0,0.12
586,0,0,0,1001.8,0.02,0,0.14
587,0,0,0,1001.7,0.02,0,0.16
588,0,0,0,1001.6,0.02,0,0.18
589,0,0,0,1001.5,0.02,0,0.2
590,0,0,0,1001.4,0.02,0,0.22
591,0,0,0,1001.3,0.02,0,0.24
592,0,0,0,1001.2,0.02,0,0.26
593,0,0,0,1001.1,0.02,0,0.28
594,0,0,0,1001,0.02,0,0.3
595,0,0,0,1000.9,0.02,0,0.32
596,0,0,0,1000.8,0.02,0,0.34
597,0,0,0,1000.7,0.02,0,0.36
598,0,0,0,1000.5,0.02,0,0.38
599,0,0,0,1000.4,0.02,0,0.4
600,0,0,0,1000.3,0.02,0,0.42
601,0,0,0,1000.2,0.02,0,0.44
602,0,0,0,1000.1,0.02,0,0.46
603,0,0,0,1000,0.02,0,0.48
604,0,0,0,1002.5,0.04,0,0.02
605,0,0,0,1002.4,0.04,0,0.04
606,0,0,0,1002.3,0.04,0,0.06
607,0,0,0,1002.2,0.04,0,0.08
608,0,0,0,1002.1,0.04,0,0.1
609,0,0,0,1001.9,0.04,0,0.12
610,0,0,0,1001.8,0.04,0,0.14
611,0,0,0,1001.7,0.04,0,0.16
612,0,0,0,1001.6,0.04,0,0.18
613,0,0,0,1001.5,0.04,0,0.2
614,0,0,0,1001.4,0.04,0,0.22
615,0,0,0,1001.3,0.04,0,0.24
616,0,0,0,1001.2,0.04,0,0.26
617,0,0,0,1001.1,0.04,0,0.28
618,0,0,0,1001,0.04,0,0.3
619,0,0,0,1000.9,0.04,0,0.32
620,0,0,0,1000.8,0.04,0,0.34
621,0,0,0,1000.7,0.04,0,0.36
622,0,0,0,1000.5,0.04,0,0.38
623,0,0,0,1000.4,0.04,0,0.4
624,0,0,0,1000.3,0.04,0,0.42
625,0,0,0,1000.2,0.04,0,0.44
626,0,0,0,1000.1,0.04,0,0.46
627,0,0,0,1000,0.04,0,0.48
628,0,0,0,1002.5,0.06,0,0.02
629,0,0,0,1002.4,0.06,0,0.04
630,0,0,0,1002.3,0.06,0,0.06
631,0,0,0,1002.2,0.06,0,0.08
632,0,0,0,1002.1,0.06,0,0.1
633,0,0,0,1001.9,0.06,0,0.12
634,0,0,0,1001.8,0.06,0,0.14
635,0,0,0,1001.7,0.06,0,0.16
636,0,0,0,1001.6,0.06,0,0.18
637,0,0,0,1001.5,0.06,0,0.2
638,0,0,0,1001.4,0.06,0,0.22
639,0,0,0,1001.3,0.06,0,0.24
640,0,0,0,1001.2,0.06,0,0.26
641,0,0,0,1001.1,0.06,0,0.28
642,0,0,0,1001,0.06,0,0.3
643,0,0,0,1000.9,0.06,0,0.32
644,0,0,0,1000.8,0.06,0,0.34
645,0,0,0,1000.7,0.06,0,0.36
646,0,0,0,1000.5,0.06,0,0.38
647,0,0,0,1000.4,0.06,0,0.4
648,0,0,0,1000.3,0.06,0,0.42
649,0,0,0,1000.2,0.06,0,0.44
650,0,0,0,1000.1,0.06,0,0.46
651,0,0,0,1000,0.06,0,0.48
652,0,0,0,1002.5,0.08,0,0.02
653,0,0,0,1002.4,0.08,0,0.04
654,0,0,0,1002.3,0.08,0,0.06
