"Point ID", "Idp", "Mk", "Points:0","Points:1","Points:2", "Points_Magnitude", "Rhop", "Type","Vel:0","Vel:1","Vel:2", "Vel_Magnitude"
0,580,1,0.02,0,0.02,0.0282843,1002.48,3,0,0,0,0
1,581,1,0.02,0,0.04,0.0447214,1002.37,3,0,0,0,0
2,582,1,0.02,0,0.06,0.0632455,1002.27,3,0,0,0,0
3,583,1,0.02,0,0.08,0.0824621,1002.16,3,0,0,0,0
4,584,1,0.02,0,0.1,0.10198,1002.05,3,0,0,0,0
5,585,1,0.02,0,0.12,0.121655,1001.95,3,0,0,0,0
6,586,1,0.02,0,0.14,0.141421,1001.84,3,0,0,0,0
7,587,1,0.02,0,0.16,0.161245,1001.73,3,0,0,0,0
8,588,1,0.02,0,0.18,0.181108,1001.62,3,0,0,0,0
9,589,1,0.02,0,0.2,0.200998,1001.51,3,0,0,0,0
10,590,1,0.02,0,0.22,0.220907,1001.41,3,0,0,0,0
11,591,1,0.02,0,0.24,0.240832,1001.3,3,0,0,0,0
12,592,1,0.02,0,0.26,0.260768,1001.19,3,0,0,0,0
13,593,1,0.02,0,0.28,0.280713,1001.08,3,0,0,0,0
14,594,1,0.02,0,0.3,0.300666,1000.98,3,0,0,0,0
15,595,1,0.02,0,0.32,0.320624,1000.87,3,0,0,0,0
16,596,1,0.02,0,0.34,0.340588,1000.76,3,0,0,0,0
17,597,1,0.02,0,0.36,0.360555,1000.65,3,0,0,0,0
18,598,1,0.02,0,0.38,0.380526,1000.54,3,0,0,0,0
19,599,1,0.02,0,0.4,0.4005,1000.43,3,0,0,0,0
20,600,1,0.02,0,0.42,0.420476,1000.33,3,0,0,0,0
21,601,1,0.02,0,0.44,0.440454,1000.22,3,0,0,0,0
22,602,1,0.02,0,0.46,0.460435,1000.11,3,0,0,0,0
23,603,1,0.02,0,0.48,0.480416,1000,3,0,0,0,0
24,604,1,0.04,0,0.02,0.0447214,1002.48,3,0,0,0,0
25,605,1,0.04,0,0.04,0.0565685,1002.37,3,0,0,0,0
26,606,1,0.04,0,0.06,0.072111,1002.27,3,0,0,0,0
27,607,1,0.04,0,0.08,0.0894427,1002.16,3,0,0,0,0
28,608,1,0.04,0,0.1,0.107703,1002.05,3,0,0,0,0
29,609,1,0.04,0,0.12,0.126491,1001.95,3,0,0,0,0
30,610,1,0.04,0,0.14,0.145602,1001.84,3,0,0,0,0
