"Point ID", "Idp", "Mk", "Normal:0","Normal:1","Normal:2", "Normal_Magnitude", "NormalSize","Points:0","Points:1","Points:2", "Points_Magnitude"
0,0,10,0.1,0,0.1,0.141421,0.141421,0.06,0,0.06,0.0848528
1,1,10,0.1,0,0.06,0.116619,0.116619,0.06,0,0.04,0.072111
2,2,10,0.1,0,0.02,0.10198,0.10198,0.06,0,0.02,0.0632456
3,3,10,0.1,0,0,0.1,0.1,0.06,0,0.02,0.0632456
4,4,10,0.1,0,0,0.1,0.1,0.06,0,0.04,0.072111
5,5,10,0.1,0,0,0.1,0.1,0.06,0,0.06,0.0848528
6,6,10,0.1,0,0,0.1,0.1,0.06,0,0.08,0.1
7,7,10,0.1,0,0,0.1,0.1,0.06,0,0.1,0.116619
8,8,10,0.1,0,0,0.1,0.1,0.06,0,0.12,0.134164
9,9,10,0.1,0,0,0.1,0.1,0.06,0,0.14,0.152315
10,10,10,0.1,0,0,0.1,0.1,0.06,0,0.16,0.17088
11,11,10,0.1,0,0,0.1,0.1,0.06,0,0.18,0.189737
12,12,10,0.1,0,0,0.1,0.1,0.06,0,0.2,0.208806
13,13,10,0.1,0,0,0.1,0.1,0.06,0,0.22,0.228035
14,14,10,0.1,0,0,0.1,0.1,0.06,0,0.24,0.247386
15,15,10,0.1,0,0,0.1,0.1,0.06,0,0.26,0.266833
16,16,10,0.1,0,0,0.1,0.1,0.06,0,0.28,0.286356
17,17,10,0.1,0,0,0.1,0.1,0.06,0,0.3,0.305941
18,18,10,0.1,0,0,0.1,0.1,0.06,0,0.32,0.325576
19,19,10,0.1,0,0,0.1,0.1,0.06,0,0.34,0.345254
20,20,10,0.1,0,0,0.1,0.1,0.06,0,0.36,0.364966
21,21,10,0.1,0,0,0.1,0.1,0.06,0,0.38,0.384708
22,22,10,0.1,0,0,0.1,0.1,0.06,0,0.4,0.404475
23,23,10,0.1,0,0,0.1,0.1,0.06,0,0.42,0.424264
24,24,10,0.1,0,0,0.1,0.1,0.06,0,0.44,0.444072
25,25,10,0.1,0,0,0.1,0.1,0.06,0,0.46,0.463897
26,26,10,0.1,0,0,0.1,0.1,0.06,0,0.48,0.483735
27,27,10,0.1,0,0,0.1,0.1,0.06,0,0.5,0.503587
28,28,10,0.1,0,0,0.1,0.1,0.06,0,0.52,0.52345
29,29,10,0.1,0,0,0.1,0.1,0.06,0,0.54,0.543323
30,30,10,0.1,0,0,0.1,0.1,0.06,0,0.56,0.563205
